ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2628	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	2808	2878	3129	3199	2552	2728	4349	4450
2629	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	31484	31526	17590	18648	31620	31641
2630	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29178	31484	31526	17590	18648	31620	31641
2631	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29023	29058	31484	31526	17590	18648	31620	31641
2632	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29023	29178	31484	31526	17590	18648	31620	31641
2633	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29150	29178	31484	31526	28932	29058	31620	31641
2634	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	12718	12826	5108	5348	13226	13340
2635	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5741	5846	12718	12826	5108	5348	13226	13340
2636	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	34418	34476	37733	37792	17942	18116	38371	38545
2637	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	34418	34655	37733	37792	17942	18116	38371	38545
2638	"ENSDARG00000104276"	NA	chrKN150326.1	-	96088	96203	102054	102197	91206	91364	104319	104400
2639	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	27388	27562	28320	28494	18026	20081	42185	42359
2640	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	287490	287940	288572	288746	286134	286305	292064	292238
2641	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462199	37460725	37461492	37462533	37462609
2642	"ENSDARG00000061421"	NA	chr25	-	24926889	24926973	24948936	24949033	24904819	24904914	25058100	25058508
2643	"ENSDARG00000062632"	"duox"	chr25	+	31976402	31976463	31977201	31977262	31975623	31975790	31981355	31981452
2644	"ENSDARG00000103666"	"dapk2b"	chr25	+	26499670	26499816	26505953	26506005	26497940	26498162	26576622	26576752
2645	"ENSDARG00000103666"	"dapk2b"	chr25	+	26499670	26499816	26531924	26532002	26497940	26498162	26576622	26576752
2646	"ENSDARG00000103666"	"dapk2b"	chr25	+	26499670	26499816	26547036	26547175	26497940	26498162	26576622	26576752
2647	"ENSDARG00000103666"	"dapk2b"	chr25	+	26499670	26499816	26554065	26554126	26497940	26498162	26576622	26576752
2648	"ENSDARG00000103666"	"dapk2b"	chr25	+	26505953	26506005	26531924	26532002	26497940	26498162	26576622	26576752
2649	"ENSDARG00000103666"	"dapk2b"	chr25	+	26505953	26506005	26547036	26547175	26497940	26498162	26576622	26576752
2650	"ENSDARG00000103666"	"dapk2b"	chr25	+	26505953	26506005	26554065	26554126	26497940	26498162	26576622	26576752
2651	"ENSDARG00000103666"	"dapk2b"	chr25	+	26531924	26532002	26547036	26547175	26497940	26498162	26576622	26576752
2652	"ENSDARG00000103666"	"dapk2b"	chr25	+	26531924	26532002	26554065	26554126	26497940	26498162	26576622	26576752
2653	"ENSDARG00000103666"	"dapk2b"	chr25	+	26547036	26547175	26554065	26554126	26497940	26498162	26576622	26576752
2654	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202937	203036	203346	203430	202322	202507	203904	204019
2655	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202937	203036	203346	203439	202322	202507	203904	204019
2656	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203430	202322	202507	203904	204019
2657	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202964	203036	203346	203430	202322	202507	203904	204019
2658	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202964	203036	203346	203439	202322	202507	203904	204019
2659	"ENSDARG00000001259"	"gas2a"	chr25	+	35328921	35329077	35329603	35329639	35326106	35326248	35329929	35329993
2660	"ENSDARG00000105296"	NA	chr25	-	5714340	5714379	5716478	5716538	5713687	5713802	5718943	5719062
2661	"ENSDARG00000009941"	"erc1a"	chr25	+	21246117	21246159	21246468	21246615	21240171	21240273	21252995	21253162
2662	"ENSDARG00000009941"	"erc1a"	chr25	+	21246117	21246159	21246558	21246615	21240171	21240273	21252995	21253162
2663	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340209	19340276	19318808	19318905	19341375	19341486
2664	"ENSDARG00000025189"	"cpne8"	chr25	+	35840800	35841046	35843550	35843597	35840628	35840682	35845204	35845386
2665	"ENSDARG00000025189"	"cpne8"	chr25	+	35840811	35841046	35843550	35843597	35840628	35840682	35845204	35845386
2666	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16985062	16985278	16992378	16992723	16982322	16982482	17044734	17044779
2667	"ENSDARG00000023927"	"dnajc24"	chr25	+	14879146	14879441	14879971	14880252	14870769	14870881	14883573	14883712
2668	"ENSDARG00000023927"	"dnajc24"	chr25	+	14879283	14879441	14879971	14880252	14870769	14870881	14883573	14883712
2669	"ENSDARG00000074626"	"pidd1"	chr25	-	4514143	4514251	4514594	4514927	4512173	4512352	4519245	4519396
2670	"ENSDARG00000015709"	"hsd17b12a"	chr25	+	30220326	30220391	30220510	30220517	30219093	30219201	30220914	30220949
2671	"ENSDARG00000015709"	"hsd17b12a"	chr25	+	30220326	30220391	30220510	30220518	30219093	30219201	30220914	30220949
2672	"ENSDARG00000038166"	"hyal6"	chr25	-	27606963	27607118	27608591	27608838	27605186	27605951	27609809	27610005
2673	"ENSDARG00000038166"	"hyal6"	chr25	-	27606963	27607118	27608597	27608838	27605186	27605951	27609809	27610005
2674	"ENSDARG00000038166"	"hyal6"	chr25	-	27608591	27608838	27609809	27610005	27605186	27605951	27621096	27621271
2675	"ENSDARG00000038166"	"hyal6"	chr25	-	27608597	27608838	27609809	27610005	27605186	27605951	27621096	27621271
2676	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30178942	30179035	30182513	30182654	30173653	30173671	30192071	30192167
2677	"ENSDARG00000104384"	"agbl1"	chr25	+	11463617	11463701	11469351	11469445	11461260	11461392	11496081	11496290
