Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000103634	0.8874584945628053	0.9856997380166024	-0.33716779085369136	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	0	723	0	0	0	0	0	547	0	0	0	390	0	0	427	452	0	635	203	0	0	178	0	257	0	584.0565447386122	0	0	0	0	0	599.2053860863724	0	0	0	499.09961924860136	0	0	637.3883190684912	375.40682888877706	0	473.89105641647217	246.22810800488918	0	0	192.20315746324758	0	200.1988771716461	1.2955409371624724
ENSDARG00000105265	0.9485527028924217	0.9935217966565059	-0.07442885005001547	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	175	279	0	0	336	373	311	279	248	0	323	282	246	234	0	352	0	825	222	0	328	0	899	342	198.80796455130928	225.38281601946443	0	0	308.36453185825366	359.9123287372716	314.2568564932813	305.62761008793035	327.47713358961096	0	310.9059934802218	360.88741699514253	266.2799697434823	281.4282450848929	0	292.35222072754317	0	615.6852307773064	269.2740885570709	0	225.5045973944954	0	637.8271677604824	266.41251359028394	1.2024036427502172
ENSDARG00000103973	0.9455394138265898	0.9928126127396986	-0.09024960052435875	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	4	754	1	0	4	0	4	618	0	3	4	442	1	2	428	427	2	435	215	0	1	136	1	333	4.5441820468870695	609.099079851886	0.995164258432099	0	3.671006331645877	0	4.04188882949558	676.981587936706	0	2.1790096054577406	3.850229021426895	565.6462351484149	1.0824389013962696	2.4053696161101956	638.8810317595181	354.64317684846856	1.9435784430597365	324.6340307734888	260.7834641431092	0	0.6875140164466322	146.8518506460768	0.7094851699226723	259.40165796948696	1.1620821210342798
ENSDARG00000115161	0.9820541512795627	0.9974181598048526	0.011221465042683513	KN149950.1	74	5493	1	protein_coding	CABZ01069162.1	NA	4	703	482	345	530	378	448	355	824	457	208	128	488	472	432	582	3	303	253	460	563	507	660	443	4.5441820468870695	567.9000704719839	479.6691725642717	473.73943776219477	486.4083389430787	364.7368907846881	452.6915489035049	388.8810092516677	1088.0691857977395	331.9357965647292	200.21190911419856	163.80705452261788	528.2301838813795	567.6672294020062	644.8518825236258	483.37781949838103	2.915367664589605	226.1243938491198	306.8754252474727	456.22802599601204	387.07039125945397	547.4550608644187	468.2602121489637	345.08989333478297	0.9811228512486858
ENSDARG00000058794	0.3048179245589406	0.7954979833356883	-0.48905079672044055	22	6073628	6082447	-1	protein_coding	si:dkey-19a16.2	si:dkey-19a16.2 [Source:ZFIN;Acc:ZDB-GENE-050208-493]	140	194	22	105	174	174	10	140	16	210	319	131	132	18	209	122	172	181	236	13	438	293	262	377	159.04637164104744	156.71780038629427	21.89361368550618	144.18156801458102	159.68877542659567	167.89475925009452	10.10472207373895	153.36152477530555	21.12755700578135	152.53067238204184	307.0557644587949	167.64628236299174	142.88193498430758	21.64832654499176	311.9769524246245	101.32662195670531	167.14774610313734	135.07760820689995	286.2553373849943	12.893400734669905	301.1311392036249	316.379354700739	185.88511451974014	293.6769521156054	0.8772164580520542
ENSDARG00000023587	0.17733463277677883	0.6719985134417946	-0.5158302638115139	17	48683769	48705993	-1	protein_coding	kcnk5a	potassium channel, subfamily K, member 5a [Source:ZFIN;Acc:ZDB-GENE-051113-112]	664	500	850	345	55	66	731	396	685	535	50	345	687	669	496	476	707	1003	302	863	959	654	646	981	754.3342197832535	403.91185666570686	845.8896196672841	473.73943776219477	50.47633706013081	63.684219025897924	738.6551835903172	433.7940272215786	904.523534310014	388.5900463066304	48.12786276783619	441.5112016429935	743.6355252592372	804.5961365888605	740.3854947493481	395.33993484747316	687.0549796216169	748.5239835995616	366.3097961452046	855.923448770779	659.3259417723203	706.1846347245164	458.3274197700463	764.183262666867	0.8758379628245664
ENSDARG00000071644	0.6313247620299837	0.931733697399292	-0.42133697078004007	22	6487048	6499077	-1	protein_coding	si:dkey-19a16.7	si:dkey-19a16.7 [Source:ZFIN;Acc:ZDB-GENE-060503-903]	132	215	0	138	152	138	0	113	0	189	308	121	120	0	204	212	132	149	225	0	412	219	155	326	149.9580075472733	173.68209836625397	0	189.4957751048779	139.49824060254332	133.15791250869566	0	123.7846592829252	0	137.27760514383766	296.46763464987094	154.84885622841222	129.89266816755236	0	304.51338896948994	176.07576930181577	128.2761772419426	111.1964841040226	272.91292759162593	0	283.2557747760125	236.4746712609619	109.9702013380142	253.94877026442268	0.821545656251451
ENSDARG00000003523	0.03401894822344695	0.32870015431949484	0.8712359884425213	14	16345003	16352209	1	protein_coding	itln3	intelectin 3 [Source:ZFIN;Acc:ZDB-GENE-090527-4]	269	407	176	233	32	273	182	243	101	616	30	95	11	60	117	264	210	264	78	107	112	45	206	92	305.5962426531554	328.7842513258854	175.14890948404943	319.94576521330833	29.368050653167018	263.4210877889414	183.90594174204887	266.1917894314232	133.36770359899478	447.4233056539894	28.876717660701715	121.57554827850547	11.906827915358965	72.16108848330587	174.64738485014865	219.2641655456574	204.07573652127235	197.01927384873804	94.60981489843032	106.12260604689845	77.00156984202282	48.59068587554012	146.1539450040705	71.6665241237021	0.7929925259044963
ENSDARG00000090600	0.21104801873434306	0.7090448841687046	0.6669705252293283	22	8979955	8996337	1	protein_coding	si:ch211-213a13.1	si:ch211-213a13.1 [Source:ZFIN;Acc:ZDB-GENE-050208-471]	125	201	274	94	155	126	263	142	192	173	18	101	122	214	3	165	117	186	12	241	17	14	192	9	142.0056889652209	162.37256637961417	272.67500681039513	129.0768323178154	142.25149535127775	121.57896359489604	265.7541905393344	155.55240370066707	253.5306840693762	125.65622058139638	17.326030596421027	129.25400395925317	132.05754597034488	257.37454892379094	4.478138073080735	137.04010346603587	113.69933891899458	138.80903384797452	14.555356138220048	239.0238136196498	11.687738279592748	15.117102272390259	136.22115262515308	7.010855620796946	0.7369182956787285
ENSDARG00000099099	0.3046221482170011	0.7953716128071336	0.4021819518040268	4	76838989	76891899	1	lincRNA	CABZ01015815.1	NA	230	325	211	26	286	263	46	208	153	224	178	29	177	114	121	46	273	28	131	31	178	153	212	199	261.2904676960065	262.5427068327095	209.9796585291729	35.70210255599149	262.4769527126802	253.77196369410842	46.481721539199164	227.85140823759684	202.03226386778417	162.69938387417798	171.33519145349683	37.11253579028062	191.59168554713972	137.10606811828117	180.6182356142563	38.205119754167576	265.29845747765404	20.89598359001767	158.89597117556886	30.74580175190516	122.37749492750055	165.2083319768364	150.41085602360653	155.01780761539914	0.6931212617299404
ENSDARG00000068006	0.6998720405911945	0.9483133951769046	-0.290057057480417	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	302	342	293	14	74	298	210	32	55	55	30	24	24	789	13	28	13	23	65	44	75	779	19	13	343.08574453997375	276.2757099593435	291.58312772060503	19.2242090686108	67.91361713544873	287.54389802602395	212.19916354851793	35.05406280578413	72.6259772073734	39.94850943339191	28.876717660701715	30.713822722990855	25.97853363351047	948.9183135554723	19.405264983349852	23.25529028514548	12.633259879888287	17.164557948943088	78.8415124153586	43.639202486575066	51.56355123349742	841.1587621565723	13.480218228530774	10.126791452262255	0.6398384960019365
ENSDARG00000079145	0.5541998868081047	0.9119455422544552	0.5409164721186839	22	8313513	8326972	1	protein_coding	CABZ01077217.1	uncharacterized LOC100007503 [Source:NCBI gene;Acc:100007503]	54	81	150	54	77	62	130	48	81	82	0	35	53	103	0	75	71	89	0	149	0	0	106	0	61.34645763297544	65.43372077984452	149.27463876481485	74.1505206932131	70.66687188418314	59.82456938796472	131.36138695860635	52.58109420867619	106.95825734176809	59.55959588251158	0	44.79099147102833	57.36926177400228	123.87653522967508	0	62.290956120925394	68.99703472862065	66.4193764111276	0	147.77820842044738	0	0	75.20542801180326	0	0.6375840011544754
ENSDARG00000095147	0.40875704033808463	0.8553281026384062	0.19378195063324966	22	11775269	11779560	1	protein_coding	krt96	keratin 96 [Source:ZFIN;Acc:ZDB-GENE-030131-221]	352	453	174	309	365	282	261	406	133	268	456	256	266	205	211	321	261	229	355	59	611	217	366	503	399.88802012606214	365.94414213913046	173.15858096718523	424.3057573000527	334.9793277626863	272.10529947429114	263.73324612458657	444.74842184838616	175.6228176105575	194.6581914208915	438.9261084426661	327.61410904523575	287.9287477714077	246.55038565129507	314.9623778066783	266.6052921975607	253.63698681929563	170.89929436121596	430.59595242234315	58.516203334271104	420.0710640488923	234.315085222049	259.67157219169803	391.8289308067626	0.615051265423147
ENSDARG00000094809	0.9978103015913469	0.999688320465869	6.268458864416469e-4	4	76575585	76588333	1	protein_coding	ms4a17a.11	membrane-spanning 4-domains, subfamily A, member 17A.11 [Source:ZFIN;Acc:ZDB-GENE-050417-157]	555	858	701	206	760	682	296	568	528	957	708	249	622	553	424	305	1163	344	490	281	925	583	853	795	630.5052590055809	693.1127460383531	697.6101451609014	282.8705048667018	697.4912030127167	658.070263267612	299.0997733826729	622.2096148026683	697.2093811907846	695.1040641410193	681.4905367925604	318.6559107510301	673.2769966684797	665.0846988544691	632.9101809954105	253.31655489176327	1130.190864639237	256.7220841059314	594.3437089773187	278.6958158801726	635.9504652131349	629.5193303431087	605.1908499440394	619.2922465037302	0.6099648124565811
ENSDARG00000089296	0.6524213095648674	0.9361137253100199	0.16005107116597786	4	76926059	76964360	1	protein_coding	si:dkey-240n22.6	si:dkey-240n22.6 [Source:ZFIN;Acc:ZDB-GENE-070705-411]	128	196	164	26	151	130	35	144	93	156	134	23	122	72	71	32	197	40	95	17	162	117	198	168	145.41382550038622	158.3334478129571	163.20693838286422	35.70210255599149	138.58048901963187	125.43861323282925	35.36652725808632	157.7432826260286	122.8039250961041	113.30849948380252	128.982672217801	29.4340801095329	132.05754597034488	86.59330617996704	105.98260106291072	26.577474611594834	191.44247664138405	29.851405128596674	115.22990276090873	16.860600960722184	111.37727066435443	126.3357832764043	140.47806364468912	130.86930492154298	0.5837658471383942
ENSDARG00000020711	0.35615900957492325	0.8289128316164903	-0.8630801320363516	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	255	14	10	7	5	11	303	351	480	7	5	9	681	584	2	7	15	540	361	395	491	11	14	4	289.6916054890507	11.309531986639792	9.95164258432099	9.6121045343054	4.5887579145573465	10.61403650431632	306.17307883429015	384.4992514009447	633.8267101734406	5.084355746068062	4.812786276783619	11.51768352112157	737.1408918508596	702.3679279041772	2.985425382053823	5.81382257128637	14.576838322948024	402.9939692360551	437.8736304914531	391.7610223226625	337.56938207529646	11.877723214020918	9.932792378917412	3.115935831465309	0.5813259438416936
ENSDARG00000094854	0.7888721572589563	0.9674129743123401	-0.06963942472495278	4	76608282	76633286	1	protein_coding	ms4a17a.9	membrane-spanning 4-domains, subfamily A, member 17A.9 [Source:ZFIN;Acc:ZDB-GENE-050320-79]	302	439	336	102	354	381	124	315	242	545	329	80	314	295	225	185	626	149	279	130	513	296	443	369	343.08574453997375	354.63461015249067	334.3751908331853	140.06209464273584	324.88406035066015	367.631628013138	125.29855371436297	345.06343074443754	319.5542997124429	395.85341165815623	316.6813370123621	102.37940907663618	339.88581503842863	354.7920183762539	335.8603554810551	153.65102509828264	608.3400526776976	111.1964841040226	338.41203021361616	128.93400734669905	352.69469043712235	319.6187337591083	314.3019302757438	287.44508045267474	0.5732361673971869
