ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1757	"ENSDARG00000101098"	NA	chrKN150051.1	-	986	1123	986	1108	1408	1587
1758	"ENSDARG00000104659"	"CABZ01109604.1"	chrKN150470.1	+	1897	2026	1982	2026	462	575
1759	"ENSDARG00000104659"	"CABZ01109604.1"	chrKN150470.1	+	1897	2026	1990	2026	462	575
1760	"ENSDARG00000104659"	"CABZ01109604.1"	chrKN150470.1	+	1982	2026	1990	2026	462	575
1761	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	4556	4732	4622	4732	4400	4479
1762	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	5112	5246	5155	5246	4849	4952
1763	"ENSDARG00000098301"	"CABZ01093428.1"	chrKN150355.1	-	1607	1906	1607	1851	2653	2790
1764	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4870	4948	4879	4948	4045	4221
1765	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	5326	5168	5326	4045	4221
1766	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	5168	5326	5171	5326	4870	4948
1767	"ENSDARG00000100453"	NA	chrKN150614.1	+	1817	1935	1825	1935	866	1050
1768	"ENSDARG00000100453"	NA	chrKN150614.1	+	2930	3182	2960	3182	2615	2723
1769	"ENSDARG00000101434"	"slc39a3"	chrKN149816.1	-	9576	9857	9576	9707	9966	10108
1770	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5604	5508	5598	5706	5774
1771	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5608	5508	5598	5706	5774
1772	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5608	5508	5604	5706	5774
1773	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5706	5777	5706	5774	6421	6518
1774	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	8311	8491	8311	8485	8915	9082
1775	"ENSDARG00000098584"	"CABZ01102240.1"	chrKN149883.1	-	2234	2310	2234	2300	2400	2465
1776	"ENSDARG00000098241"	"fanca"	chrKN150550.1	+	7343	7441	7345	7441	6818	6895
1777	"ENSDARG00000098241"	"fanca"	chrKN150550.1	+	10149	10249	10185	10249	9286	9673
1778	"ENSDARG00000102110"	"CABZ01080375.1"	chrKN150387.1	-	3915	4221	3915	4114	6026	7027
1779	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	20	292	20	289	387	565
1780	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	5967	6105	5967	6102	7075	7189
1781	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	5967	6308	5967	6102	7075	7189
1782	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	5967	6308	5967	6105	7075	7189
1783	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	11206	11422	11206	11402	12096	12229
1784	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	16555	16616	16555	16601	16717	16784
1785	"ENSDARG00000103973"	"CABZ01051602.1"	chrKN150654.1	-	12299	12578	12299	12511	12679	12813
1786	"ENSDARG00000101913"	"CABZ01092156.1"	chrKN150212.1	-	8268	8422	8268	8401	8605	8733
1787	"ENSDARG00000100185"	"elovl7b"	chrKN150589.1	-	4292	4398	4292	4377	4524	4581
1788	"ENSDARG00000109774"	NA	chrKZ116043.1	+	3724	3852	3729	3852	2645	2849
1789	"ENSDARG00000104516"	"polr3d"	chrKN150353.1	-	5978	6131	5978	6128	7674	7925
1790	"ENSDARG00000099154"	"CABZ01032488.1"	chrKN149764.1	-	5208	5323	5208	5292	5406	5564
1791	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12455	12838	12455	12759	12951	13069
1792	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12951	13069	12951	13064	13155	13215
1793	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	13155	13215	13155	13212	13299	13359
1794	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	13158	13359	13158	13215	14054	14134
1795	"ENSDARG00000099653"	NA	chrKN149818.1	-	15212	15375	15212	15294	15792	15880
1796	"ENSDARG00000101462"	"setdb2"	chrKN150699.1	+	11385	11544	11455	11544	11148	11320
1797	"ENSDARG00000101462"	"setdb2"	chrKN150699.1	+	11385	11544	11460	11544	11148	11320
1798	"ENSDARG00000101462"	"setdb2"	chrKN150699.1	+	11455	11544	11460	11544	11148	11320
1799	"ENSDARG00000101462"	"setdb2"	chrKN150699.1	+	12346	12431	12351	12431	11455	11544
1800	"ENSDARG00000113768"	"CABZ01058046.1"	chrKZ116019.1	-	27391	27630	27391	27627	29931	30070
1801	"ENSDARG00000100769"	"CABZ01085201.1"	chrKN150062.1	+	9427	9594	9454	9594	8671	8890
1802	"ENSDARG00000100769"	"CABZ01085201.1"	chrKN150062.1	+	11109	11320	11112	11320	9454	9594
1803	"ENSDARG00000100769"	"CABZ01085201.1"	chrKN150062.1	+	22170	22245	22172	22245	16787	16981
1804	"ENSDARG00000101800"	"CABZ01088271.1"	chrKN150631.1	+	17344	17625	17352	17625	17170	17264
1805	"ENSDARG00000111812"	"CABZ01073083.1"	chrKN150306.1	-	23674	23885	23674	23859	26839	26967
1806	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	742	927	748	927	2	608
1807	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	2808	3199	3129	3199	2552	2728
1808	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	7281	7417	7287	7417	7010	7106
1809	"ENSDARG00000101347"	"CABZ01068251.1"	chrKN149909.1	-	26265	26334	26265	26310	26434	26543
1810	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29178	28932	29058	31620	31641
1811	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	21691	21770	28357	28501
1812	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21840	21691	21770	28357	28501
