ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	60220	60974	60853	60974	58292	58376
1	"ENSDARG00000100534"	"irak4"	chr25	-	769161	769348	769274	769348	768374	768437
2	"ENSDARG00000105296"	NA	chr25	-	5718931	5719062	5718943	5719062	5713687	5713802
3	"ENSDARG00000018559"	"kdm7ab"	chr25	+	17293419	17293514	17293419	17293511	17295802	17295889
4	"ENSDARG00000101332"	"uba2"	chr25	-	12819304	12819456	12819334	12819456	12819141	12819241
5	"ENSDARG00000020718"	"slc25a22a"	chr25	-	4475687	4475781	4475690	4475781	4474303	4474361
6	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14429578	14429718	14429607	14429718	14429216	14429487
7	"ENSDARG00000077228"	"ntrk3a"	chr25	-	11833339	11833592	11833348	11833592	11815245	11815404
8	"ENSDARG00000088593"	"chst1"	chr25	+	14017608	14018135	14017608	14018077	14018869	14021111
9	"ENSDARG00000089131"	"il17rel"	chr25	+	29489238	29489387	29489238	29489384	29489688	29489754
10	"ENSDARG00000100231"	"ccdc135"	chr25	+	13741597	13741708	13741597	13741684	13741791	13741986
11	"ENSDARG00000013990"	"ube2q2"	chr25	-	29450014	29450232	29450079	29450232	29444717	29444802
12	"ENSDARG00000013990"	"ube2q2"	chr25	-	29450014	29450232	29450094	29450232	29444717	29444802
13	"ENSDARG00000013990"	"ube2q2"	chr25	-	29450079	29450232	29450094	29450232	29444717	29444802
14	"ENSDARG00000053609"	"gatd1"	chr25	-	3805844	3807609	3807503	3807609	3804531	3804623
15	"ENSDARG00000089207"	"ankrd27"	chr25	+	36419374	36419502	36419374	36419490	36421531	36421613
16	"ENSDARG00000004785"	"cops2"	chr25	-	32377845	32377977	32377851	32377977	32375516	32375606
17	"ENSDARG00000079773"	"nox5"	chr25	-	7931415	7931540	7931421	7931540	7931214	7931299
18	"ENSDARG00000079773"	"nox5"	chr25	-	7934777	7934914	7934783	7934914	7933437	7933482
19	"ENSDARG00000097381"	"CR382363.1"	chr25	+	28814271	28814399	28814271	28814363	28815371	28815574
20	"ENSDARG00000013719"	"gtse1"	chr25	-	19607960	19608460	19608282	19608460	19607634	19607692
21	"ENSDARG00000061802"	"cnot2"	chr25	+	28698692	28698849	28698692	28698847	28698935	28698997
22	"ENSDARG00000042107"	"cngb1b"	chr25	-	17525535	17526307	17526040	17526307	17525135	17525301
23	"ENSDARG00000104609"	"crebbpa"	chr22	+	26768658	26768721	26768658	26768711	26770297	26770410
