GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000002552	0		mapkapk2a	MAPK activated protein kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030131-5532]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000015653	0		tnip1	TNFAIP3 interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-070112-1502]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000016065	0		tlr3	toll-like receptor 3 [Source:ZFIN;Acc:ZDB-GENE-040219-7]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000024032	0		coch	coagulation factor C homolog, cochlin (Limulus polyphemus) [Source:ZFIN;Acc:ZDB-GENE-030616-403]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000040249	0		tlr18	toll-like receptor 18 [Source:ZFIN;Acc:ZDB-GENE-040220-2]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000043509	0		rpl11	ribosomal protein L11 [Source:ZFIN;Acc:ZDB-GENE-040625-147]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000044415	0		tlr5a	toll-like receptor 5a [Source:ZFIN;Acc:ZDB-GENE-040219-14]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000052747	0		gpatch3	G patch domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-070112-902]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000058729	0		akirin2	akirin 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2944]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000069114	0		unc93b1	unc-93 homolog B1, TLR signaling regulator [Source:ZFIN;Acc:ZDB-GENE-130424-1]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000070922	0		cnbpb	CCHC-type zinc finger, nucleic acid binding protein b [Source:ZFIN;Acc:ZDB-GENE-030131-7782]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000077810	0		otud4	OTU deubiquitinase 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5338]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000102119	0		si:ch73-359m17.2	si:ch73-359m17.2 [Source:ZFIN;Acc:ZDB-GENE-141222-90]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000104396	0		trim25	tripartite motif containing 25 [Source:ZFIN;Acc:ZDB-GENE-040426-797]
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000030602	1		rps19	ribosomal protein S19 [Source:ZFIN;Acc:ZDB-GENE-040426-1716]
