ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1782	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	4556	4952	4556	4732	4849	4952
1783	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	5326	4879	4948	5168	5326
1784	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5777	5508	5608	5706	5777
1785	"ENSDARG00000098584"	"CABZ01102240.1"	chrKN149883.1	-	2234	2479	2234	2310	2400	2479
1786	"ENSDARG00000098241"	"fanca"	chrKN150550.1	+	7343	7763	7343	7441	7644	7763
1787	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	5967	6308	5967	6102	6274	6308
1788	"ENSDARG00000103973"	"CABZ01051602.1"	chrKN150654.1	-	12091	12511	12091	12187	12299	12511
1789	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12649	13064	12649	12759	12951	13064
1790	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12951	13212	12951	13069	13155	13212
1791	"ENSDARG00000101462"	"setdb2"	chrKN150699.1	+	11165	11544	11165	11320	11455	11544
1792	"ENSDARG00000111812"	"CABZ01073083.1"	chrKN150306.1	-	26839	27280	26839	26967	27115	27280
1793	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	7287	7760	7287	7417	7600	7760
1794	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31641	31484	31526	31620	31641
1795	"ENSDARG00000101611"	NA	chrKN150170.1	+	12085	12411	12085	12193	12321	12411
1796	"ENSDARG00000101611"	NA	chrKN150170.1	+	12497	12969	12497	12599	12837	12969
1797	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	4742	5091	4742	4796	5041	5091
1798	"ENSDARG00000110900"	"CABZ01078606.1"	chrKN149959.1	+	6392	6643	6392	6491	6557	6643
1799	"ENSDARG00000115752"	"CABZ01028768.1"	chrKN150449.1	-	10064	10491	10064	10192	10326	10491
1800	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40658	40222	40396	40641	40658
1801	"ENSDARG00000100753"	"CABZ01076275.1"	chrKN150405.1	-	14351	14627	14351	14403	14556	14627
1802	"ENSDARG00000103190"	"psmd2"	chrKN150158.1	-	8694	9184	8694	8816	9015	9184
1803	"ENSDARG00000104276"	NA	chrKN150326.1	-	42128	42396	42128	42178	42291	42396
1804	"ENSDARG00000104276"	NA	chrKN150326.1	-	51627	51908	51627	51678	51807	51908
1805	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	60220	60974	60220	60313	60505	60974
1806	"ENSDARG00000034598"	"dicp1.16"	chrKN149948.1	-	13985	14391	13985	14014	14304	14391
1807	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	25940	26204	25940	26007	26088	26204
1808	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	26717	27092	26717	26821	27006	27092
1809	"ENSDARG00000104550"	"clcn2b"	chrKN150171.1	-	68800	69297	68800	68956	69271	69297
1810	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	34256	34488	34256	34350	34434	34488
1811	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	34256	34632	34256	34488	34578	34632
1812	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40325	40788	40325	40379	40476	40788
1813	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40476	40788	40476	40530	40617	40788
1814	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40617	40788	40617	40671	40753	40788
1815	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	51700	51905	51700	51751	51851	51905
1816	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63483	63761	63483	63546	63707	63761
1817	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63483	63951	63483	63761	63897	63951
1818	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63629	64121	63629	63951	64067	64121
1819	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	282820	283211	282820	282915	283108	283211
1820	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	282820	283211	282820	282915	283140	283211
1821	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167013	167432	167013	167113	167231	167432
1822	"ENSDARG00000110991"	NA	chr25	-	37462778	37463167	37462778	37462874	37462948	37463167
1823	"ENSDARG00000110991"	NA	chr25	-	37462948	37463167	37462948	37463029	37463096	37463167
1824	"ENSDARG00000110991"	NA	chr25	-	37463944	37464404	37463944	37463991	37464134	37464404
1825	"ENSDARG00000061421"	NA	chr25	-	24790709	24791040	24790709	24790860	24790980	24791040
1826	"ENSDARG00000061421"	NA	chr25	-	24807561	24807805	24807561	24807630	24807751	24807805
1827	"ENSDARG00000099194"	"CABZ01058261.1"	chr25	+	3664596	3664927	3664596	3664720	3664807	3664927
1828	"ENSDARG00000103476"	"trpm1b"	chr25	+	34611970	34612454	34611970	34612222	34612301	34612454
1829	"ENSDARG00000032650"	"fuk"	chr25	+	7576128	7576583	7576128	7576222	7576411	7576583
1830	"ENSDARG00000015502"	"adam10b"	chr25	+	158328	158791	158328	158348	158627	158791
1831	"ENSDARG00000100621"	"CABZ01080550.1"	chr25	+	8287975	8288307	8287975	8288114	8288202	8288307
1832	"ENSDARG00000100621"	"CABZ01080550.1"	chr25	+	8290027	8290479	8290027	8290156	8290332	8290479
1833	"ENSDARG00000078139"	"appl2"	chr25	-	5791062	5791322	5791062	5791110	5791187	5791322
1834	"ENSDARG00000087843"	"cntn1a"	chr25	+	15262	15601	15262	15351	15450	15601
1835	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128980	128674	128710	128857	128980
1836	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128980	128674	128716	128857	128980
1837	"ENSDARG00000103691"	"rfx7b"	chr25	+	398635	399051	398635	398716	398843	399051
1838	"ENSDARG00000100151"	"appl2"	chr25	+	5758292	5758553	5758292	5758353	5758443	5758553
1839	"ENSDARG00000076361"	"CABZ01039859.1"	chr25	+	5310556	5310923	5310556	5310689	5310816	5310923
1840	"ENSDARG00000103002"	"nptna"	chr25	-	29322856	29323117	29322856	29322932	29323107	29323117
1841	"ENSDARG00000103311"	"fbln1"	chr25	+	1762345	1762679	1762345	1762493	1762652	1762679
1842	"ENSDARG00000103666"	"dapk2b"	chr25	+	26604133	26604529	26604133	26604204	26604427	26604529
1843	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203430	202943	203036	203346	203430
1844	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31169611	31169892	31169611	31169775	31169863	31169892
1845	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31169703	31169986	31169703	31169766	31169863	31169986
1846	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31171482	31171796	31171482	31171615	31171695	31171796
1847	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37447063	37447480	37447063	37447178	37447416	37447480
1848	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37450116	37450456	37450116	37450219	37450322	37450456
1849	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37451482	37451858	37451482	37451550	37451797	37451858
1850	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37451806	37452022	37451806	37451858	37451972	37452022
1851	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37453824	37454178	37453824	37453920	37453996	37454178
1852	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37455867	37456341	37455867	37455896	37456031	37456341
1853	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457288	37457523	37457288	37457348	37457464	37457523
1854	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37460632	37460950	37460632	37460707	37460875	37460950
1855	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37460632	37460976	37460632	37460950	37460952	37460976
1856	"ENSDARG00000001259"	"gas2a"	chr25	+	35329603	35329993	35329603	35329639	35329929	35329993
1857	"ENSDARG00000001259"	"gas2a"	chr25	+	35331386	35331574	35331386	35331483	35331549	35331574
1858	"ENSDARG00000001259"	"gas2a"	chr25	+	35331386	35331786	35331386	35331574	35331678	35331786
1859	"ENSDARG00000116334"	"tmem17"	chr25	+	28590492	28590741	28590492	28590517	28590627	28590741
1860	"ENSDARG00000116334"	"tmem17"	chr25	+	28590492	28590960	28590492	28590741	28590816	28590960
1861	"ENSDARG00000030114"	"vps4a"	chr25	+	34943187	34943618	34943187	34943344	34943413	34943618
1862	"ENSDARG00000105296"	NA	chr25	-	5708741	5709207	5708741	5708970	5709112	5709207
1863	"ENSDARG00000105296"	NA	chr25	-	5710897	5711379	5710897	5711066	5711186	5711379
1864	"ENSDARG00000070775"	"cyp2x9"	chr25	-	17402735	17403112	17402735	17402888	17403067	17403112
1865	"ENSDARG00000009941"	"erc1a"	chr25	+	21246117	21246615	21246117	21246159	21246558	21246615
1866	"ENSDARG00000005841"	"tnni2a.2"	chr25	+	31244830	31245128	31244830	31244957	31245038	31245128
1867	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19259687	19260008	19259687	19259827	19259906	19260008
1868	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19262669	19262968	19262669	19262771	19262895	19262968
1869	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19315176	19315384	19315176	19315202	19315276	19315384
1870	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19315176	19315576	19315176	19315384	19315459	19315576
1871	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19318808	19319224	19318808	19318905	19319043	19319224
1872	"ENSDARG00000045799"	"acanb"	chr25	-	19213871	19214363	19213871	19213957	19214177	19214363
1873	"ENSDARG00000045799"	"acanb"	chr25	-	19214526	19214869	19214526	19214681	19214786	19214869
1874	"ENSDARG00000078992"	"wnk1a"	chr25	-	21119570	21119948	21119570	21119755	21119831	21119948
1875	"ENSDARG00000078992"	"wnk1a"	chr25	-	21129348	21129677	21129348	21129432	21129611	21129677
1876	"ENSDARG00000037353"	"frs2b"	chr25	-	34733568	34733953	34733568	34733597	34733766	34733953
1877	"ENSDARG00000078600"	"ldlrad3"	chr25	-	37328524	37328858	37328524	37328659	37328733	37328858
1878	"ENSDARG00000078600"	"ldlrad3"	chr25	-	37328524	37328858	37328524	37328659	37328737	37328858
1879	"ENSDARG00000018559"	"kdm7ab"	chr25	+	17293177	17293511	17293177	17293310	17293419	17293511
1880	"ENSDARG00000018559"	"kdm7ab"	chr25	+	17305001	17305296	17305001	17305159	17305237	17305296
1881	"ENSDARG00000030621"	"th"	chr25	-	24072955	24073335	24072955	24073159	24073263	24073335
1882	"ENSDARG00000006600"	"lsm14aa"	chr25	+	35903245	35903580	35903245	35903280	35903357	35903580
1883	"ENSDARG00000102889"	"sept15"	chr25	-	12859218	12859492	12859218	12859343	12859440	12859492
1884	"ENSDARG00000102889"	"sept15"	chr25	-	12864618	12865088	12864618	12864630	12864991	12865088
1885	"ENSDARG00000101332"	"uba2"	chr25	-	12819031	12819241	12819031	12819045	12819141	12819241
1886	"ENSDARG00000101332"	"uba2"	chr25	-	12819031	12819241	12819031	12819048	12819141	12819241
1887	"ENSDARG00000101332"	"uba2"	chr25	-	12819031	12819456	12819031	12819241	12819304	12819456
1888	"ENSDARG00000101332"	"uba2"	chr25	-	12819031	12819456	12819031	12819241	12819334	12819456
1889	"ENSDARG00000101332"	"uba2"	chr25	-	12822628	12822869	12822628	12822729	12822809	12822869
1890	"ENSDARG00000025189"	"cpne8"	chr25	+	35840628	35840974	35840628	35840682	35840800	35840974
1891	"ENSDARG00000025189"	"cpne8"	chr25	+	35840628	35840974	35840628	35840682	35840811	35840974
1892	"ENSDARG00000025189"	"cpne8"	chr25	+	35840800	35841116	35840800	35840974	35841054	35841116
1893	"ENSDARG00000051749"	"tigara"	chr25	-	16967128	16967407	16967128	16967239	16967310	16967407
1894	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16986613	16987020	16986613	16986734	16986905	16987020
1895	"ENSDARG00000034443"	"mpped2"	chr25	+	14734021	14734282	14734021	14734135	14734232	14734282
1896	"ENSDARG00000100206"	"klhdc4"	chr25	-	12729719	12729966	12729719	12729798	12729877	12729966
1897	"ENSDARG00000051936"	"ergic2"	chr25	+	20718465	20718928	20718465	20718479	20718826	20718928
1898	"ENSDARG00000051936"	"ergic2"	chr25	+	20722567	20722748	20722567	20722603	20722692	20722748
1899	"ENSDARG00000051936"	"ergic2"	chr25	+	20722567	20723048	20722567	20722748	20722949	20723048
1900	"ENSDARG00000074626"	"pidd1"	chr25	-	4514143	4514367	4514143	4514251	4514317	4514367
1901	"ENSDARG00000074626"	"pidd1"	chr25	-	4514317	4514710	4514317	4514367	4514594	4514710
1902	"ENSDARG00000074626"	"pidd1"	chr25	-	4514594	4514927	4514594	4514710	4514787	4514927
1903	"ENSDARG00000045606"	"alkbh3"	chr25	+	30237865	30238113	30237865	30237903	30238020	30238113
1904	"ENSDARG00000045606"	"alkbh3"	chr25	+	30237874	30238113	30237874	30237954	30238037	30238113
1905	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14429803	14430049	14429803	14429908	14429985	14430049
1906	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14429985	14430322	14429985	14430111	14430209	14430322
1907	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14431678	14432058	14431678	14431898	14431984	14432058
1908	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14431822	14432160	14431822	14431894	14431984	14432160
1909	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14433255	14433503	14433255	14433303	14433378	14433503
1910	"ENSDARG00000015709"	"hsd17b12a"	chr25	+	30220510	30220949	30220510	30220518	30220914	30220949
1911	"ENSDARG00000020735"	"efcab6"	chr25	-	18999971	19000460	18999971	19000076	19000146	19000460
1912	"ENSDARG00000020735"	"efcab6"	chr25	-	19000146	19000460	19000146	19000304	19000397	19000460
1913	"ENSDARG00000020735"	"efcab6"	chr25	-	19006930	19007297	19006930	19007151	19007229	19007297
1914	"ENSDARG00000075177"	"ribc2"	chr25	-	16754953	16755340	16754953	16755044	16755125	16755340
1915	"ENSDARG00000070723"	"ndufa9a"	chr25	-	16773194	16773675	16773194	16773325	16773417	16773675
1916	"ENSDARG00000070723"	"ndufa9a"	chr25	-	16773194	16773675	16773194	16773325	16773605	16773675
1917	"ENSDARG00000070723"	"ndufa9a"	chr25	-	16773417	16773675	16773417	16773513	16773605	16773675
1918	"ENSDARG00000067796"	"clpxb"	chr25	-	35577921	35578163	35577921	35578028	35578102	35578163
1919	"ENSDARG00000023583"	"coq9"	chr25	-	14383817	14384105	14383817	14383871	14383950	14384105
1920	"ENSDARG00000023583"	"coq9"	chr25	-	14383817	14384105	14383817	14383871	14383980	14384105
1921	"ENSDARG00000023583"	"coq9"	chr25	-	14383817	14384105	14383817	14383871	14384011	14384105
1922	"ENSDARG00000033596"	"polr2c"	chr25	-	14373649	14373956	14373649	14373778	14373888	14373956
1923	"ENSDARG00000033596"	"polr2c"	chr25	-	14373888	14374095	14373888	14373956	14374026	14374095
1924	"ENSDARG00000033596"	"polr2c"	chr25	-	14373888	14374095	14373888	14373941	14374030	14374095
