GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000018105	0	0.03610820075142987	casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000019117	0	0.16871545806712046	parvb	parvin, beta [Source:ZFIN;Acc:ZDB-GENE-030131-4411]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000027600	0	0.02820420888030436	pdlim5b	PDZ and LIM domain 5b [Source:ZFIN;Acc:ZDB-GENE-040426-908]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000029907	0	0.16011240284319078	trim54	tripartite motif containing 54 [Source:ZFIN;Acc:ZDB-GENE-041014-342]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000032630	0	2.7660788976971977e-4	neb	nebulin [Source:ZFIN;Acc:ZDB-GENE-041111-216]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000037266	0	0.23543824076362777	myoz2b	myozenin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1853]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000045228	0	0.13771139741343727	stub1	STIP1 homology and U-Box containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2963]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000056322	0	0.2562672358379088	ldb3a	LIM domain binding 3a [Source:ZFIN;Acc:ZDB-GENE-040121-6]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000056964	0	0.005715414656087821	ilk	integrin-linked kinase [Source:ZFIN;Acc:ZDB-GENE-040426-1435]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000057317	0	0.21358854302790298	nexn	nexilin (F actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-041114-92]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000067701	0	0.8332951395788916	myoz3a	myozenin 3a [Source:ZFIN;Acc:ZDB-GENE-111012-4]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000098856	0	0.1187042914002645	ENSDARG00000098856	ryanodine receptor 2a (cardiac) [Source:NCBI gene;Acc:100126126]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000099032	0	1.0735139405139258	FO818704.1	myozenin-2-like [Source:NCBI gene;Acc:108190739]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000101777	0	0.012068288287446497	pdlim5a	PDZ and LIM domain 5a [Source:NCBI gene;Acc:436927]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000104713	0	0.36550299364451405	zgc:165653	zgc:165653 [Source:ZFIN;Acc:ZDB-GENE-070620-24]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000001431	1	0.2050734459082252	actn3b	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000012311	1	0.8955455337542301	myoz2a	myozenin 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1880]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000014248	1	0.71326823158842	pdlim3b	PDZ and LIM domain 3b [Source:ZFIN;Acc:ZDB-GENE-060130-104]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000058656	1	0.8923843749365558	desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000071445	1	0.21980807662402693	myoz1b	myozenin 1b [Source:ZFIN;Acc:ZDB-GENE-040718-146]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000078696	1	0.5322954934006641	synpo2lb	synaptopodin 2-like b [Source:ZFIN;Acc:ZDB-GENE-090828-5]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000099974	1	0.4531662866493865	ldb3b	LIM domain binding 3b [Source:ZFIN;Acc:ZDB-GENE-030131-6032]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000101706	1	0.6671916753146544	csrp3	cysteine and glycine-rich protein 3 (cardiac LIM protein) [Source:ZFIN;Acc:ZDB-GENE-041010-119]
GO:0030018	Z disc	24	9	0.9	1e-07	ENSDARG00000114870	1	0.3037061409172399	CABZ01078594.1	NA
GO:0005912	adherens junction	52	8	1.95	0.00062	ENSDARG00000002494	0	0.013549581412084665	itgb6	integrin, beta 6 [Source:ZFIN;Acc:ZDB-GENE-100812-2]
GO:0005912	adherens junction	52	8	1.95	0.00062	ENSDARG00000004672	0	0.004577087031656267	ptk2ab	protein tyrosine kinase 2ab [Source:ZFIN;Acc:ZDB-GENE-020114-1]
