GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000014274	0	0.09015533987478132	rfc2	replication factor C (activator 1) 2 [Source:ZFIN;Acc:ZDB-GENE-050306-29]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000017928	0	0.25870740849164	xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3 [Source:ZFIN;Acc:ZDB-GENE-050320-116]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000018022	0	0.21132681256621108	msh2	mutS homolog 2 (E. coli) [Source:ZFIN;Acc:ZDB-GENE-040426-2932]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000018918	0	0.13883788146656875	rad17	RAD17 checkpoint clamp loader component [Source:ZFIN;Acc:ZDB-GENE-040718-409]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000024488	0	0.272207532732447	top2a	DNA topoisomerase II alpha [Source:ZFIN;Acc:ZDB-GENE-030131-2453]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000026400	0	0.8608959823166195	rad51d	RAD51 paralog D [Source:ZFIN;Acc:ZDB-GENE-040426-2490]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000034195	0	0.02045657508307412	top2b	DNA topoisomerase II beta [Source:ZFIN;Acc:ZDB-GENE-041008-136]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000035634	0	0.12799425627461058	rfc5	replication factor C (activator 1) 5 [Source:ZFIN;Acc:ZDB-GENE-040907-1]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000037532	0	0.10533846793878301	mcm3l	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae), like [Source:ZFIN;Acc:ZDB-GENE-040121-2]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000040041	0	0.34626997883659266	mcm4	minichromosome maintenance complex component 4 [Source:ZFIN;Acc:ZDB-GENE-030131-9544]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000041411	0	0.4542102732828192	rad51	RAD51 recombinase [Source:ZFIN;Acc:ZDB-GENE-040426-2286]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000042458	0	0.12522352712919668	rfc4	replication factor C (activator 1) 4 [Source:ZFIN;Acc:ZDB-GENE-040824-3]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000052348	0	0.21866643370761263	smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:ZFIN;Acc:ZDB-GENE-021125-1]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000054799	0	0.16331494452060272	rfc1	replication factor C (activator 1) 1 [Source:ZFIN;Acc:ZDB-GENE-070410-99]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000055969	0	0.12663083530306432	rfc3	replication factor C (activator 1) 3 [Source:ZFIN;Acc:ZDB-GENE-020809-3]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000058480	0	0.26612003689690883	chtf18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050522-508]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000063276	0	0.02743974435693567	msh3	mutS homolog 3 (E. coli) [Source:ZFIN;Acc:ZDB-GENE-060526-307]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000068919	0	0.30584806545988824	rad51c	RAD51 paralog C [Source:ZFIN;Acc:ZDB-GENE-041010-204]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000077226	0	0.0741129487542297	smarca4a	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4a [Source:ZFIN;Acc:ZDB-GENE-030605-1]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000078759	0	0.023584210705671935	dna2	DNA replication helicase/nuclease 2 [Source:ZFIN;Acc:ZDB-GENE-090313-71]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000092134	0	0.46391247159990234	rad54b	RAD54 homolog B [Source:ZFIN;Acc:ZDB-GENE-060810-50]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000101180	0	0.1133941698170227	mcm7	minichromosome maintenance complex component 7 [Source:ZFIN;Acc:ZDB-GENE-020419-27]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000104541	0	0.3390278987432045	msh6	mutS homolog 6 (E. coli) [Source:ZFIN;Acc:ZDB-GENE-020905-3]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000057683	1	0.4071894940651635	mcm6	minichromosome maintenance complex component 6 [Source:ZFIN;Acc:ZDB-GENE-030909-6]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000057738	1	0.48242114334429287	hells	helicase, lymphoid specific [Source:ZFIN;Acc:ZDB-GENE-030131-9923]
GO:0008094	DNA-dependent ATPase activity	26	3	0.09	7.8e-05	ENSDARG00000102798	1	0.3810951341656985	mcm2	minichromosome maintenance complex component 2 [Source:ZFIN;Acc:ZDB-GENE-020419-24]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000006901	0	0.05876417192108222	si:ch1073-459j12.1	si:ch1073-459j12.1 [Source:ZFIN;Acc:ZDB-GENE-030131-8546]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000011769	0	0.24566611358218915	cpm	carboxypeptidase M [Source:ZFIN;Acc:ZDB-GENE-041210-191]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000012013	0	0.2010161616156954	cpa6	carboxypeptidase A6 [Source:ZFIN;Acc:ZDB-GENE-091204-331]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000021339	0	0.9395620131584067	cpa5	carboxypeptidase A5 [Source:ZFIN;Acc:ZDB-GENE-020514-1]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000043722	0	1.2466588533593168	cpa4	carboxypeptidase A4 [Source:ZFIN;Acc:ZDB-GENE-040704-61]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000045442	0	1.0808099454758684	cpb1	carboxypeptidase B1 (tissue) [Source:ZFIN;Acc:ZDB-GENE-030131-1132]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000073716	0	0.20413876244769316	cpxm1a	carboxypeptidase X (M14 family), member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-5284]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000091726	0	0.0833884719534732	aebp1	AE binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2390]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000098158	0	0.016882155516404145	cpxm1b	carboxypeptidase X (M14 family), member 1b [Source:ZFIN;Acc:ZDB-GENE-141212-305]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000104384	0	0.19131202850853984	agbl1	ATP/GTP binding protein-like 1 [Source:ZFIN;Acc:ZDB-GENE-110207-1]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000030915	1	1.2227214920967504	cpa1	carboxypeptidase A1 (pancreatic) [Source:ZFIN;Acc:ZDB-GENE-050522-438]
GO:0004181	metallocarboxypeptidase activity	12	2	0.04	0.00067	ENSDARG00000077688	1	0.6354785389381192	cpo	carboxypeptidase O [Source:NCBI gene;Acc:100005630]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000002402	0	0.10943416315214055	ercc3	excision repair cross-complementation group 3 [Source:NCBI gene;Acc:324323]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000002591	0	0.1725207377122486	ruvbl1	RuvB-like AAA ATPase 1 [Source:NCBI gene;Acc:317679]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000007175	0	0.2971168495868279	recql	RecQ helicase-like [Source:ZFIN;Acc:ZDB-GENE-050809-134]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000011072	0	0.017687029340388547	ddx11	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 [Source:NCBI gene;Acc:492353]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000012600	0	0.08847155496954949	si:dkey-97a13.6	si:dkey-97a13.6 [Source:ZFIN;Acc:ZDB-GENE-070912-617]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000015471	0	0.24145430904236714	chd1l	chromodomain helicase DNA binding protein 1-like [Source:NCBI gene;Acc:393283]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000020289	0	0.7152411160944439	pif1	PIF1 5'-to-3' DNA helicase homolog (S. cerevisiae) [Source:NCBI gene;Acc:326729]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000021985	0	0.19819038902429761	ercc2	excision repair cross-complementation group 2 [Source:ZFIN;Acc:ZDB-GENE-040426-997]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000035074	0	0.09795548261399152	rtel1	regulator of telomere elongation helicase 1 [Source:NCBI gene;Acc:503732]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000037532	0	0.10533846793878301	mcm3l	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae), like [Source:ZFIN;Acc:ZDB-GENE-040121-2]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000040041	0	0.34626997883659266	mcm4	minichromosome maintenance complex component 4 [Source:ZFIN;Acc:ZDB-GENE-030131-9544]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000042236	0	0.04362573582806225	atrx	ATRX chromatin remodeler [Source:ZFIN;Acc:ZDB-GENE-030912-11]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000055639	0	0.1715452995221396	ruvbl2	RuvB-like AAA ATPase 2 [Source:NCBI gene;Acc:317678]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000058480	0	0.26612003689690883	chtf18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050522-508]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000071551	0	0.008178525032591933	xrcc6	X-ray repair complementing defective repair in Chinese hamster cells 6 [Source:ZFIN;Acc:ZDB-GENE-030131-6420]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000074410	0	0.21013327698482248	brip1	BRCA1 interacting protein C-terminal helicase 1 [Source:ZFIN;Acc:ZDB-GENE-081107-11]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000075211	0	0.0318759060598309	chd7	chromodomain helicase DNA binding protein 7 [Source:ZFIN;Acc:ZDB-GENE-070912-179]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000075543	0	3.806868364732333e-4	chd8	chromodomain helicase DNA binding protein 8 [Source:NCBI gene;Acc:568214]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000078759	0	0.023584210705671935	dna2	DNA replication helicase/nuclease 2 [Source:ZFIN;Acc:ZDB-GENE-090313-71]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000099298	0	0.03305000640750421	xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5 [Source:ZFIN;Acc:ZDB-GENE-041008-108]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000099900	0	0.17354969872692602	twnk	twinkle mtDNA helicase [Source:ZFIN;Acc:ZDB-GENE-030131-5569]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000101180	0	0.1133941698170227	mcm7	minichromosome maintenance complex component 7 [Source:ZFIN;Acc:ZDB-GENE-020419-27]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000103933	0	0.47058118617430383	fancm	FA complementation group M [Source:ZFIN;Acc:ZDB-GENE-090929-1]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000112136	0	0.014414717758291172	CABZ01079748.1	NA
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000057683	1	0.4071894940651635	mcm6	minichromosome maintenance complex component 6 [Source:ZFIN;Acc:ZDB-GENE-030909-6]
GO:0003678	DNA helicase activity	26	2	0.09	0.00322	ENSDARG00000102798	1	0.3810951341656985	mcm2	minichromosome maintenance complex component 2 [Source:ZFIN;Acc:ZDB-GENE-020419-24]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000000241	0	0.11479923736184615	slc40a1	solute carrier family 40 member 1 [Source:NCBI gene;Acc:58153]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000000442	0	0.1943760622736562	slc39a13	solute carrier family 39 member 13 [Source:NCBI gene;Acc:368686]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000000551	0	0.12011556393291865	slc1a4	solute carrier family 1 member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000001354	0	0.1562865317035535	slc6a22.2	solute carrier family 6 member 22, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030616-628]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000001437	0	0.13677618900568736	slc2a1a	solute carrier family 2 member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3158]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000001712	0	0.2126998365000745	si:ch211-247n2.1	si:ch211-247n2.1 [Source:ZFIN;Acc:ZDB-GENE-141216-101]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000001767	0	0.3170762435829416	slc29a2	solute carrier family 29 member 2 [Source:ZFIN;Acc:ZDB-GENE-050220-15]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000001788	0	0.04377740102814401	atp5po	ATP synthase peripheral stalk subunit OSCP [Source:ZFIN;Acc:ZDB-GENE-050522-147]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000001870	0	0.07305738968802686	atp1a1a.4	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-001212-4]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000002194	0	0.5011011631452477	rhd	Rh blood group, D antigen [Source:ZFIN;Acc:ZDB-GENE-051213-1]
GO:0005215	transporter activity	481	6	1.58	0.00399	ENSDARG00000002300	0	0.07125647390513491	p2rx2	purinergic receptor P2X, ligand-gated ion channel, 2 [Source:ZFIN;Acc:ZDB-GENE-030319-2]
