GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0048644	muscle organ morphogenesis	11	3	0.18	0.00066	ENSDARG00000002589,ENSDARG00000007370,ENSDARG00000011299,ENSDARG00000011615,ENSDARG00000020610,ENSDARG00000053254,ENSDARG00000060415,ENSDARG00000061862,ENSDARG00000062003,ENSDARG00000077818,ENSDARG00000104314
GO:0006937	regulation of muscle contraction	17	3	0.28	0.00254	ENSDARG00000002988,ENSDARG00000013335,ENSDARG00000018105,ENSDARG00000020574,ENSDARG00000020610,ENSDARG00000030270,ENSDARG00000037539,ENSDARG00000037954,ENSDARG00000043299,ENSDARG00000043313,ENSDARG00000045822,ENSDARG00000058656,ENSDARG00000059003,ENSDARG00000068457,ENSDARG00000071091,ENSDARG00000100694,ENSDARG00000116374
GO:0007030	Golgi organization	21	3	0.35	0.00474	ENSDARG00000006169,ENSDARG00000008765,ENSDARG00000010681,ENSDARG00000011299,ENSDARG00000016782,ENSDARG00000026908,ENSDARG00000039279,ENSDARG00000041391,ENSDARG00000042285,ENSDARG00000043510,ENSDARG00000044225,ENSDARG00000046022,ENSDARG00000052851,ENSDARG00000056550,ENSDARG00000060415,ENSDARG00000061372,ENSDARG00000061862,ENSDARG00000063197,ENSDARG00000078381,ENSDARG00000079453,ENSDARG00000102657
GO:0007626	locomotory behavior	43	4	0.71	0.00538	ENSDARG00000004060,ENSDARG00000004452,ENSDARG00000004680,ENSDARG00000005221,ENSDARG00000005775,ENSDARG00000006923,ENSDARG00000007561,ENSDARG00000008322,ENSDARG00000008788,ENSDARG00000011618,ENSDARG00000015822,ENSDARG00000017119,ENSDARG00000017834,ENSDARG00000018124,ENSDARG00000018228,ENSDARG00000018259,ENSDARG00000018534,ENSDARG00000018566,ENSDARG00000018820,ENSDARG00000021987,ENSDARG00000034503,ENSDARG00000037560,ENSDARG00000039098,ENSDARG00000045968,ENSDARG00000052644,ENSDARG00000056322,ENSDARG00000056499,ENSDARG00000056653,ENSDARG00000056924,ENSDARG00000058656,ENSDARG00000061121,ENSDARG00000062472,ENSDARG00000062590,ENSDARG00000062744,ENSDARG00000062956,ENSDARG00000063332,ENSDARG00000068460,ENSDARG00000070435,ENSDARG00000077284,ENSDARG00000078105,ENSDARG00000079352,ENSDARG00000102453,ENSDARG00000104945
GO:0097164	ammonium ion metabolic process	43	4	0.71	0.00538	ENSDARG00000006240,ENSDARG00000007377,ENSDARG00000008155,ENSDARG00000010130,ENSDARG00000010773,ENSDARG00000011233,ENSDARG00000011257,ENSDARG00000016494,ENSDARG00000016545,ENSDARG00000018976,ENSDARG00000021177,ENSDARG00000029621,ENSDARG00000030621,ENSDARG00000030743,ENSDARG00000035652,ENSDARG00000035869,ENSDARG00000036135,ENSDARG00000040248,ENSDARG00000040523,ENSDARG00000041078,ENSDARG00000042995,ENSDARG00000043856,ENSDARG00000052520,ENSDARG00000052789,ENSDARG00000053119,ENSDARG00000057053,ENSDARG00000057239,ENSDARG00000058162,ENSDARG00000058285,ENSDARG00000059770,ENSDARG00000063167,ENSDARG00000069446,ENSDARG00000069893,ENSDARG00000073720,ENSDARG00000075178,ENSDARG00000076121,ENSDARG00000077547,ENSDARG00000088357,ENSDARG00000095908,ENSDARG00000098782,ENSDARG00000100304,ENSDARG00000103614,ENSDARG00000104949
GO:0045214	sarcomere organization	26	3	0.43	0.00873	ENSDARG00000002988,ENSDARG00000006603,ENSDARG00000006757,ENSDARG00000008487,ENSDARG00000009280,ENSDARG00000011961,ENSDARG00000013422,ENSDARG00000018820,ENSDARG00000019096,ENSDARG00000020610,ENSDARG00000028213,ENSDARG00000030270,ENSDARG00000030980,ENSDARG00000037954,ENSDARG00000040917,ENSDARG00000041864,ENSDARG00000044968,ENSDARG00000045822,ENSDARG00000058656,ENSDARG00000061351,ENSDARG00000061904,ENSDARG00000063682,ENSDARG00000068457,ENSDARG00000091253,ENSDARG00000100729,ENSDARG00000114022
GO:0007010	cytoskeleton organization	540	19	8.93	0.00911	ENSDARG00000000103,ENSDARG00000000563,ENSDARG00000001431,ENSDARG00000001558,ENSDARG00000001909,ENSDARG00000002255,ENSDARG00000002332,ENSDARG00000002344,ENSDARG00000002403,ENSDARG00000002571,ENSDARG00000002587,ENSDARG00000002659,ENSDARG00000002682,ENSDARG00000002988,ENSDARG00000002991,ENSDARG00000003022,ENSDARG00000003046,ENSDARG00000003058,ENSDARG00000003084,ENSDARG00000003193,ENSDARG00000003952,ENSDARG00000004218,ENSDARG00000004372,ENSDARG00000004576,ENSDARG00000004658,ENSDARG00000004877,ENSDARG00000005104,ENSDARG00000005162,ENSDARG00000005374,ENSDARG00000005454,ENSDARG00000005456,ENSDARG00000005679,ENSDARG00000005993,ENSDARG00000006283,ENSDARG00000006603,ENSDARG00000006672,ENSDARG00000006757,ENSDARG00000007219,ENSDARG00000007278,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000008808,ENSDARG00000009133,ENSDARG00000009280,ENSDARG00000009336,ENSDARG00000009689,ENSDARG00000009727,ENSDARG00000010155,ENSDARG00000010280,ENSDARG00000010583,ENSDARG00000010953,ENSDARG00000011023,ENSDARG00000011459,ENSDARG00000011777,ENSDARG00000011961,ENSDARG00000011983,ENSDARG00000011998,ENSDARG00000012586,ENSDARG00000012682,ENSDARG00000012729,ENSDARG00000013079,ENSDARG00000013110,ENSDARG00000013422,ENSDARG00000013755,ENSDARG00000013858,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014329,ENSDARG00000014651,ENSDARG00000014817,ENSDARG00000014875,ENSDARG00000014943,ENSDARG00000015059,ENSDARG00000015206,ENSDARG00000015404,ENSDARG00000015538,ENSDARG00000015610,ENSDARG00000015937,ENSDARG00000015970,ENSDARG00000016016,ENSDARG00000016464,ENSDARG00000016483,ENSDARG00000016513,ENSDARG00000016594,ENSDARG00000017036,ENSDARG00000017105,ENSDARG00000017500,ENSDARG00000017785,ENSDARG00000017803,ENSDARG00000017901,ENSDARG00000018206,ENSDARG00000018566,ENSDARG00000018820,ENSDARG00000019096,ENSDARG00000019128,ENSDARG00000019185,ENSDARG00000019208,ENSDARG00000019231,ENSDARG00000019304,ENSDARG00000019345,ENSDARG00000019383,ENSDARG00000019525,ENSDARG00000019743,ENSDARG00000019845,ENSDARG00000019917,ENSDARG00000020134,ENSDARG00000020231,ENSDARG00000020258,ENSDARG00000020395,ENSDARG00000020488,ENSDARG00000020610,ENSDARG00000020795,ENSDARG00000020890,ENSDARG00000020929,ENSDARG00000021124,ENSDARG00000021193,ENSDARG00000021309,ENSDARG00000021483,ENSDARG00000021987,ENSDARG00000022045,ENSDARG00000022101,ENSDARG00000022309,ENSDARG00000022841,ENSDARG00000023026,ENSDARG00000023188,ENSDARG00000023318,ENSDARG00000023914,ENSDARG00000023916,ENSDARG00000023963,ENSDARG00000024209,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000024964,ENSDARG00000024966,ENSDARG00000025826,ENSDARG00000025953,ENSDARG00000026595,ENSDARG00000026630,ENSDARG00000026726,ENSDARG00000026829,ENSDARG00000027172,ENSDARG00000027234,ENSDARG00000027600,ENSDARG00000028213,ENSDARG00000028306,ENSDARG00000028393,ENSDARG00000028533,ENSDARG00000029019,ENSDARG00000029069,ENSDARG00000029133,ENSDARG00000029305,ENSDARG00000029764,ENSDARG00000029856,ENSDARG00000030106,ENSDARG00000030270,ENSDARG00000030490,ENSDARG00000030547,ENSDARG00000030608,ENSDARG00000030722,ENSDARG00000030980,ENSDARG00000031119,ENSDARG00000031345,ENSDARG00000031496,ENSDARG00000031720,ENSDARG00000031756,ENSDARG00000031985,ENSDARG00000032049,ENSDARG00000032221,ENSDARG00000032324,ENSDARG00000032458,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000032865,ENSDARG00000033234,ENSDARG00000033345,ENSDARG00000033466,ENSDARG00000034211,ENSDARG00000034227,ENSDARG00000034240,ENSDARG00000034555,ENSDARG00000034643,ENSDARG00000035360,ENSDARG00000035540,ENSDARG00000035598,ENSDARG00000035629,ENSDARG00000035650,ENSDARG00000035868,ENSDARG00000035907,ENSDARG00000036179,ENSDARG00000036189,ENSDARG00000036375,ENSDARG00000036764,ENSDARG00000037116,ENSDARG00000037276,ENSDARG00000037432,ENSDARG00000037560,ENSDARG00000037655,ENSDARG00000037675,ENSDARG00000037747,ENSDARG00000037954,ENSDARG00000038445,ENSDARG00000038465,ENSDARG00000038612,ENSDARG00000038974,ENSDARG00000039272,ENSDARG00000039309,ENSDARG00000039577,ENSDARG00000040178,ENSDARG00000040237,ENSDARG00000040380,ENSDARG00000040466,ENSDARG00000040649,ENSDARG00000040874,ENSDARG00000040917,ENSDARG00000041085,ENSDARG00000041257,ENSDARG00000041723,ENSDARG00000041864,ENSDARG00000041974,ENSDARG00000042128,ENSDARG00000042141,ENSDARG00000042182,ENSDARG00000042708,ENSDARG00000042840,ENSDARG00000042927,ENSDARG00000042946,ENSDARG00000043510,ENSDARG00000043643,ENSDARG00000043667,ENSDARG00000043982,ENSDARG00000044016,ENSDARG00000044345,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000044968,ENSDARG00000045064,ENSDARG00000045262,ENSDARG00000045316,ENSDARG00000045367,ENSDARG00000045399,ENSDARG00000045417,ENSDARG00000045675,ENSDARG00000045822,ENSDARG00000051768,ENSDARG00000052438,ENSDARG00000052482,ENSDARG00000052783,ENSDARG00000052923,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000054321,ENSDARG00000054389,ENSDARG00000054456,ENSDARG00000054911,ENSDARG00000055052,ENSDARG00000055075,ENSDARG00000055158,ENSDARG00000055223,ENSDARG00000055284,ENSDARG00000055400,ENSDARG00000056090,ENSDARG00000056111,ENSDARG00000056250,ENSDARG00000056322,ENSDARG00000056525,ENSDARG00000056664,ENSDARG00000056742,ENSDARG00000056794,ENSDARG00000057882,ENSDARG00000058000,ENSDARG00000058038,ENSDARG00000058207,ENSDARG00000058243,ENSDARG00000058348,ENSDARG00000058656,ENSDARG00000058868,ENSDARG00000058993,ENSDARG00000059003,ENSDARG00000059244,ENSDARG00000059442,ENSDARG00000059466,ENSDARG00000059473,ENSDARG00000059574,ENSDARG00000059596,ENSDARG00000059601,ENSDARG00000059701,ENSDARG00000059965,ENSDARG00000060010,ENSDARG00000060149,ENSDARG00000060200,ENSDARG00000060257,ENSDARG00000060298,ENSDARG00000060326,ENSDARG00000060349,ENSDARG00000060584,ENSDARG00000060745,ENSDARG00000060771,ENSDARG00000060917,ENSDARG00000060941,ENSDARG00000061093,ENSDARG00000061095,ENSDARG00000061304,ENSDARG00000061351,ENSDARG00000061398,ENSDARG00000061450,ENSDARG00000061579,ENSDARG00000061603,ENSDARG00000061635,ENSDARG00000061725,ENSDARG00000061778,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000061968,ENSDARG00000062003,ENSDARG00000062173,ENSDARG00000062198,ENSDARG00000062263,ENSDARG00000062390,ENSDARG00000062590,ENSDARG00000062790,ENSDARG00000062799,ENSDARG00000062806,ENSDARG00000062897,ENSDARG00000062948,ENSDARG00000062972,ENSDARG00000062978,ENSDARG00000063457,ENSDARG00000063527,ENSDARG00000063580,ENSDARG00000063604,ENSDARG00000063682,ENSDARG00000067711,ENSDARG00000068398,ENSDARG00000068457,ENSDARG00000068480,ENSDARG00000068745,ENSDARG00000068973,ENSDARG00000069113,ENSDARG00000069600,ENSDARG00000070055,ENSDARG00000070076,ENSDARG00000070537,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071198,ENSDARG00000071271,ENSDARG00000071458,ENSDARG00000071709,ENSDARG00000073753,ENSDARG00000073761,ENSDARG00000073765,ENSDARG00000074073,ENSDARG00000074137,ENSDARG00000074201,ENSDARG00000074244,ENSDARG00000074275,ENSDARG00000074311,ENSDARG00000074443,ENSDARG00000074521,ENSDARG00000074575,ENSDARG00000074581,ENSDARG00000074597,ENSDARG00000074747,ENSDARG00000074843,ENSDARG00000074849,ENSDARG00000075041,ENSDARG00000075369,ENSDARG00000075540,ENSDARG00000075608,ENSDARG00000075725,ENSDARG00000075989,ENSDARG00000076060,ENSDARG00000076357,ENSDARG00000076364,ENSDARG00000076414,ENSDARG00000076416,ENSDARG00000076566,ENSDARG00000076673,ENSDARG00000076799,ENSDARG00000076965,ENSDARG00000077650,ENSDARG00000077656,ENSDARG00000077709,ENSDARG00000077777,ENSDARG00000077788,ENSDARG00000078014,ENSDARG00000078241,ENSDARG00000078251,ENSDARG00000078318,ENSDARG00000078335,ENSDARG00000078386,ENSDARG00000078440,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078654,ENSDARG00000078722,ENSDARG00000078935,ENSDARG00000078947,ENSDARG00000079281,ENSDARG00000079317,ENSDARG00000079378,ENSDARG00000079440,ENSDARG00000079468,ENSDARG00000079542,ENSDARG00000079753,ENSDARG00000079777,ENSDARG00000079850,ENSDARG00000079869,ENSDARG00000079889,ENSDARG00000079895,ENSDARG00000079905,ENSDARG00000079917,ENSDARG00000086300,ENSDARG00000086391,ENSDARG00000087373,ENSDARG00000087402,ENSDARG00000087616,ENSDARG00000087749,ENSDARG00000087954,ENSDARG00000088091,ENSDARG00000088130,ENSDARG00000088168,ENSDARG00000088440,ENSDARG00000088492,ENSDARG00000088789,ENSDARG00000089340,ENSDARG00000089569,ENSDARG00000089790,ENSDARG00000090036,ENSDARG00000090369,ENSDARG00000090496,ENSDARG00000090628,ENSDARG00000090778,ENSDARG00000090785,ENSDARG00000091090,ENSDARG00000091253,ENSDARG00000091326,ENSDARG00000092281,ENSDARG00000092970,ENSDARG00000093342,ENSDARG00000093374,ENSDARG00000094677,ENSDARG00000094792,ENSDARG00000094892,ENSDARG00000095022,ENSDARG00000096433,ENSDARG00000097683,ENSDARG00000098317,ENSDARG00000098374,ENSDARG00000098481,ENSDARG00000098650,ENSDARG00000098749,ENSDARG00000098753,ENSDARG00000098802,ENSDARG00000098907,ENSDARG00000098954,ENSDARG00000098955,ENSDARG00000099139,ENSDARG00000099161,ENSDARG00000099235,ENSDARG00000099283,ENSDARG00000099339,ENSDARG00000099481,ENSDARG00000099510,ENSDARG00000099720,ENSDARG00000099850,ENSDARG00000099871,ENSDARG00000099943,ENSDARG00000099974,ENSDARG00000100095,ENSDARG00000100222,ENSDARG00000100252,ENSDARG00000100402,ENSDARG00000100584,ENSDARG00000100729,ENSDARG00000100788,ENSDARG00000100918,ENSDARG00000101043,ENSDARG00000101277,ENSDARG00000101309,ENSDARG00000101457,ENSDARG00000101510,ENSDARG00000101687,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000101982,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102128,ENSDARG00000102261,ENSDARG00000102272,ENSDARG00000102415,ENSDARG00000102424,ENSDARG00000102441,ENSDARG00000102458,ENSDARG00000102490,ENSDARG00000102674,ENSDARG00000102878,ENSDARG00000102889,ENSDARG00000102923,ENSDARG00000103011,ENSDARG00000103145,ENSDARG00000103333,ENSDARG00000103459,ENSDARG00000103467,ENSDARG00000103959,ENSDARG00000103962,ENSDARG00000104014,ENSDARG00000104181,ENSDARG00000104225,ENSDARG00000104283,ENSDARG00000104315,ENSDARG00000104358,ENSDARG00000104435,ENSDARG00000104436,ENSDARG00000104478,ENSDARG00000104549,ENSDARG00000104663,ENSDARG00000104682,ENSDARG00000104701,ENSDARG00000104713,ENSDARG00000104831,ENSDARG00000105001,ENSDARG00000105209,ENSDARG00000108038,ENSDARG00000110183,ENSDARG00000110192,ENSDARG00000110206,ENSDARG00000110291,ENSDARG00000110804,ENSDARG00000111106,ENSDARG00000112015,ENSDARG00000114022,ENSDARG00000114329,ENSDARG00000114796,ENSDARG00000114870,ENSDARG00000115712
GO:0006941	striated muscle contraction	28	3	0.46	0.01074	ENSDARG00000018105,ENSDARG00000020574,ENSDARG00000020610,ENSDARG00000023963,ENSDARG00000029069,ENSDARG00000029995,ENSDARG00000035958,ENSDARG00000036671,ENSDARG00000037539,ENSDARG00000037954,ENSDARG00000042559,ENSDARG00000043313,ENSDARG00000045592,ENSDARG00000052708,ENSDARG00000058656,ENSDARG00000058820,ENSDARG00000059003,ENSDARG00000059774,ENSDARG00000059798,ENSDARG00000060222,ENSDARG00000062359,ENSDARG00000068457,ENSDARG00000073766,ENSDARG00000074004,ENSDARG00000098076,ENSDARG00000099031,ENSDARG00000099870,ENSDARG00000102889
GO:0051493	regulation of cytoskeleton organization	183	8	3.03	0.01090	ENSDARG00000002571,ENSDARG00000002659,ENSDARG00000003022,ENSDARG00000003084,ENSDARG00000003193,ENSDARG00000003952,ENSDARG00000004218,ENSDARG00000004658,ENSDARG00000006283,ENSDARG00000006672,ENSDARG00000007278,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000009727,ENSDARG00000011459,ENSDARG00000011777,ENSDARG00000012682,ENSDARG00000014113,ENSDARG00000014329,ENSDARG00000014651,ENSDARG00000014817,ENSDARG00000015206,ENSDARG00000015404,ENSDARG00000016016,ENSDARG00000016483,ENSDARG00000017036,ENSDARG00000017105,ENSDARG00000017500,ENSDARG00000017785,ENSDARG00000017803,ENSDARG00000018206,ENSDARG00000019185,ENSDARG00000019208,ENSDARG00000019231,ENSDARG00000020231,ENSDARG00000020488,ENSDARG00000020795,ENSDARG00000020890,ENSDARG00000020929,ENSDARG00000021309,ENSDARG00000022045,ENSDARG00000022841,ENSDARG00000023318,ENSDARG00000024209,ENSDARG00000024964,ENSDARG00000025826,ENSDARG00000026829,ENSDARG00000029305,ENSDARG00000030106,ENSDARG00000030490,ENSDARG00000030547,ENSDARG00000030608,ENSDARG00000031119,ENSDARG00000031496,ENSDARG00000032482,ENSDARG00000033234,ENSDARG00000034211,ENSDARG00000034240,ENSDARG00000035650,ENSDARG00000035868,ENSDARG00000035907,ENSDARG00000036189,ENSDARG00000036375,ENSDARG00000036764,ENSDARG00000037675,ENSDARG00000038445,ENSDARG00000038465,ENSDARG00000039577,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000041085,ENSDARG00000042927,ENSDARG00000044345,ENSDARG00000045262,ENSDARG00000045417,ENSDARG00000045675,ENSDARG00000051768,ENSDARG00000052438,ENSDARG00000052482,ENSDARG00000052783,ENSDARG00000053956,ENSDARG00000054063,ENSDARG00000054389,ENSDARG00000055075,ENSDARG00000055284,ENSDARG00000056090,ENSDARG00000056111,ENSDARG00000056250,ENSDARG00000056664,ENSDARG00000056794,ENSDARG00000057882,ENSDARG00000058348,ENSDARG00000058868,ENSDARG00000058993,ENSDARG00000059244,ENSDARG00000059473,ENSDARG00000059601,ENSDARG00000059965,ENSDARG00000060010,ENSDARG00000060349,ENSDARG00000060584,ENSDARG00000061093,ENSDARG00000061778,ENSDARG00000061904,ENSDARG00000062173,ENSDARG00000062263,ENSDARG00000062390,ENSDARG00000062799,ENSDARG00000063457,ENSDARG00000063682,ENSDARG00000069600,ENSDARG00000070055,ENSDARG00000070076,ENSDARG00000070537,ENSDARG00000071113,ENSDARG00000073765,ENSDARG00000074244,ENSDARG00000074581,ENSDARG00000074843,ENSDARG00000074849,ENSDARG00000075369,ENSDARG00000075540,ENSDARG00000075989,ENSDARG00000076566,ENSDARG00000076799,ENSDARG00000076965,ENSDARG00000077777,ENSDARG00000077788,ENSDARG00000078251,ENSDARG00000078318,ENSDARG00000078440,ENSDARG00000078654,ENSDARG00000078722,ENSDARG00000079281,ENSDARG00000079378,ENSDARG00000079468,ENSDARG00000079869,ENSDARG00000079889,ENSDARG00000079917,ENSDARG00000086300,ENSDARG00000087954,ENSDARG00000088091,ENSDARG00000088440,ENSDARG00000088492,ENSDARG00000089340,ENSDARG00000089790,ENSDARG00000090036,ENSDARG00000090369,ENSDARG00000090628,ENSDARG00000091326,ENSDARG00000094677,ENSDARG00000094792,ENSDARG00000097683,ENSDARG00000098317,ENSDARG00000098650,ENSDARG00000098955,ENSDARG00000099139,ENSDARG00000099720,ENSDARG00000099943,ENSDARG00000100252,ENSDARG00000101309,ENSDARG00000101457,ENSDARG00000102056,ENSDARG00000102128,ENSDARG00000102415,ENSDARG00000102424,ENSDARG00000102878,ENSDARG00000102923,ENSDARG00000103011,ENSDARG00000103145,ENSDARG00000103333,ENSDARG00000103467,ENSDARG00000103959,ENSDARG00000103962,ENSDARG00000104181,ENSDARG00000104549,ENSDARG00000104663,ENSDARG00000110183,ENSDARG00000110291,ENSDARG00000111106,ENSDARG00000114022,ENSDARG00000114796,ENSDARG00000115712
GO:0060415	muscle tissue morphogenesis	10	2	0.17	0.01121	ENSDARG00000002589,ENSDARG00000011299,ENSDARG00000011615,ENSDARG00000020610,ENSDARG00000053254,ENSDARG00000060415,ENSDARG00000061862,ENSDARG00000062003,ENSDARG00000077818,ENSDARG00000104314
