GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0043153	entrainment of circadian clock by photop...	10	4	0.08	8.1e-07	ENSDARG00000010519,ENSDARG00000011890,ENSDARG00000019498,ENSDARG00000021882,ENSDARG00000034503,ENSDARG00000045768,ENSDARG00000069074,ENSDARG00000091131,ENSDARG00000102403,ENSDARG00000103505
GO:0032922	circadian regulation of gene expression	22	4	0.18	2.6e-05	ENSDARG00000003631,ENSDARG00000003820,ENSDARG00000004060,ENSDARG00000010519,ENSDARG00000011703,ENSDARG00000011890,ENSDARG00000016536,ENSDARG00000019498,ENSDARG00000029544,ENSDARG00000033160,ENSDARG00000034503,ENSDARG00000040764,ENSDARG00000045768,ENSDARG00000054823,ENSDARG00000055283,ENSDARG00000058094,ENSDARG00000069074,ENSDARG00000078525,ENSDARG00000088171,ENSDARG00000091131,ENSDARG00000094965,ENSDARG00000102403
GO:0018298	protein-chromophore linkage	22	3	0.18	0.00071	ENSDARG00000011890,ENSDARG00000019498,ENSDARG00000024208,ENSDARG00000027822,ENSDARG00000036460,ENSDARG00000039534,ENSDARG00000044280,ENSDARG00000045677,ENSDARG00000045768,ENSDARG00000052775,ENSDARG00000053929,ENSDARG00000054181,ENSDARG00000068124,ENSDARG00000069074,ENSDARG00000070666,ENSDARG00000090629,ENSDARG00000091131,ENSDARG00000099519,ENSDARG00000102403,ENSDARG00000103259,ENSDARG00000103574,ENSDARG00000116976
GO:0009636	response to toxic substance	57	4	0.46	0.00115	ENSDARG00000003077,ENSDARG00000004539,ENSDARG00000004687,ENSDARG00000006602,ENSDARG00000008243,ENSDARG00000010936,ENSDARG00000012535,ENSDARG00000013302,ENSDARG00000018146,ENSDARG00000019236,ENSDARG00000019496,ENSDARG00000021787,ENSDARG00000021833,ENSDARG00000024278,ENSDARG00000024669,ENSDARG00000025350,ENSDARG00000025977,ENSDARG00000026726,ENSDARG00000029766,ENSDARG00000029795,ENSDARG00000032102,ENSDARG00000033285,ENSDARG00000033364,ENSDARG00000034503,ENSDARG00000035506,ENSDARG00000042644,ENSDARG00000042854,ENSDARG00000043511,ENSDARG00000044795,ENSDARG00000045143,ENSDARG00000045768,ENSDARG00000053896,ENSDARG00000055064,ENSDARG00000056510,ENSDARG00000057378,ENSDARG00000058734,ENSDARG00000058953,ENSDARG00000062632,ENSDARG00000068415,ENSDARG00000068478,ENSDARG00000068663,ENSDARG00000071345,ENSDARG00000080010,ENSDARG00000087059,ENSDARG00000088366,ENSDARG00000091211,ENSDARG00000091342,ENSDARG00000092052,ENSDARG00000093119,ENSDARG00000100944,ENSDARG00000101702,ENSDARG00000102744,ENSDARG00000103019,ENSDARG00000104359,ENSDARG00000104702,ENSDARG00000104719,ENSDARG00000117204
GO:0014706	striated muscle tissue development	63	4	0.51	0.00167	ENSDARG00000000563,ENSDARG00000002952,ENSDARG00000004452,ENSDARG00000008322,ENSDARG00000008803,ENSDARG00000009418,ENSDARG00000011490,ENSDARG00000011821,ENSDARG00000012944,ENSDARG00000013477,ENSDARG00000015536,ENSDARG00000015681,ENSDARG00000019096,ENSDARG00000019969,ENSDARG00000020610,ENSDARG00000021232,ENSDARG00000021889,ENSDARG00000023963,ENSDARG00000028213,ENSDARG00000028348,ENSDARG00000029639,ENSDARG00000030095,ENSDARG00000031751,ENSDARG00000032976,ENSDARG00000036371,ENSDARG00000037560,ENSDARG00000039878,ENSDARG00000040031,ENSDARG00000040334,ENSDARG00000040432,ENSDARG00000040926,ENSDARG00000041430,ENSDARG00000042282,ENSDARG00000042667,ENSDARG00000044811,ENSDARG00000045560,ENSDARG00000045612,ENSDARG00000052150,ENSDARG00000053505,ENSDARG00000055185,ENSDARG00000055618,ENSDARG00000058551,ENSDARG00000060002,ENSDARG00000060758,ENSDARG00000061752,ENSDARG00000062003,ENSDARG00000062590,ENSDARG00000071091,ENSDARG00000074131,ENSDARG00000075226,ENSDARG00000077226,ENSDARG00000078324,ENSDARG00000078618,ENSDARG00000079605,ENSDARG00000090637,ENSDARG00000093714,ENSDARG00000099563,ENSDARG00000100729,ENSDARG00000101380,ENSDARG00000102490,ENSDARG00000102889,ENSDARG00000103747,ENSDARG00000110016
GO:0003007	heart morphogenesis	66	4	0.54	0.00198	ENSDARG00000002216,ENSDARG00000002952,ENSDARG00000003751,ENSDARG00000006603,ENSDARG00000007329,ENSDARG00000009418,ENSDARG00000012078,ENSDARG00000014796,ENSDARG00000014986,ENSDARG00000015427,ENSDARG00000015681,ENSDARG00000016139,ENSDARG00000017500,ENSDARG00000017803,ENSDARG00000018260,ENSDARG00000019815,ENSDARG00000019969,ENSDARG00000020610,ENSDARG00000021232,ENSDARG00000021889,ENSDARG00000026784,ENSDARG00000029439,ENSDARG00000032976,ENSDARG00000033971,ENSDARG00000035095,ENSDARG00000036987,ENSDARG00000037677,ENSDARG00000040237,ENSDARG00000040387,ENSDARG00000040432,ENSDARG00000041421,ENSDARG00000042535,ENSDARG00000042667,ENSDARG00000045612,ENSDARG00000046019,ENSDARG00000052150,ENSDARG00000053535,ENSDARG00000053868,ENSDARG00000060983,ENSDARG00000061509,ENSDARG00000062003,ENSDARG00000071395,ENSDARG00000075169,ENSDARG00000075211,ENSDARG00000076126,ENSDARG00000077226,ENSDARG00000077777,ENSDARG00000077840,ENSDARG00000078864,ENSDARG00000078865,ENSDARG00000079027,ENSDARG00000079111,ENSDARG00000086391,ENSDARG00000090637,ENSDARG00000090724,ENSDARG00000092060,ENSDARG00000098237,ENSDARG00000099481,ENSDARG00000100232,ENSDARG00000100591,ENSDARG00000100944,ENSDARG00000103515,ENSDARG00000103589,ENSDARG00000103959,ENSDARG00000104676,ENSDARG00000110069
GO:0046677	response to antibiotic	11	2	0.09	0.00343	ENSDARG00000018146,ENSDARG00000024669,ENSDARG00000026726,ENSDARG00000034503,ENSDARG00000035506,ENSDARG00000044795,ENSDARG00000045768,ENSDARG00000053858,ENSDARG00000061355,ENSDARG00000091342,ENSDARG00000104359
GO:0010035	response to inorganic substance	42	3	0.34	0.00472	ENSDARG00000003699,ENSDARG00000004415,ENSDARG00000007180,ENSDARG00000011640,ENSDARG00000014169,ENSDARG00000014496,ENSDARG00000018146,ENSDARG00000021787,ENSDARG00000024669,ENSDARG00000025350,ENSDARG00000026376,ENSDARG00000026726,ENSDARG00000030614,ENSDARG00000031463,ENSDARG00000034503,ENSDARG00000035506,ENSDARG00000036505,ENSDARG00000041411,ENSDARG00000042644,ENSDARG00000044795,ENSDARG00000045768,ENSDARG00000051939,ENSDARG00000053858,ENSDARG00000053896,ENSDARG00000054288,ENSDARG00000055723,ENSDARG00000058476,ENSDARG00000058734,ENSDARG00000069920,ENSDARG00000075536,ENSDARG00000089936,ENSDARG00000098252,ENSDARG00000100917,ENSDARG00000101095,ENSDARG00000101776,ENSDARG00000102584,ENSDARG00000104058,ENSDARG00000104177,ENSDARG00000104359,ENSDARG00000104719,ENSDARG00000107077,ENSDARG00000115094
GO:0050678	regulation of epithelial cell proliferat...	13	2	0.11	0.00481	ENSDARG00000013847,ENSDARG00000030932,ENSDARG00000033706,ENSDARG00000036232,ENSDARG00000052000,ENSDARG00000059387,ENSDARG00000069640,ENSDARG00000075169,ENSDARG00000089871,ENSDARG00000100475,ENSDARG00000101347,ENSDARG00000103747,ENSDARG00000115359
GO:0006974	cellular response to DNA damage stimulus	139	5	1.13	0.00534	ENSDARG00000002077,ENSDARG00000002396,ENSDARG00000002591,ENSDARG00000002613,ENSDARG00000003904,ENSDARG00000003938,ENSDARG00000003961,ENSDARG00000004274,ENSDARG00000004325,ENSDARG00000005218,ENSDARG00000008434,ENSDARG00000008472,ENSDARG00000008551,ENSDARG00000010732,ENSDARG00000011462,ENSDARG00000015239,ENSDARG00000016044,ENSDARG00000018022,ENSDARG00000018061,ENSDARG00000018891,ENSDARG00000018918,ENSDARG00000019498,ENSDARG00000019529,ENSDARG00000020001,ENSDARG00000021550,ENSDARG00000021985,ENSDARG00000023678,ENSDARG00000024967,ENSDARG00000026400,ENSDARG00000027938,ENSDARG00000028523,ENSDARG00000030573,ENSDARG00000030881,ENSDARG00000031680,ENSDARG00000032263,ENSDARG00000033231,ENSDARG00000033273,ENSDARG00000033367,ENSDARG00000035655,ENSDARG00000035700,ENSDARG00000037046,ENSDARG00000037188,ENSDARG00000037532,ENSDARG00000037906,ENSDARG00000038686,ENSDARG00000038917,ENSDARG00000039613,ENSDARG00000039754,ENSDARG00000040443,ENSDARG00000041140,ENSDARG00000041411,ENSDARG00000042236,ENSDARG00000043275,ENSDARG00000043480,ENSDARG00000043720,ENSDARG00000044811,ENSDARG00000045606,ENSDARG00000045843,ENSDARG00000045877,ENSDARG00000051731,ENSDARG00000053554,ENSDARG00000053574,ENSDARG00000053858,ENSDARG00000055283,ENSDARG00000055493,ENSDARG00000055536,ENSDARG00000058203,ENSDARG00000058533,ENSDARG00000058719,ENSDARG00000058868,ENSDARG00000059856,ENSDARG00000060002,ENSDARG00000060510,ENSDARG00000060620,ENSDARG00000061397,ENSDARG00000061414,ENSDARG00000062052,ENSDARG00000062269,ENSDARG00000063594,ENSDARG00000067560,ENSDARG00000068431,ENSDARG00000068870,ENSDARG00000068919,ENSDARG00000069729,ENSDARG00000070432,ENSDARG00000070485,ENSDARG00000071116,ENSDARG00000071551,ENSDARG00000074431,ENSDARG00000074889,ENSDARG00000074933,ENSDARG00000075083,ENSDARG00000075612,ENSDARG00000075826,ENSDARG00000076379,ENSDARG00000076716,ENSDARG00000076913,ENSDARG00000077089,ENSDARG00000077471,ENSDARG00000078473,ENSDARG00000078759,ENSDARG00000078807,ENSDARG00000079202,ENSDARG00000079457,ENSDARG00000079632,ENSDARG00000079949,ENSDARG00000086450,ENSDARG00000089291,ENSDARG00000091538,ENSDARG00000091640,ENSDARG00000091768,ENSDARG00000091821,ENSDARG00000092305,ENSDARG00000093798,ENSDARG00000096229,ENSDARG00000096578,ENSDARG00000097691,ENSDARG00000098211,ENSDARG00000098241,ENSDARG00000098242,ENSDARG00000098537,ENSDARG00000098605,ENSDARG00000098780,ENSDARG00000099298,ENSDARG00000099519,ENSDARG00000099722,ENSDARG00000100455,ENSDARG00000101180,ENSDARG00000101510,ENSDARG00000101611,ENSDARG00000102118,ENSDARG00000102265,ENSDARG00000103007,ENSDARG00000103422,ENSDARG00000103470,ENSDARG00000103933,ENSDARG00000103961,ENSDARG00000104709,ENSDARG00000113848
