Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000067990	2.8899105331e-13	6.98375779429e-09	5	32298624	32309129	-1	protein_coding	myhz1.1	myosin, heavy polypeptide 1.1, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-5]
ENSDARG00000037867	9.89065496171e-11	1.19508783902e-06	3	40296785	40301467	-1	protein_coding	atp5mf	ATP synthase membrane subunit f [Source:ZFIN;Acc:ZDB-GENE-050309-87]
ENSDARG00000098786	2.42984632415e-10	1.767997445e-06	5	54280135	54294086	1	protein_coding	rangrf	RAN guanine nucleotide release factor [Source:NCBI gene;Acc:559102]
ENSDARG00000063054	2.92642132749e-10	1.767997445e-06	4	9555280	9586713	-1	protein_coding	shank3b	SH3 and multiple ankyrin repeat domains 3b [Source:ZFIN;Acc:ZDB-GENE-041210-74]
ENSDARG00000101849	3.52711460039e-09	1.70472502866e-05	4	8670662	8711031	1	protein_coding	adipor2	adiponectin receptor 2 [Source:ZFIN;Acc:ZDB-GENE-041210-60]
ENSDARG00000019231	1.70452146842e-08	6.86524430097e-05	21	13150937	13217905	1	protein_coding	sptan1	spectrin alpha, non-erythrocytic 1 [Source:ZFIN;Acc:ZDB-GENE-051113-60]
ENSDARG00000007787	2.1148638174e-08	7.30111414447e-05	3	10728970	10751491	-1	protein_coding	zgc:112965	zgc:112965 [Source:ZFIN;Acc:ZDB-GENE-050522-10]
ENSDARG00000055837	7.6158530482e-08	0.000230055880954	16	26140895	26232411	-1	protein_coding	arhgef1b	Rho guanine nucleotide exchange factor (GEF) 1b [Source:ZFIN;Acc:ZDB-GENE-060616-136]
ENSDARG00000097737	1.84014076421e-07	0.000494098241199	3	55482160	55483481	1	lincRNA	si:dkey-188h10.3	si:dkey-188h10.3 [Source:ZFIN;Acc:ZDB-LINCRNAG-030131-376]
ENSDARG00000036257	8.47719960451e-07	0.00201597843408	2	35732652	35851661	1	protein_coding	rasal2	RAS protein activator like 2 [Source:ZFIN;Acc:ZDB-GENE-070912-180]
ENSDARG00000011360	9.67308726896e-07	0.00201597843408	3	15476536	15487111	-1	protein_coding	nfatc2ip	nuclear factor of activated T cells 2 interacting protein [Source:ZFIN;Acc:ZDB-GENE-030131-9520]
ENSDARG00000037917	1.00106518286e-06	0.00201597843408	3	34846201	34917041	1	protein_coding	itga3a	integrin, alpha 3a [Source:ZFIN;Acc:ZDB-GENE-090805-3]
ENSDARG00000059280	1.50940754196e-06	0.00280587251223	9	1937049	1959917	-1	protein_coding	hoxd3a	homeobox D3a [Source:NCBI gene;Acc:30349]
ENSDARG00000014652	2.00801240813e-06	0.00346611627535	15	28482862	28539650	1	protein_coding	ankrd13b	ankyrin repeat domain 13B [Source:ZFIN;Acc:ZDB-GENE-050913-151]
ENSDARG00000052341	2.29764676052e-06	0.00366663762048	20	23173710	23181762	1	protein_coding	sgcb	sarcoglycan, beta (dystrophin-associated glycoprotein) [Source:ZFIN;Acc:ZDB-GENE-030131-6695]
ENSDARG00000011152	2.42763394553e-06	0.00366663762048	22	10158502	10164533	1	protein_coding	rpp14	ribonuclease P/MRP 14 subunit [Source:ZFIN;Acc:ZDB-GENE-050522-182]
ENSDARG00000029500	3.76405458802e-06	0.00535071430436	7	59649399	59664545	1	protein_coding	rpl34	ribosomal protein L34 [Source:NCBI gene;Acc:394097]
ENSDARG00000079591	4.0959921771e-06	0.00549909705288	14	35464994	35496538	1	protein_coding	si:ch211-203d1.3	si:ch211-203d1.3 [Source:ZFIN;Acc:ZDB-GENE-160113-15]
ENSDARG00000014976	6.97344798495e-06	0.00884002694509	9	94884	100579	-1	protein_coding	lims2	LIM and senescent cell antigen-like domains 2 [Source:ZFIN;Acc:ZDB-GENE-050522-56]
ENSDARG00000096614	7.31608619142e-06	0.00884002694509	15	23534126	23542144	1	protein_coding	si:dkey-182i3.10	si:dkey-182i3.10 [Source:ZFIN;Acc:ZDB-GENE-121214-231]
ENSDARG00000035598	1.13642214584e-05	0.0130775131316	5	20319519	20419863	1	protein_coding	coro1ca	coronin, actin binding protein, 1Ca [Source:NCBI gene;Acc:317741]
ENSDARG00000061647	1.20645509066e-05	0.0132523607822	12	24342303	24640339	1	protein_coding	nrxn1a	neurexin 1a [Source:NCBI gene;Acc:565531]
ENSDARG00000092394	1.55128108583e-05	0.0162992429218	20	23203946	23226453	-1	protein_coding	dcun1d4	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae) [Source:NCBI gene;Acc:556765]
ENSDARG00000104949	1.81919967799e-05	0.0183178247576	1	58544659	58562129	-1	protein_coding	slc27a1b	solute carrier family 27 member 1b [Source:ZFIN;Acc:ZDB-GENE-061013-672]
ENSDARG00000017901	2.44491172477e-05	0.0236334946963	7	29863548	29946044	1	protein_coding	tln2a	talin 2a [Source:ZFIN;Acc:ZDB-GENE-040724-263]
ENSDARG00000062134	2.76434846419e-05	0.0244646395149	23	21067389	21114732	1	protein_coding	kcnab2b	potassium voltage-gated channel, shaker-related subfamily, beta member 2 b [Source:ZFIN;Acc:ZDB-GENE-080219-36]
ENSDARG00000015537	2.76658632918e-05	0.0244646395149	24	6133147	6158933	-1	protein_coding	gad2	glutamate decarboxylase 2 [Source:ZFIN;Acc:ZDB-GENE-030909-9]
ENSDARG00000021184	2.83460194661e-05	0.0244646395149	16	31900127	31919568	-1	protein_coding	rbfox1l	RNA binding fox-1 homolog 1, like [Source:NCBI gene;Acc:407613]
ENSDARG00000011727	2.9416536636e-05	0.0245131042878	3	39691525	39696066	-1	protein_coding	b9d1	B9 protein domain 1 [Source:NCBI gene;Acc:554150]
ENSDARG00000054632	3.10636695567e-05	0.0246791798043	18	48423973	48487875	1	protein_coding	fli1a	Fli-1 proto-oncogene, ETS transcription factor a [Source:ZFIN;Acc:ZDB-GENE-980526-426]
ENSDARG00000015072	3.2331185528e-05	0.0246791798043	5	45007962	45013409	1	protein_coding	dmrt2a	doublesex and mab-3 related transcription factor 2a [Source:ZFIN;Acc:ZDB-GENE-990621-7]
ENSDARG00000060580	3.26795395903e-05	0.0246791798043	13	34689663	34750299	1	protein_coding	tasp1	taspase, threonine aspartase, 1 [Source:ZFIN;Acc:ZDB-GENE-070424-242]
ENSDARG00000096099	3.48916282177e-05	0.025551245076	4	11762097	11772240	1	lincRNA	BX465862.3	
ENSDARG00000100461	3.92781235377e-05	0.0261793407049	9	10267	18716	-1	protein_coding	CABZ01078737.1	interleukin-1 receptor type 2 [Source:NCBI gene;Acc:101882195]
ENSDARG00000069917	4.07198493345e-05	0.0261793407049	9	21259657	21269186	1	protein_coding	ska3	spindle and kinetochore associated complex subunit 3 [Source:NCBI gene;Acc:570479]
ENSDARG00000002295	4.14721339226e-05	0.0261793407049	8	14855471	14883692	1	protein_coding	si:dkey-21p1.3	si:dkey-21p1.3 [Source:ZFIN;Acc:ZDB-GENE-081105-162]
ENSDARG00000001733	4.17205135665e-05	0.0261793407049	9	42546504	42650623	1	protein_coding	gulp1a	GULP PTB domain containing engulfment adaptor 1a [Source:NCBI gene;Acc:368404]
ENSDARG00000043902	4.29953725081e-05	0.0261793407049	20	1132092	1151265	-1	protein_coding	gabrr1	gamma-aminobutyric acid (GABA) A receptor, rho 1 [Source:ZFIN;Acc:ZDB-GENE-040724-212]
ENSDARG00000098538	4.35992690538e-05	0.0261793407049	KN150189.1	3	9866	1	protein_coding	CABZ01112049.1	intestinal mucin-like protein [Source:NCBI gene;Acc:100332723]
ENSDARG00000017708	4.46236743885e-05	0.0261793407049	6	30113750	30122554	1	protein_coding	lrrc40	leucine rich repeat containing 40 [Source:NCBI gene;Acc:334130]
