GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000001431	0		actn3b	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000003991	0		fhl2b	four and a half LIM domains 2b [Source:ZFIN;Acc:ZDB-GENE-041010-121]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000007219	0		actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000011023	0		pdlim3a	PDZ and LIM domain 3a [Source:ZFIN;Acc:ZDB-GENE-050505-1]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000011961	0		csrp2	cysteine and glycine-rich protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1863]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000012311	0		myoz2a	myozenin 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1880]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000013755	0		actn3a	actinin alpha 3a [Source:ZFIN;Acc:ZDB-GENE-000329-9]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000014248	0		pdlim3b	PDZ and LIM domain 3b [Source:ZFIN;Acc:ZDB-GENE-060130-104]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000014805	0		fhl5	four and a half LIM domains 5 [Source:ZFIN;Acc:ZDB-GENE-040822-3]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000018105	0		casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000019117	0		parvb	parvin, beta [Source:ZFIN;Acc:ZDB-GENE-030131-4411]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000026985	0		lims1	LIM and senescent cell antigen-like domains 1 [Source:ZFIN;Acc:ZDB-GENE-050522-236]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000027600	0		pdlim5b	PDZ and LIM domain 5b [Source:ZFIN;Acc:ZDB-GENE-040426-908]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000030980	0		csrp1b	cysteine and glycine-rich protein 1b [Source:ZFIN;Acc:ZDB-GENE-070112-252]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000032630	0		neb	nebulin [Source:ZFIN;Acc:ZDB-GENE-041111-216]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000034240	0		capza1a	capping actin protein of muscle Z-line subunit alpha 1a [Source:ZFIN;Acc:ZDB-GENE-030131-5237]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000040917	0		cbfb	core-binding factor subunit beta [Source:ZFIN;Acc:ZDB-GENE-980526-440]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000045228	0		stub1	STIP1 homology and U-Box containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2963]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000056209	0		myoz1a	myozenin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1875]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000056322	0		ldb3a	LIM domain binding 3a [Source:ZFIN;Acc:ZDB-GENE-040121-6]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000056964	0		ilk	integrin-linked kinase [Source:ZFIN;Acc:ZDB-GENE-040426-1435]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000057317	0		nexn	nexilin (F actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-041114-92]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000058656	0		desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000067701	0		myoz3a	myozenin 3a [Source:ZFIN;Acc:ZDB-GENE-111012-4]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000068973	0		pdlim4	PDZ and LIM domain 4 [Source:ZFIN;Acc:ZDB-GENE-070308-5]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000071445	0		myoz1b	myozenin 1b [Source:ZFIN;Acc:ZDB-GENE-040718-146]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000099974	0		ldb3b	LIM domain binding 3b [Source:ZFIN;Acc:ZDB-GENE-030131-6032]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000101777	0		pdlim5a	PDZ and LIM domain 5a [Source:NCBI gene;Acc:436927]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000104713	0		zgc:165653	zgc:165653 [Source:ZFIN;Acc:ZDB-GENE-070620-24]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000114870	0		CABZ01078594.1	
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000019845	1		pdlim1	PDZ and LIM domain 1 (elfin) [Source:ZFIN;Acc:ZDB-GENE-030131-5227]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000020574	1		atp2a1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:ZFIN;Acc:ZDB-GENE-020905-1]
GO:0031674	I band	33	3	0.21	0.0012	ENSDARG00000071331	1		ryr3	ryanodine receptor 3 [Source:ZFIN;Acc:ZDB-GENE-041001-165]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000002840	0		si:dkey-28b4.8	si:dkey-28b4.8 [Source:ZFIN;Acc:ZDB-GENE-090501-2]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000005122	0		atp2a2b	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2b [Source:ZFIN;Acc:ZDB-GENE-030131-867]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000018105	0		casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000028625	0		jph2	junctophilin 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9848]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000029439	0		atp2a2a	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2a [Source:ZFIN;Acc:ZDB-GENE-040426-702]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000035458	0		atp2a1l	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1, like [Source:ZFIN;Acc:ZDB-GENE-041229-2]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000036764	0		hax1	HCLS1 associated protein X-1 [Source:ZFIN;Acc:ZDB-GENE-040718-26]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000041779	0		trdn	triadin [Source:ZFIN;Acc:ZDB-GENE-041014-193]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000045676	0		calua	calumenin a [Source:NCBI gene;Acc:415241]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000057903	0		si:ch211-266g18.10	si:ch211-266g18.10 [Source:ZFIN;Acc:ZDB-GENE-131127-188]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000061741	0		itpr3	inositol 1,4,5-trisphosphate receptor, type 3 [Source:ZFIN;Acc:ZDB-GENE-070605-1]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000020574	1		atp2a1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:ZFIN;Acc:ZDB-GENE-020905-1]
GO:0016529	sarcoplasmic reticulum	13	2	0.08	0.0030	ENSDARG00000071331	1		ryr3	ryanodine receptor 3 [Source:ZFIN;Acc:ZDB-GENE-041001-165]
GO:1990204	oxidoreductase complex	46	3	0.29	0.0031	ENSDARG00000005821	0		ncf2	neutrophil cytosolic factor 2 [Source:ZFIN;Acc:ZDB-GENE-070209-29]
