ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1780	"ENSDARG00000101098"	NA	chrKN150051.1	-	884	1108	884	896	986	1108
1781	"ENSDARG00000101098"	NA	chrKN150051.1	-	1390	1793	1390	1587	1771	1793
1782	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	4622	5036	4622	4732	4849	5036
1783	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	5326	4879	4948	5168	5326
1784	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5773	5508	5608	5706	5773
1785	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5523	5774	5523	5598	5706	5774
1786	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5523	5774	5523	5604	5706	5774
1787	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5773	5508	5608	5742	5773
1788	"ENSDARG00000098584"	"CABZ01102240.1"	chrKN149883.1	-	2234	2479	2234	2310	2400	2479
1789	"ENSDARG00000114210"	"CABZ01035356.1"	chrKN149793.1	+	10098	10573	10098	10238	10323	10573
1790	"ENSDARG00000098241"	"fanca"	chrKN150550.1	+	10185	10388	10185	10249	10372	10388
1791	"ENSDARG00000098241"	"fanca"	chrKN150550.1	+	10185	10537	10185	10388	10509	10537
1792	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	5967	6308	5967	6102	6274	6308
1793	"ENSDARG00000103973"	"CABZ01051602.1"	chrKN150654.1	-	12091	12511	12091	12187	12299	12511
1794	"ENSDARG00000101913"	"CABZ01092156.1"	chrKN150212.1	-	8116	8401	8116	8177	8268	8401
1795	"ENSDARG00000101913"	"CABZ01092156.1"	chrKN150212.1	-	8116	8401	8116	8177	8279	8401
1796	"ENSDARG00000101913"	"CABZ01092156.1"	chrKN150212.1	-	8279	8732	8279	8422	8605	8732
