Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000103634	0.9122623250251316	0.9971407358574843	-0.27993550890059665	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	0	723	0	0	0	0	0	547	0	0	0	390	0	0	427	0	635	203	0	0	178	0	257	0	580.103833661843	0	0	0	0	0	595.3705873320711	0	0	0	495.3571684698049	0	0	633.192919748516	0	470.80898694096857	244.6294955150776	0	0	190.99426239814505	0	199.11366109561604	1.0671649373105072
ENSDARG00000105265	0.9253944322013107	0.9974717365562569	-0.1580870171259938	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	175	279	0	0	336	373	311	279	248	0	323	282	246	234	0	0	825	222	0	328	0	899	342	197.6558438507977	223.8574959773917	0	0	306.46172061377024	357.84820887013944	312.02034479684215	303.67165240520626	324.95203071251706	0	308.5941385712568	358.18133720124354	264.5145766915282	279.74491290785465	0	0	611.6809672855103	267.5258522381637	0	224.14852469228265	0	633.0561869930041	264.9683739093412	0.9906468351153035
ENSDARG00000103973	0.9800051216411708	0.9996254719044343	-0.032624089568028716	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	4	754	1	0	4	0	4	618	0	3	4	442	1	2	428	2	435	215	0	1	136	1	333	4.517847859446805	604.9768887704421	0.9894059091678139	0	3.648353816830598	0	4.013123405747166	672.6490365104569	0	2.1643547352912	3.82159923927253	561.4047909324455	1.075262506876131	2.3909821616055953	634.6758071483955	1.9317890243109863	322.5226918414509	259.09035239281616	0	0.6833796484520812	145.92820048397598	0.7041781835294817	257.99552196435855	0.8481661647833427
ENSDARG00000026403	0.07153382341560512	0.6520237936361539	-1.4837574213141578	10	24394023	24416471	-1	protein_coding	hephl1b	hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388]	10	28	24	19	26	190	318	164	97	221	22	12	301	308	225	34	205	298	20	22	144	242	356	11.294619648617012	22.465985259379813	23.745741820027533	25.87860485514037	23.714299809398888	182.28192945127748	319.0433107568997	178.50233331345459	127.09817330287966	159.4407988331184	21.018795815998917	15.24175902984015	323.6540145697154	368.2112528872617	333.64966497287145	32.84041341328677	151.9934524770056	359.111279130508	19.71377276489416	15.034352265945786	154.51221227715104	170.41112041413456	275.8150324904253	0.8068109291410565
ENSDARG00000012609	0.8439550405067581	0.9944021696682189	-0.15668221746917085	9	32840114	32847642	-1	protein_coding	hpxa	hemopexin a [Source:NCBI gene;Acc:327588]	65	168	38	9	130	76	127	36	122	52	20	27	33	52	143	43	128	7	146	0	68	41	26	73.41502771601058	134.79591155627887	37.59742454837693	12.258286510329649	118.57149904699443	72.912771780511	127.41666813247252	39.18343902002662	159.85543446341563	37.5154820783808	19.107996196362652	34.29395781714034	35.48366272691232	62.16553620174548	212.0528981827583	41.5334640226862	94.9032288636913	8.435499845347504	143.91054118372736	0	72.96410024198799	28.87130552470875	20.14379450772769	0.7606311643172747
ENSDARG00000092788	0.6477762232549806	0.9894859083235118	-0.34898212884952867	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	361	502	170	228	38	133	356	35	275	196	308	43	290	272	98	365	1	248	73	16	216	327	371	407.73576931507415	402.7830214360238	168.19900455852837	310.54325826168446	34.65936125989068	127.59735061589423	357.1679831114978	38.09501015835921	360.3298727658959	141.4045093723584	294.26314142398485	54.61630319026054	311.826126994078	325.173573978361	145.322965188184	352.551496936755	0.7414314754975883	298.85770880659726	71.95527059186368	10.9340743752333	231.76831841572658	230.2662660141405	287.4364523987298	0.7165885135337666
ENSDARG00000092578	0.2842186018105009	0.9149385201590111	-1.4425976736593966	10	28428222	28431809	1	protein_coding	si:ch211-222e20.4	si:ch211-222e20.4 [Source:ZFIN;Acc:ZDB-GENE-091118-60]	2	1	0	2	0	73	170	69	53	114	1	5	151	145	77	3	84	113	0	2	57	98	137	2.2589239297234025	0.8023566164064219	0	2.7240636689621445	0	70.03463605233293	170.55774474425456	75.10159145505102	69.44539366033631	82.2454799410656	0.9553998098181326	6.3507329291000625	162.36463853829576	173.34620671640567	114.18232979071601	2.8976835364664795	62.280243941797416	136.17306893203826	0	1.3667592969041624	61.161084026372286	69.0094619858892	106.14230182918054	0.7031614245220499
ENSDARG00000045835	0.5053117564379166	0.9766455197932842	-0.6544672094335995	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	653	897	649	651	0	1038	1146	756	82	2128	755	34	806	631	711	581	185	660	142	2	2321	1887	932	737.5386630546909	719.7138849165605	642.1244350499112	886.682724247178	0	995.8349619496106	1149.759855746563	822.852219420559	107.44381660655806	1535.2489588998912	721.3268564126901	43.18498391788042	866.6615805421616	754.3548719865653	1054.3329413142737	561.1847115623415	137.16482296705382	795.3471282756218	139.96778663074852	1.3667592969041624	2490.4364214949137	1328.7842323201319	722.0775569693158	0.7012674450728862
ENSDARG00000078069	0.8522543989260534	0.9944021696682189	0.12942351699275442	19	47564890	47571808	-1	protein_coding	rrm2	ribonucleotide reductase M2 polypeptide [Source:NCBI gene;Acc:30733]	205	868	819	490	766	741	252	367	7	858	529	521	12	19	416	809	556	322	329	522	690	703	917	231.53970279664875	696.4455430407742	810.3234396084396	667.3955988957254	698.6597559230595	710.8995248599822	252.82677456207145	399.45339223193804	9.172033124950078	619.0054542932832	505.4064993937921	661.7463712122266	12.903150082513571	22.714330535253154	616.8811583498423	781.4086603337939	412.23590037665906	388.03299288598515	324.29156198250894	356.7241764919864	740.3710171613487	495.0372630212256	710.4561370610113	0.6957807429212587
ENSDARG00000078674	1.0815582419635367e-50	8.740793192135316e-47	4.518713022239892	3	33300522	33301321	1	protein_coding	hspb9	heat shock protein, alpha-crystallin-related, 9 [Source:ZFIN;Acc:ZDB-GENE-080214-6]	581	1524	825	684	1410	1211	1072	1949	570	2881	1277	1316	84	59	84	174	110	35	37	104	39	57	96	656.2174015846484	1222.791483403387	816.2598750634464	931.6297747850534	1286.0447204327859	1161.807455607879	1075.5170727402406	2121.3478513897744	746.8655544602207	2078.5019974579823	1220.0455571377552	1671.5129069391364	90.32205057759501	70.53397376736507	124.56254158987201	168.06564511505582	81.55746230473471	42.17749922673752	36.470479615054195	71.07148343901645	41.84705749172841	40.13815646118046	74.3770874131484	0.6651178782600184
ENSDARG00000076819	0.5758125064650982	0.982169253408541	0.8580372771897955	15	41422248	41438821	-1	protein_coding	nlrc8	NLR family CARD domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-070912-363]	1	81	133	0	0	0	116	49	46	87	69	75	94	41	0	52	0	0	0	134	38	56	105	1.1294619648617013	64.99088592892018	131.59098591931925	0	0	0	116.38057876666781	53.333014221702896	60.273360535386225	62.7662873234448	65.92258687745115	95.26099393650094	101.07467564635631	49.015134312914704	0	50.226514632085646	0	0	0	91.57287289257889	40.77405601758153	39.43397827765097	81.34993935813107	0.6508071766685273
ENSDARG00000095147	0.5952499356182157	0.9867044794323956	0.1780709957374059	22	11775269	11779560	1	protein_coding	krt96	keratin 96 [Source:ZFIN;Acc:ZDB-GENE-030131-221]	352	453	174	309	365	282	261	406	133	268	456	256	266	205	211	261	229	355	59	611	217	366	503	397.5706116313188	363.4675472321091	172.15662819519963	420.86783685465133	332.91228578579205	270.54475844873815	261.8563022250026	441.90211783696685	174.26862937405147	193.3490230193472	435.66231327706845	325.1575259699232	286.0198268290508	245.07567156457353	312.88924137455945	252.0984676725837	169.78780788894773	427.80034929976625	58.15562965643777	417.5449652042216	232.84131988987346	257.7292151717903	389.70494759180883	0.648748820641876
ENSDARG00000099099	0.34073797398528133	0.9369945980691431	0.5089111501988206	4	76838989	76891899	1	lincRNA	CABZ01015815.1	NA	230	325	211	26	286	263	46	208	153	224	178	29	177	114	121	273	28	131	31	178	153	212	199	259.7762519181913	260.7659003320871	208.76464683440872	35.412827696507875	260.85729790338775	252.3165655036104	46.15091916609241	226.39320322682045	200.47443830248028	161.6051535684096	170.0611661476276	36.83425098878036	190.32146371707518	136.28598321151892	179.42937538541088	263.68920181844965	20.76008131393247	157.86435424864612	30.556347785585945	121.64157742447046	164.169225544473	149.28577490825012	154.1775041168389	0.6454738776678801
ENSDARG00000041433	0.27719841072708673	0.9091822873482438	0.6530634850531625	20	46039591	46043405	1	protein_coding	si:dkey-7c18.24	si:dkey-7c18.24 [Source:ZFIN;Acc:ZDB-GENE-041014-63]	397	1738	678	1409	1202	522	1144	399	170	783	199	743	830	437	291	657	1108	171	276	44	584	164	764	448.3964000500954	1394.4957993143612	670.8172064157778	1919.1028547838307	1096.3303219575946	500.7956167029834	1147.7532940436895	434.283115805295	222.74937589164475	564.8965859110032	190.12456215380837	943.7189132642693	892.4678807071887	522.4296023108226	431.52023336491374	634.592694486159	821.5060748513278	206.06721050777472	272.0500641555394	30.068704531891573	626.6328609017793	115.485222098835	591.9176539963061	0.6450898314748209
ENSDARG00000023587	0.004894763299718746	0.18609738471590198	-1.271339204043239	17	48683769	48705993	-1	protein_coding	kcnk5a	potassium channel, subfamily K, member 5a [Source:ZFIN;Acc:ZDB-GENE-051113-112]	664	500	850	345	55	66	731	396	685	535	50	345	687	669	496	707	1003	302	863	959	654	646	981	749.9627446681695	401.1783082032109	840.9950227926419	469.9009828959699	50.16486498142072	63.31898601991744	733.3983024002946	431.0178292202928	897.5489557986862	385.976594460264	47.76999049090663	438.20057210790435	738.705342223902	799.7835330570716	735.5121503401966	682.8874200939337	743.655769924081	363.93156475642087	850.649294805183	655.3610828655459	701.742964092061	454.8991065600452	760.0408620031102	0.6341660362021955
ENSDARG00000056210	3.5493095322922174e-28	7.171084134202068e-25	3.736083071110365	8	24968098	24970790	-1	protein_coding	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]	69	189	78	121	180	146	154	343	135	753	376	289	31	17	21	23	37	14	16	36	17	22	34	77.93287557545739	151.64540050081374	77.173660915089485	164.80585197220972	164.1759217573769	140.06927210466586	154.5052511212659	373.33109955192026	176.88921026689437	543.2530385580911	359.23032849161785	367.0723633019836	33.333137713160056	20.323348373647562	31.140635397468003	22.215573779576342	27.432964593410766	16.870999690695008	15.771018211915328	24.601667344274926	18.241025060496998	15.491920037648597	26.34188512549006	0.6275397076505087
ENSDARG00000094077	0.6755222169264843	0.9894859083235118	-0.283506716202145	22	19311411	19313738	1	protein_coding	si:dkey-21e2.16	si:dkey-21e2.16 [Source:ZFIN;Acc:ZDB-GENE-050208-698]	239	354	116	191	41	92	187	44	164	183	283	44	181	155	70	261	4	175	55	15	189	249	336	269.9414096019466	284.0342422078733	114.77108546346642	260.1480803858848	37.39562662251363	88.26282899746067	187.61351921868	47.89086991336587	214.88763321311612	132.0256388527632	270.3781461785315	55.88644977608055	194.6225137445797	185.30111752443364	103.80211799156001	252.0984676725837	2.965725901990353	210.8874961336876	54.21287510345894	10.250694726781218	202.79727861376074	175.34036769884094	260.3198059460194	0.6200364713266112
ENSDARG00000088885	0.8549604425104426	0.9950417310221783	-0.10692233955686418	15	46329149	46336399	1	protein_coding	si:ch1073-340i21.3	si:ch1073-340i21.3 [Source:ZFIN;Acc:ZDB-GENE-030131-199]	333	398	29	774	698	582	36	480	219	768	309	202	33	247	434	319	720	319	253	390	531	716	343	376.1108342989465	319.3379333297559	28.692771365866605	1054.21263988835	636.6377410369394	558.3583312665447	36.11811065172449	522.4458536003549	286.9536077662953	554.0748122345472	295.21854123380297	256.56961033564255	35.48366272691232	295.286296958291	643.573131547672	308.1203493776023	533.8306623582636	384.41777866655053	249.3792254759111	266.5180628963117	569.7637827719944	504.1915794071089	265.7431352365615	0.5987470278512954
ENSDARG00000002204	1.5138075564416709e-54	1.8351132102964154e-50	3.335838081794445	21	20383837	20384878	1	protein_coding	hspb11	heat shock protein, alpha-crystallin-related, b11 [Source:NCBI gene;Acc:796767]	857	2043	713	867	1462	1075	1309	1895	1061	3162	1483	1442	174	176	168	202	191	115	146	183	126	159	273	967.9489038864779	1639.21456731832	705.4464132366513	1180.8816004950895	1333.4733200515836	1031.3319692638067	1313.29463453076	2062.5726928597346	1390.2181636531475	2281.229890996925	1416.8579179602905	1831.551376752458	187.0956761964468	210.4064302212924	249.12508317974402	195.1106914554096	141.61341182003935	138.5832117449947	143.91054118372736	125.05847566673087	135.19818574250718	111.96433118118759	211.50984233114076	0.5954853182517021
ENSDARG00000032820	0.016335703942893066	0.3465084357790397	1.0462768761151253	10	33744098	33867426	1	protein_coding	rxfp2a	relaxin family peptide receptor 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1225]	271	394	264	213	345	176	63	142	151	261	299	242	57	47	42	190	242	54	294	414	159	269	67	306.084192477521	316.1285068641302	261.20316002030285	290.11278074446835	314.6705167016391	168.8506293864465	63.20669364051786	154.55689835677165	197.85385740963738	188.2988619703344	285.6645431356216	307.37547376844304	61.28996289193947	56.18808079773149	62.281270794936006	183.51995730954368	179.42641707041636	65.0738559498236	289.79245964394414	282.91917445916164	170.6072343893543	189.4239313694306	51.90900892375982	0.5811251682506379
ENSDARG00000003523	0.1687056047678494	0.8228888547257741	0.7981952345700513	14	16345003	16352209	1	protein_coding	itln3	intelectin 3 [Source:ZFIN;Acc:ZDB-GENE-090527-4]	269	407	176	233	32	273	182	243	101	616	30	95	11	60	117	210	264	78	107	112	45	206	92	303.82526854779763	326.5591428774137	174.13544001353526	317.3534174340898	29.186830534644784	261.91035126420394	182.59711496149606	264.4882133851797	132.3393350885654	444.4141723131264	28.661994294543977	120.66392565290118	11.82788757563744	71.72946484816786	173.49782578589316	202.83784755265356	195.7379095313633	93.99556970530075	105.46868429218375	76.5385206266331	48.2850663366097	145.06070580707322	71.27804210426721	0.5806896458653932
ENSDARG00000090600	0.08672733582434912	0.6925163687346078	1.20361638328255	22	8979955	8996337	1	protein_coding	si:ch211-213a13.1	si:ch211-213a13.1 [Source:ZFIN;Acc:ZDB-GENE-050208-471]	125	201	274	94	155	126	263	142	192	173	18	101	122	214	3	117	186	12	241	17	14	192	9	141.18274560771266	161.2736798976908	271.097219111981	128.03099244122077	141.37371040218568	120.88170058347875	263.86286392787616	154.55689835677165	251.57576571291642	124.8111230684592	17.197196576726387	128.28480516782128	131.18202583888797	255.8350912917987	4.448662199638286	113.0096579221927	137.90625444255141	14.460856877738577	237.55096181697462	11.617454023685381	15.022020638056352	135.2022112376605	6.972851944982663	0.5776970659391766
ENSDARG00000094854	0.6675760831269901	0.9894859083235118	0.15043127536984768	4	76608282	76633286	1	protein_coding	ms4a17a.9	membrane-spanning 4-domains, subfamily A, member 17A.9 [Source:ZFIN;Acc:ZDB-GENE-050320-79]	302	439	336	102	354	381	124	315	242	545	329	80	314	295	225	626	149	279	130	513	296	443	369	341.0975133882338	352.2345546024192	332.4403854803855	138.92724711706936	322.87931278950794	365.5232374786143	124.40682557816214	342.8550914252329	317.09028803398843	393.191110244568	314.3265374301656	101.611726865601	337.63242715910513	352.6698688368253	333.64966497287145	604.6499646093387	110.47328984914066	336.2149224074219	128.13952297181203	350.5737596559177	317.60843634747715	311.9509353035604	285.88692974428915	0.573885749088034
ENSDARG00000094809	0.5742877171431937	0.982169253408541	0.16582232094264973	4	76575585	76588333	1	protein_coding	ms4a17a.11	membrane-spanning 4-domains, subfamily A, member 17A.11 [Source:ZFIN;Acc:ZDB-GENE-050417-157]	555	858	701	206	760	682	296	568	528	957	708	249	622	553	424	1163	344	490	281	925	583	853	795	626.8513904982442	688.42197687671	693.5735423266376	280.5785579031009	693.1872251978136	654.2961888724802	296.9711320252903	618.2275934270866	691.8333557105202	690.4291605578928	676.4230653512378	316.2664998691831	668.8132792769535	661.1065676839471	628.7442575488777	1123.3353176368385	255.05242757117037	590.4849891743253	276.97850734676297	632.1261748181752	625.5598594276323	600.6639905506479	615.9352551401352	0.5663146108192763
