ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	8092	8206	5967	6102	8711	9353	1	25,27,37,25,34,29	13,19,12,12,17,21	13,20,33,14,42,35	8,18,18,5,23,13	263	263	0.949138204142	1.0	0.658,0.587,0.755,0.676,0.667,0.58	0.619,0.526,0.647,0.737,0.646,0.729	0.003
2	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	8092	8206	7075	7189	8711	9353	2	37,44,53,30,44,38	17,10,19,18,15,21	34,28,46,26,62,56	8,13,10,17,23,17	263	263	0.469364197277	1.0	0.685,0.815,0.736,0.625,0.746,0.644	0.81,0.683,0.821,0.605,0.729,0.767	-0.027
3	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	16555	16601	11206	11402	16717	16760	3	2,0,0,0,0,0	10,19,3,4,10,11	0,0,0,0,0,0	5,15,27,12,24,9	195	282	1	1.0	0.224,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.037
4	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	9750	9924	11435	11609	6810	8923	13322	13496	4	0,1,0,0,0,0	0,0,0,2,1,2	0,0,0,0,0,0	0,0,0,0,1,0	298	298	1	1.0	NA,1.0,NA,0.0,0.0,0.0	NA,NA,NA,NA,0.0,NA	0.25
5	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	28357	28501	20488	21274	28820	29071	5	22,47,42,33,51,57	25,44,29,19,46,40	50,55,64,44,77,67	28,48,47,38,52,44	293	278	0.471838995732	1.0	0.455,0.503,0.579,0.622,0.513,0.575	0.629,0.521,0.564,0.523,0.584,0.591	-0.027
6	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28357	28501	28820	29071	21691	21820	31494	31870	6	7,33,23,23,30,26	10,24,23,15,41,18	8,25,24,31,39,26	24,25,36,31,42,34	298	293	0.115032159713	1.0	0.408,0.575,0.496,0.601,0.418,0.587	0.247,0.496,0.396,0.496,0.477,0.429	0.091
7	"ENSDARG00000104276"	NA	chrKN150326.1	-	96102	96203	102054	102197	91206	91364	104319	104400	7	19,21,18,5,21,29	11,21,9,10,14,12	10,11,16,12,24,21	9,17,25,20,24,18	292	250	0.0405288728277	0.774803971471	0.597,0.461,0.631,0.3,0.562,0.674	0.488,0.356,0.354,0.339,0.461,0.5	0.121
8	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910	8	10,12,7,7,12,6	11,37,22,27,8,24	11,12,13,14,7,15	19,22,30,29,29,30	246	234	0.930576048373	1.0	0.464,0.236,0.232,0.198,0.588,0.192	0.355,0.342,0.292,0.315,0.187,0.322	0.016
10	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672	10	0,0,0,0,1,2	0,0,0,0,1,0	0,1,0,0,2,1	0,4,0,0,1,0	298	298	1	1.0	NA,NA,NA,NA,0.5,1.0	NA,0.2,NA,NA,0.667,1.0	0.128
11	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167828	167917	167994	168048	167538	167595	168131	168418	11	3,7,4,1,5,5	6,14,2,6,5,11	5,6,4,5,7,4	9,2,7,6,5,5	203	238	0.238687288488	1.0	0.37,0.37,0.701,0.163,0.54,0.348	0.394,0.779,0.401,0.494,0.621,0.484	-0.114
12	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609	12	56,71,39,80,58,64	36,59,52,46,59,61	60,71,99,67,93,87	33,52,68,40,72,70	267	249	0.160528425217	1.0	0.592,0.529,0.412,0.619,0.478,0.495	0.629,0.56,0.576,0.61,0.546,0.537	-0.055
13	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874	13	21,46,14,27,32,35	45,61,56,47,57,46	30,28,41,61,64,56	40,42,60,46,76,61	225	267	0.0121336525076	0.406477359005	0.356,0.472,0.229,0.405,0.4,0.474	0.471,0.442,0.448,0.611,0.5,0.521	-0.109
14	"ENSDARG00000040803"	"lactb"	chr25	+	33257448	33257515	33258653	33258844	33256011	33256563	33259472	33259779	14	17,8,7,3,11,11	14,25,20,13,22,33	4,3,23,1,12,15	11,13,35,20,37,30	216	298	0.464648703764	1.0	0.626,0.306,0.326,0.241,0.408,0.315	0.334,0.241,0.476,0.065,0.309,0.408	0.065
15	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203439	202322	202507	203904	204019	15	118,155,113,92,105,108	6,15,10,11,23,8	98,108,156,111,157,156	10,9,28,4,12,24	242	242	0.787760821804	1.0	0.952,0.912,0.919,0.893,0.82,0.931	0.907,0.923,0.848,0.965,0.929,0.867	-0.002
16	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37454315	37454409	37454627	37454792	37453996	37454178	37455015	37455089	16	23,19,16,1,5,8	14,22,29,14,15,16	9,12,13,4,9,5	10,10,19,11,14,20	243	298	0.795482899667	1.0	0.668,0.514,0.404,0.081,0.29,0.38	0.525,0.595,0.456,0.308,0.441,0.235	-0.037
17	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457464	37457569	37457826	37457942	37457288	37457348	37458060	37458190	17	21,24,23,10,12,12	6,10,4,2,6,3	19,10,31,11,17,24	4,1,6,4,3,1	254	265	0.0523795958737	0.860124710774	0.785,0.715,0.857,0.839,0.676,0.807	0.832,0.913,0.844,0.742,0.855,0.962	-0.078
18	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458060	37458190	37458430	37458527	37457826	37457942	37458600	37458676	18	6,10,7,4,6,2	9,8,0,2,2,0	5,2,9,7,4,1	1,1,4,2,0,2	279	246	0.315390618387	1.0	0.37,0.524,1.0,0.638,0.726,1.0	0.815,0.638,0.665,0.755,1.0,0.306	0.013
19	"ENSDARG00000009941"	"erc1a"	chr25	+	21194354	21194732	21197687	21197762	21180613	21181462	21202330	21202486	19	15,32,22,30,25,30	10,22,21,10,20,19	17,30,45,36,56,46	11,22,18,10,18,38	298	224	0.234602614246	1.0	0.53,0.522,0.441,0.693,0.484,0.543	0.537,0.506,0.653,0.73,0.7,0.476	-0.065
20	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19325293	19325356	19318808	19318905	19340138	19340276	20	10,79,31,30,59,55	12,14,12,9,14,4	44,38,56,29,78,61	15,14,14,16,9,13	257	212	0.966374642107	1.0	0.407,0.823,0.681,0.733,0.777,0.919	0.708,0.691,0.767,0.599,0.877,0.795	-0.016
21	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340138	19340276	19318808	19318905	19341375	19341486	21	8,52,18,22,38,30	56,70,55,46,55,72	28,18,37,10,43,42	51,52,61,43,88,91	257	287	0.898567048633	1.0	0.138,0.453,0.268,0.348,0.436,0.318	0.38,0.279,0.404,0.206,0.353,0.34	-0.0
24	"ENSDARG00000076899"	"slc2a13b"	chr25	+	35666733	35667177	35668490	35668650	35663932	35664911	35669972	35670178	24	14,13,8,10,8,16	8,16,12,13,11,9	7,13,18,8,8,12	5,10,25,9,12,13	298	298	0.73315192021	1.0	0.636,0.448,0.4,0.435,0.421,0.64	0.583,0.565,0.419,0.471,0.4,0.48	0.01
25	"ENSDARG00000020718"	"slc25a22a"	chr25	-	4465344	4465499	4467553	4467701	4463285	4463361	4469397	4469458	25	21,29,23,15,42,33	23,38,30,6,41,31	41,37,44,33,47,45	36,31,38,34,37,53	297	298	0.659470101731	1.0	0.478,0.434,0.435,0.715,0.507,0.516	0.533,0.545,0.537,0.493,0.56,0.46	-0.007
26	"ENSDARG00000015709"	"hsd17b12a"	chr25	+	30220326	30220391	30220473	30220518	30219093	30219201	30220914	30220949	26	45,87,65,48,74,74	36,52,48,34,37,51	39,60,91,35,101,93	31,47,56,26,47,67	214	194	0.977708274637	1.0	0.531,0.603,0.551,0.561,0.645,0.568	0.533,0.536,0.596,0.55,0.661,0.557	0.004
27	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30178939	30179035	30182513	30182654	30173115	30173671	30192071	30192167	27	21,41,28,18,43,23	44,75,41,51,58,55	15,44,30,45,42,37	45,66,75,55,117,80	245	290	0.640571379975	1.0	0.361,0.393,0.447,0.295,0.467,0.331	0.283,0.441,0.321,0.492,0.298,0.354	0.018
28	"ENSDARG00000061282"	"glg1a"	chr25	-	37221383	37221547	37222025	37222132	37219995	37220058	37223286	37223407	28	122,177,154,132,148,166	32,59,28,34,42,37	108,135,175,170,201,160	41,55,60,45,68,68	256	298	0.00353067964471	0.202491538983	0.816,0.777,0.865,0.819,0.804,0.839	0.754,0.741,0.772,0.815,0.775,0.733	0.055
