GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0045088	regulation of innate immune response	16	2	0.1	0.0041	ENSDARG00000002552,ENSDARG00000015653,ENSDARG00000016065,ENSDARG00000024032,ENSDARG00000030602,ENSDARG00000040249,ENSDARG00000043509,ENSDARG00000044415,ENSDARG00000052747,ENSDARG00000058729,ENSDARG00000069114,ENSDARG00000069733,ENSDARG00000070922,ENSDARG00000077810,ENSDARG00000102119,ENSDARG00000104396
GO:0001819	positive regulation of cytokine producti...	22	2	0.13	0.0076	ENSDARG00000007743,ENSDARG00000013838,ENSDARG00000014910,ENSDARG00000016065,ENSDARG00000018423,ENSDARG00000025285,ENSDARG00000026726,ENSDARG00000038428,ENSDARG00000044415,ENSDARG00000052747,ENSDARG00000056160,ENSDARG00000063019,ENSDARG00000068969,ENSDARG00000068993,ENSDARG00000069733,ENSDARG00000078707,ENSDARG00000095193,ENSDARG00000098481,ENSDARG00000100095,ENSDARG00000104359,ENSDARG00000104396,ENSDARG00000105481
GO:1903706	regulation of hemopoiesis	30	2	0.18	0.0140	ENSDARG00000000767,ENSDARG00000003217,ENSDARG00000004343,ENSDARG00000006672,ENSDARG00000008322,ENSDARG00000013477,ENSDARG00000016526,ENSDARG00000017320,ENSDARG00000019457,ENSDARG00000025032,ENSDARG00000026726,ENSDARG00000030602,ENSDARG00000036082,ENSDARG00000043135,ENSDARG00000045661,ENSDARG00000046081,ENSDARG00000053624,ENSDARG00000053666,ENSDARG00000057239,ENSDARG00000060316,ENSDARG00000060679,ENSDARG00000061351,ENSDARG00000070873,ENSDARG00000077620,ENSDARG00000098481,ENSDARG00000098903,ENSDARG00000100095,ENSDARG00000101096,ENSDARG00000104359,ENSDARG00000105481
GO:0048024	regulation of mRNA splicing, via spliceo...	32	2	0.19	0.0158	ENSDARG00000001241,ENSDARG00000004757,ENSDARG00000006395,ENSDARG00000006983,ENSDARG00000007034,ENSDARG00000007863,ENSDARG00000010083,ENSDARG00000013351,ENSDARG00000015206,ENSDARG00000016085,ENSDARG00000016260,ENSDARG00000018460,ENSDARG00000018574,ENSDARG00000018914,ENSDARG00000020841,ENSDARG00000022968,ENSDARG00000024276,ENSDARG00000032175,ENSDARG00000039266,ENSDARG00000042642,ENSDARG00000052856,ENSDARG00000052978,ENSDARG00000055389,ENSDARG00000057484,ENSDARG00000062612,ENSDARG00000070475,ENSDARG00000070846,ENSDARG00000071375,ENSDARG00000077400,ENSDARG00000098280,ENSDARG00000103672,ENSDARG00000114730
GO:0043009	chordate embryonic development	164	4	0.99	0.0169	ENSDARG00000000103,ENSDARG00000000779,ENSDARG00000002235,ENSDARG00000002791,ENSDARG00000003398,ENSDARG00000003961,ENSDARG00000004672,ENSDARG00000005791,ENSDARG00000006413,ENSDARG00000006921,ENSDARG00000008322,ENSDARG00000008740,ENSDARG00000008947,ENSDARG00000009170,ENSDARG00000009534,ENSDARG00000009953,ENSDARG00000010515,ENSDARG00000010844,ENSDARG00000011201,ENSDARG00000011564,ENSDARG00000011665,ENSDARG00000012078,ENSDARG00000012519,ENSDARG00000012694,ENSDARG00000012944,ENSDARG00000013477,ENSDARG00000013838,ENSDARG00000014796,ENSDARG00000015427,ENSDARG00000015707,ENSDARG00000015866,ENSDARG00000016302,ENSDARG00000016350,ENSDARG00000017163,ENSDARG00000017180,ENSDARG00000017446,ENSDARG00000017953,ENSDARG00000018025,ENSDARG00000018423,ENSDARG00000018460,ENSDARG00000019335,ENSDARG00000019353,ENSDARG00000019360,ENSDARG00000019815,ENSDARG00000020197,ENSDARG00000020708,ENSDARG00000022280,ENSDARG00000022418,ENSDARG00000022968,ENSDARG00000023290,ENSDARG00000024561,ENSDARG00000025032,ENSDARG00000025641,ENSDARG00000026766,ENSDARG00000027423,ENSDARG00000027744,ENSDARG00000028148,ENSDARG00000030602,ENSDARG00000030786,ENSDARG00000031658,ENSDARG00000031756,ENSDARG00000031809,ENSDARG00000031894,ENSDARG00000032221,ENSDARG00000032353,ENSDARG00000033539,ENSDARG00000034043,ENSDARG00000034600,ENSDARG00000036036,ENSDARG00000036542,ENSDARG00000036629,ENSDARG00000036687,ENSDARG00000036930,ENSDARG00000037060,ENSDARG00000037560,ENSDARG00000037654,ENSDARG00000037655,ENSDARG00000038428,ENSDARG00000039098,ENSDARG00000039400,ENSDARG00000039490,ENSDARG00000039878,ENSDARG00000040606,ENSDARG00000041232,ENSDARG00000041481,ENSDARG00000041609,ENSDARG00000041921,ENSDARG00000042934,ENSDARG00000043509,ENSDARG00000045776,ENSDARG00000052091,ENSDARG00000052139,ENSDARG00000052150,ENSDARG00000052866,ENSDARG00000053586,ENSDARG00000053666,ENSDARG00000054619,ENSDARG00000054858,ENSDARG00000055527,ENSDARG00000055632,ENSDARG00000056322,ENSDARG00000056427,ENSDARG00000057465,ENSDARG00000058203,ENSDARG00000058451,ENSDARG00000059279,ENSDARG00000059333,ENSDARG00000059642,ENSDARG00000060298,ENSDARG00000060687,ENSDARG00000060767,ENSDARG00000061168,ENSDARG00000061231,ENSDARG00000061737,ENSDARG00000061741,ENSDARG00000061974,ENSDARG00000062248,ENSDARG00000067639,ENSDARG00000067990,ENSDARG00000068409,ENSDARG00000069093,ENSDARG00000069150,ENSDARG00000069937,ENSDARG00000070573,ENSDARG00000070849,ENSDARG00000071524,ENSDARG00000074443,ENSDARG00000075211,ENSDARG00000077226,ENSDARG00000077264,ENSDARG00000077353,ENSDARG00000077469,ENSDARG00000077840,ENSDARG00000078106,ENSDARG00000078324,ENSDARG00000078416,ENSDARG00000078552,ENSDARG00000078717,ENSDARG00000088030,ENSDARG00000088590,ENSDARG00000090444,ENSDARG00000091563,ENSDARG00000098240,ENSDARG00000098349,ENSDARG00000098375,ENSDARG00000099144,ENSDARG00000099690,ENSDARG00000099771,ENSDARG00000099943,ENSDARG00000100371,ENSDARG00000100729,ENSDARG00000101089,ENSDARG00000101986,ENSDARG00000102180,ENSDARG00000102320,ENSDARG00000102414,ENSDARG00000102750,ENSDARG00000102855,ENSDARG00000103007,ENSDARG00000103025,ENSDARG00000103403,ENSDARG00000103959,ENSDARG00000104094,ENSDARG00000105083
GO:0009792	embryo development ending in birth or eg...	164	4	0.99	0.0169	ENSDARG00000000103,ENSDARG00000000779,ENSDARG00000002235,ENSDARG00000002791,ENSDARG00000003398,ENSDARG00000003961,ENSDARG00000004672,ENSDARG00000005791,ENSDARG00000006413,ENSDARG00000006921,ENSDARG00000008322,ENSDARG00000008740,ENSDARG00000008947,ENSDARG00000009170,ENSDARG00000009534,ENSDARG00000009953,ENSDARG00000010515,ENSDARG00000010844,ENSDARG00000011201,ENSDARG00000011564,ENSDARG00000011665,ENSDARG00000012078,ENSDARG00000012519,ENSDARG00000012694,ENSDARG00000012944,ENSDARG00000013477,ENSDARG00000013838,ENSDARG00000014796,ENSDARG00000015427,ENSDARG00000015707,ENSDARG00000015866,ENSDARG00000016302,ENSDARG00000016350,ENSDARG00000017163,ENSDARG00000017180,ENSDARG00000017446,ENSDARG00000017953,ENSDARG00000018025,ENSDARG00000018423,ENSDARG00000018460,ENSDARG00000019335,ENSDARG00000019353,ENSDARG00000019360,ENSDARG00000019815,ENSDARG00000020197,ENSDARG00000020708,ENSDARG00000022280,ENSDARG00000022418,ENSDARG00000022968,ENSDARG00000023290,ENSDARG00000024561,ENSDARG00000025032,ENSDARG00000025641,ENSDARG00000026766,ENSDARG00000027423,ENSDARG00000027744,ENSDARG00000028148,ENSDARG00000030602,ENSDARG00000030786,ENSDARG00000031658,ENSDARG00000031756,ENSDARG00000031809,ENSDARG00000031894,ENSDARG00000032221,ENSDARG00000032353,ENSDARG00000033539,ENSDARG00000034043,ENSDARG00000034600,ENSDARG00000036036,ENSDARG00000036542,ENSDARG00000036629,ENSDARG00000036687,ENSDARG00000036930,ENSDARG00000037060,ENSDARG00000037560,ENSDARG00000037654,ENSDARG00000037655,ENSDARG00000038428,ENSDARG00000039098,ENSDARG00000039400,ENSDARG00000039490,ENSDARG00000039878,ENSDARG00000040606,ENSDARG00000041232,ENSDARG00000041481,ENSDARG00000041609,ENSDARG00000041921,ENSDARG00000042934,ENSDARG00000043509,ENSDARG00000045776,ENSDARG00000052091,ENSDARG00000052139,ENSDARG00000052150,ENSDARG00000052866,ENSDARG00000053586,ENSDARG00000053666,ENSDARG00000054619,ENSDARG00000054858,ENSDARG00000055527,ENSDARG00000055632,ENSDARG00000056322,ENSDARG00000056427,ENSDARG00000057465,ENSDARG00000058203,ENSDARG00000058451,ENSDARG00000059279,ENSDARG00000059333,ENSDARG00000059642,ENSDARG00000060298,ENSDARG00000060687,ENSDARG00000060767,ENSDARG00000061168,ENSDARG00000061231,ENSDARG00000061737,ENSDARG00000061741,ENSDARG00000061974,ENSDARG00000062248,ENSDARG00000067639,ENSDARG00000067990,ENSDARG00000068409,ENSDARG00000069093,ENSDARG00000069150,ENSDARG00000069937,ENSDARG00000070573,ENSDARG00000070849,ENSDARG00000071524,ENSDARG00000074443,ENSDARG00000075211,ENSDARG00000077226,ENSDARG00000077264,ENSDARG00000077353,ENSDARG00000077469,ENSDARG00000077840,ENSDARG00000078106,ENSDARG00000078324,ENSDARG00000078416,ENSDARG00000078552,ENSDARG00000078717,ENSDARG00000088030,ENSDARG00000088590,ENSDARG00000090444,ENSDARG00000091563,ENSDARG00000098240,ENSDARG00000098349,ENSDARG00000098375,ENSDARG00000099144,ENSDARG00000099690,ENSDARG00000099771,ENSDARG00000099943,ENSDARG00000100371,ENSDARG00000100729,ENSDARG00000101089,ENSDARG00000101986,ENSDARG00000102180,ENSDARG00000102320,ENSDARG00000102414,ENSDARG00000102750,ENSDARG00000102855,ENSDARG00000103007,ENSDARG00000103025,ENSDARG00000103403,ENSDARG00000103959,ENSDARG00000104094,ENSDARG00000105083
GO:0048703	embryonic viscerocranium morphogenesis	35	2	0.21	0.0187	ENSDARG00000006921,ENSDARG00000009534,ENSDARG00000009953,ENSDARG00000012078,ENSDARG00000012519,ENSDARG00000014796,ENSDARG00000019815,ENSDARG00000025032,ENSDARG00000034600,ENSDARG00000036687,ENSDARG00000037060,ENSDARG00000039400,ENSDARG00000045776,ENSDARG00000052866,ENSDARG00000054619,ENSDARG00000056427,ENSDARG00000057465,ENSDARG00000058203,ENSDARG00000061231,ENSDARG00000061737,ENSDARG00000069150,ENSDARG00000077226,ENSDARG00000077264,ENSDARG00000077840,ENSDARG00000078324,ENSDARG00000078552,ENSDARG00000078717,ENSDARG00000090444,ENSDARG00000098240,ENSDARG00000098375,ENSDARG00000100729,ENSDARG00000103025,ENSDARG00000103403,ENSDARG00000103959,ENSDARG00000105083
GO:0030522	intracellular receptor signaling pathway	37	2	0.22	0.0208	ENSDARG00000000151,ENSDARG00000003165,ENSDARG00000003820,ENSDARG00000004861,ENSDARG00000009473,ENSDARG00000009594,ENSDARG00000011696,ENSDARG00000017007,ENSDARG00000021163,ENSDARG00000021494,ENSDARG00000025032,ENSDARG00000027472,ENSDARG00000031848,ENSDARG00000033160,ENSDARG00000034117,ENSDARG00000034181,ENSDARG00000036542,ENSDARG00000039116,ENSDARG00000042477,ENSDARG00000044525,ENSDARG00000044982,ENSDARG00000045527,ENSDARG00000052618,ENSDARG00000052654,ENSDARG00000052747,ENSDARG00000057007,ENSDARG00000057741,ENSDARG00000067719,ENSDARG00000069266,ENSDARG00000069733,ENSDARG00000071565,ENSDARG00000073978,ENSDARG00000076966,ENSDARG00000098439,ENSDARG00000100940,ENSDARG00000104396,ENSDARG00000112923
GO:0050684	regulation of mRNA processing	39	2	0.24	0.0230	ENSDARG00000001241,ENSDARG00000004757,ENSDARG00000005916,ENSDARG00000006395,ENSDARG00000006983,ENSDARG00000007034,ENSDARG00000007863,ENSDARG00000010083,ENSDARG00000013351,ENSDARG00000015206,ENSDARG00000016085,ENSDARG00000016260,ENSDARG00000018460,ENSDARG00000018574,ENSDARG00000018914,ENSDARG00000020467,ENSDARG00000020841,ENSDARG00000022968,ENSDARG00000024276,ENSDARG00000032175,ENSDARG00000035391,ENSDARG00000039266,ENSDARG00000041402,ENSDARG00000042642,ENSDARG00000052728,ENSDARG00000052856,ENSDARG00000052978,ENSDARG00000055389,ENSDARG00000057484,ENSDARG00000062612,ENSDARG00000070475,ENSDARG00000070846,ENSDARG00000071375,ENSDARG00000073997,ENSDARG00000077400,ENSDARG00000098280,ENSDARG00000103672,ENSDARG00000114730,ENSDARG00000114874
GO:0043484	regulation of RNA splicing	48	2	0.29	0.0338	ENSDARG00000001241,ENSDARG00000004757,ENSDARG00000005551,ENSDARG00000006395,ENSDARG00000006983,ENSDARG00000007034,ENSDARG00000007863,ENSDARG00000010083,ENSDARG00000013351,ENSDARG00000014746,ENSDARG00000015206,ENSDARG00000015901,ENSDARG00000016085,ENSDARG00000016260,ENSDARG00000018460,ENSDARG00000018574,ENSDARG00000018814,ENSDARG00000018914,ENSDARG00000019362,ENSDARG00000020841,ENSDARG00000021184,ENSDARG00000022968,ENSDARG00000024276,ENSDARG00000025174,ENSDARG00000028335,ENSDARG00000031346,ENSDARG00000031907,ENSDARG00000032175,ENSDARG00000035324,ENSDARG00000039266,ENSDARG00000039466,ENSDARG00000040881,ENSDARG00000042642,ENSDARG00000052856,ENSDARG00000052978,ENSDARG00000053021,ENSDARG00000055389,ENSDARG00000056836,ENSDARG00000057484,ENSDARG00000062612,ENSDARG00000070475,ENSDARG00000070846,ENSDARG00000071375,ENSDARG00000077400,ENSDARG00000098280,ENSDARG00000101947,ENSDARG00000103672,ENSDARG00000114730
