Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	% variance explained
ENSDARG00000103973	NA	NA	-1.2370856936762888	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	4	754	1	0	4	0	1	2	428	2	435	4.3415434102006465	582.0672043040553	0.9509563367286105	0	3.50508960529641	0	1.0340205157950444	2.298279756075972	610.3882731765397	1.85693745236354	309.96188890375953	1.69778338127422
ENSDARG00000103634	NA	NA	-1.5125695665049756	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	0	723	0	0	0	0	0	0	427	0	635	0	558.1360592995119	0	0	0	0	0	0	608.9621323513608	0	452.47310219284435	1.62021379036786
ENSDARG00000052207	0.7577840009611985	0.9998557456288473	0.3135002049113419	1	56274613	56320569	1	protein_coding	c3a.3	complement component c3a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-990415-37]	3290	288	2342	2353	295	1982	1943	2062	103	2196	1530	3570.919454890032	222.32805681640306	2227.1397406184055	3080.7180191516745	258.50035839061024	1827.1649616061459	2009.1018621897713	2369.526428514327	146.89250499341958	2038.9173226951668	1090.210781661499	1.1045283061115212
ENSDARG00000020711	NA	NA	-4.521465753579433	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	255	14	10	7	5	11	681	584	2	15	540	276.7733924002912	10.807613873019594	9.509563367286106	9.164906984301624	4.381362006620512	10.140673348974573	704.1679712564253	671.0976887741839	2.8522816503576616	13.92703089272655	384.7802758805291	1.0568424633933067
ENSDARG00000105265	0.9892205739922777	0.9998557456288473	-0.0470476528449163	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	175	279	0	0	336	373	246	234	0	0	825	189.94252419627827	215.38030504089048	0	0	294.4275268448984	343.86101446977415	254.36904688558093	268.8987314608887	0	0	587.858754817475	1.033503138692879
ENSDARG00000100131	0.3991308836966211	0.9998557456288473	-0.741580993003878	7	53152108	53210386	1	protein_coding	cdh29	cadherin 29 [Source:ZFIN;Acc:ZDB-GENE-141212-240]	230	434	241	45	285	122	407	300	484	446	124	249.63874608653717	335.03603006360737	229.1804771515951	58.91725918479616	249.7376343773692	112.46928623408164	420.8463499285831	344.74196341139583	690.2521593865541	414.0970518770694	88.3569522392326	0.9793752093966747
ENSDARG00000007708	0.4419176797389292	0.9998557456288473	-0.4289411781057757	21	3789839	3796461	-1	protein_coding	nsa2	NSA2 ribosome biogenesis homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-488]	3392	5078	3826	675	4202	3689	3519	3184	4513	3265	4828	3681.6288118501484	3920.0759462281067	3638.3589443236638	883.7588877719423	3682.0966303638784	3400.8130894879273	3638.7181950827617	3658.8613716729474	6436.173544032064	3031.450390983479	3440.220688798508	0.8969106928462465
ENSDARG00000115978	0.9580872266247293	0.9998557456288473	-0.0625166342158991	4	77561226	77561679	-1	protein_coding	AL935186.10	NA	41	88	553	71	28	228	29	78	107	142	82	44.500819954556626	67.93357291612315	525.8788542109216	92.95834226934504	24.53562723707487	210.18850214238208	29.98659495805629	89.63291048696291	152.5970682941349	131.84255911781133	58.42959744852478	0.8655671842694661
ENSDARG00000045835	0.9726463013382152	0.9998557456288473	-0.059022082021836016	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	653	897	649	651	0	1038	806	631	711	581	185	708.7569617152556	692.4592602927554	617.1706625368682	852.3363495400511	0	956.9108123850552	833.4205357308058	725.1072630419692	1013.9861267021487	539.4403299116084	131.82287229240347	0.85814274224879
ENSDARG00000096655	0.9573911178526716	0.9998557456288473	-0.053899888701178476	20	14657141	14661432	1	antisense	BX901920.1	NA	93	737	463	332	887	295	141	131	721	413	130	100.94088428716503	568.9436731725315	440.29278390534665	434.6784455411627	777.2536199744789	271.95442163159083	145.79689272710127	150.53732402297618	1028.247534953937	383.457583913071	92.63228863790515	0.7834115182009808
ENSDARG00000089382	0.9784961440059098	0.9998557456288473	-0.028031433347033622	5	824709	825920	-1	protein_coding	zgc:158463	zgc:158463 [Source:ZFIN;Acc:ZDB-GENE-070410-9]	93	145	1126	209	90	401	90	165	196	274	143	100.94088428716503	111.93600082770293	1070.7768351564155	273.63793710271995	78.86451611916922	369.6736375398913	93.061846421554	189.6080798762677	279.5236017350509	254.400430973805	101.89551750169565	0.7818100106095602
ENSDARG00000068006	0.030346216954416645	0.9112830687987311	3.5272658009838866	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	302	342	293	14	74	298	24	789	13	13	23	327.7865274701488	264.01456746947866	278.6302066614829	18.329813968603247	64.84415769798358	274.7200598176748	24.816492379081065	906.671363771971	18.5398307273248	12.07009344036301	16.388789528244757	0.7702901471360954
ENSDARG00000023587	0.009391877850363446	0.5607756094768438	-2.1060921989851367	17	48683769	48705993	-1	protein_coding	kcnk5a	potassium channel, subfamily K, member 5a [Source:ZFIN;Acc:ZDB-GENE-051113-112]	664	500	850	345	55	66	687	669	496	707	1003	720.6962060933073	385.98620975069974	808.3128862193189	451.6989870834372	48.19498207282563	60.84404009384744	710.3720943511955	768.7745784074126	707.3658492887001	656.4273894105114	714.6937346447604	0.7217203678219009
ENSDARG00000104436	0.9474233861410368	0.9998557456288473	-0.0507656164972409	3	49559261	49566364	-1	protein_coding	zgc:153426	zgc:153426 [Source:ZFIN;Acc:ZDB-GENE-060929-220]	310	2535	1862	2208	3571	2039	2940	1503	1129	3589	4490	336.4696142905501	1956.9500834360479	1770.6806989886727	2890.873517333998	3129.1687451283697	1879.7120871417414	3040.0203164374307	1727.157236691093	1610.1129916269	3332.2742582663727	3199.3767383399545	0.718505206553834
ENSDARG00000114910	0.6574111996020078	0.9998557456288473	-0.29678212824967803	7	7653	7987	1	pseudogene	FO704772.2	NA	1487	1866	6604	2040	1115	2877	1181	1458	1967	1923	1891	1613.9687627420903	1440.5005347896115	6280.115647755743	2670.915749710759	977.0437274763742	2652.2470204545316	1221.1782291539475	1675.4459421793836	2805.21900312676	1785.4453604475436	1347.443521648297	0.7158874124468092
