Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000033832	0	0.0	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000033832	0	0.0	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000057035	7.3308026316e-13	1.56561508202e-09	10	24641229	24648231	-1	protein_coding	stoml3b	stomatin (EPB72)-like 3b [Source:ZFIN;Acc:ZDB-GENE-050417-366]
ENSDARG00000033683	4.76026995599e-11	7.62476240201e-08	7	29951997	29962080	1	protein_coding	tpma	alpha-tropomyosin [Source:NCBI gene;Acc:30324]
ENSDARG00000102750	1.50287116085e-10	1.92577910551e-07	7	53059299	53117237	-1	protein_coding	cdh1	cadherin 1, type 1, E-cadherin (epithelial) [Source:ZFIN;Acc:ZDB-GENE-010606-1]
ENSDARG00000033683	1.97799443491e-10	2.11216839074e-07	7	29951997	29962080	1	protein_coding	tpma	alpha-tropomyosin [Source:NCBI gene;Acc:30324]
ENSDARG00000030053	8.81687944876e-09	8.06996380403e-06	20	52546186	52582645	1	protein_coding	eef1db	eukaryotic translation elongation factor 1 delta b (guanine nucleotide exchange protein) [Source:ZFIN;Acc:ZDB-GENE-030131-6544]
ENSDARG00000069765	1.50969300394e-08	1.20907538453e-05	16	45456066	45691220	1	protein_coding	syngap1b	synaptic Ras GTPase activating protein 1b [Source:ZFIN;Acc:ZDB-GENE-100921-2]
ENSDARG00000030053	1.96698867194e-08	1.40027738012e-05	20	52546186	52582645	1	protein_coding	eef1db	eukaryotic translation elongation factor 1 delta b (guanine nucleotide exchange protein) [Source:ZFIN;Acc:ZDB-GENE-030131-6544]
ENSDARG00000043701	1.31236126411e-07	8.40829861915e-05	8	7033049	7052493	1	protein_coding	gpd1a	glycerol-3-phosphate dehydrogenase 1a [Source:ZFIN;Acc:ZDB-GENE-050417-209]
ENSDARG00000053575	1.89743872281e-07	0.000110517180882	8	41035230	41173369	1	protein_coding	gpat2	glycerol-3-phosphate acyltransferase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-050309-118]
ENSDARG00000075156	2.04467469178e-06	0.00109168589585	9	30585552	30639362	1	protein_coding	tbc1d4	TBC1 domain family, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-9881]
ENSDARG00000068457	3.46159764997e-06	0.00170603508795	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000073688	6.36213702865e-06	0.00291158656733	7	16806473	17015002	1	protein_coding	nav2a	neuron navigator 2a [Source:ZFIN;Acc:ZDB-GENE-120502-3]
ENSDARG00000023217	7.42609819504e-06	0.00315759153706	2	43159171	43196595	-1	protein_coding	crema	cAMP responsive element modulator a [Source:ZFIN;Acc:ZDB-GENE-030131-7031]
ENSDARG00000098538	7.88535423646e-06	0.00315759153706	KN150189.1	3	9866	1	protein_coding	CABZ01112049.1	intestinal mucin-like protein [Source:NCBI gene;Acc:100332723]
ENSDARG00000023217	8.71569208183e-06	0.00328479053931	2	43159171	43196595	-1	protein_coding	crema	cAMP responsive element modulator a [Source:ZFIN;Acc:ZDB-GENE-030131-7031]
ENSDARG00000004782	1.0473673774e-05	0.00372804599278	13	13213567	13294872	-1	protein_coding	fgfr3	fibroblast growth factor receptor 3 [Source:NCBI gene;Acc:58129]
ENSDARG00000079840	1.19263910839e-05	0.00399968915809	13	16521898	16886118	1	protein_coding	kcnma1a	potassium large conductance calcium-activated channel, subfamily M, alpha member 1a [Source:ZFIN;Acc:ZDB-GENE-070202-9]
ENSDARG00000095339	1.24853727426e-05	0.00399968915809	14	6628863	6727717	-1	protein_coding	si:dkeyp-44a8.4	si:dkeyp-44a8.4 [Source:ZFIN;Acc:ZDB-GENE-070705-543]
ENSDARG00000077492	1.54352357961e-05	0.0045115232522	24	21371279	21512425	-1	protein_coding	atp8a2	ATPase phospholipid transporting 8A2 [Source:ZFIN;Acc:ZDB-GENE-100209-2]
ENSDARG00000004930	1.54914174416e-05	0.0045115232522	9	21893757	21970067	-1	protein_coding	lmo7a	LIM domain 7a [Source:ZFIN;Acc:ZDB-GENE-030219-74]
ENSDARG00000102716	2.02555454343e-05	0.00547841482113	4	34553067	34589087	-1	unprocessed_pseudogene	AL645691.2	
ENSDARG00000068457	2.11565969196e-05	0.00547841482113	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000068457	2.13766771544e-05	0.00547841482113	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000021378	2.28664266163e-05	0.00563481520502	25	7718967	7764083	-1	protein_coding	phf21ab	PHD finger protein 21Ab [Source:ZFIN;Acc:ZDB-GENE-030131-6456]
ENSDARG00000068457	2.78596074725e-05	0.00661098166949	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000068457	2.99491082107e-05	0.00685299772521	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000101028	3.5709900441e-05	0.00788942524571	21	6290566	6377890	1	protein_coding	fnbp1b	formin binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-091117-6]
ENSDARG00000099014	4.60674190533e-05	0.00951618205311	16	45202602	45225520	-1	protein_coding	fxyd1	FXYD domain containing ion transport regulator 1 (phospholemman) [Source:ZFIN;Acc:ZDB-GENE-050309-14]
ENSDARG00000071010	4.69573594937e-05	0.00951618205311	19	7717449	7750195	1	protein_coding	tuft1b	tuftelin 1b [Source:ZFIN;Acc:ZDB-GENE-060503-150]
ENSDARG00000004415	4.75289255033e-05	0.00951618205311	12	30977736	31103906	-1	protein_coding	tcf7l2	transcription factor 7 like 2 [Source:ZFIN;Acc:ZDB-GENE-991110-8]
ENSDARG00000015184	5.19055901602e-05	0.0100775489744	3	38647987	38692920	-1	protein_coding	mpp3a	membrane protein, palmitoylated 3a (MAGUK p55 subfamily member 3) [Source:ZFIN;Acc:ZDB-GENE-130530-555]
ENSDARG00000079295	7.00396988847e-05	0.0131983632575	21	14381227	14630840	-1	protein_coding	cacna1bb	calcium channel, voltage-dependent, N type, alpha 1B subunit, b [Source:ZFIN;Acc:ZDB-GENE-090514-4]
ENSDARG00000057013	7.83356442584e-05	0.0143398992218	2	44049081	44183613	-1	protein_coding	cadm3	cell adhesion molecule 3 [Source:ZFIN;Acc:ZDB-GENE-060512-196]
ENSDARG00000038786	8.17890263073e-05	0.0145561747653	2	32515846	32558795	-1	protein_coding	smarcd3a	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3a [Source:ZFIN;Acc:ZDB-GENE-070912-491]
ENSDARG00000101028	8.93684378308e-05	0.0154752319238	21	6290566	6377890	1	protein_coding	fnbp1b	formin binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-091117-6]
ENSDARG00000068457	0.000109351520257	0.018056459615	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000068457	0.000109911335256	0.018056459615	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000095170	0.000112790273661	0.0180661820837	6	15526769	15604417	-1	protein_coding	lrrfip1b	leucine rich repeat (in FLII) interacting protein 1b [Source:ZFIN;Acc:ZDB-GENE-050208-324]
ENSDARG00000097530	0.000139142769848	0.0213093919017	17	32608010	32621103	-1	protein_coding	xkr5b	XK related 5b [Source:ZFIN;Acc:ZDB-GENE-170829-1]
ENSDARG00000068457	0.00013969009831	0.0213093919017	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000020345	0.000147749973989	0.0220147461244	19	42693855	42802298	1	protein_coding	clasp2	cytoplasmic linker associated protein 2 [Source:NCBI gene;Acc:404604]
ENSDARG00000068457	0.00016621170501	0.0241947697254	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000067995	0.000169933609746	0.0241947697254	5	32281815	32293002	-1	protein_coding	myhz1.2	myosin, heavy polypeptide 1.2, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-070705-73]
ENSDARG00000074575	0.000186670328143	0.0259999302698	1	31071708	31105376	-1	protein_coding	ppp1r9alb	protein phosphatase 1 regulatory subunit 9A-like B [Source:ZFIN;Acc:ZDB-GENE-090312-99]
ENSDARG00000015985	0.00022811175477	0.0310960002726	4	14660769	14713773	1	protein_coding	abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:ZFIN;Acc:ZDB-GENE-050517-23]
ENSDARG00000068457	0.000244685107403	0.0319688456089	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000104649	0.000248311170468	0.0319688456089	11	1602916	1618087	1	protein_coding	si:dkey-40c23.2	si:dkey-40c23.2 [Source:ZFIN;Acc:ZDB-GENE-030131-5958]
ENSDARG00000098809	0.000249483733486	0.0319688456089	16	33005688	33059269	-1	protein_coding	snap91a	synaptosome associated protein 91a [Source:ZFIN;Acc:ZDB-GENE-100422-6]
ENSDARG00000003061	0.000261947615319	0.0329078112029	18	50433722	50524042	-1	protein_coding	cd276	CD276 molecule [Source:ZFIN;Acc:ZDB-GENE-070112-452]
ENSDARG00000025011	0.000279512915697	0.0344392163629	10	26515946	26569350	1	protein_coding	synj1	synaptojanin 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9180]
ENSDARG00000005179	0.000315236496405	0.0381079289145	17	38738840	38778901	-1	protein_coding	dglucy	D-glutamate cyclase [Source:ZFIN;Acc:ZDB-GENE-070725-6]
ENSDARG00000058088	0.000328212610576	0.0388229061862	5	22550614	22573673	-1	protein_coding	aifm1	apoptosis inducing factor mitochondrion associated 1 [Source:ZFIN;Acc:ZDB-GENE-030826-11]
ENSDARG00000098592	0.00033343180125	0.0388229061862	8	19398335	19467011	-1	protein_coding	zgc:92140	zgc:92140 [Source:ZFIN;Acc:ZDB-GENE-040912-161]
ENSDARG00000062790	0.000339329287721	0.0388229061862	13	28819768	28902920	1	protein_coding	CU639469.1	transforming, acidic coiled-coil containing protein 2 [Source:NCBI gene;Acc:569976]
ENSDARG00000067990	0.00034840388534	0.039161819182	5	32298624	32309129	-1	protein_coding	myhz1.1	myosin, heavy polypeptide 1.1, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-5]
ENSDARG00000098592	0.000379079120898	0.0418751711654	8	19398335	19467011	-1	protein_coding	zgc:92140	zgc:92140 [Source:ZFIN;Acc:ZDB-GENE-040912-161]
ENSDARG00000070339	0.00041070772141	0.044600074086	23	36087219	36149371	1	protein_coding	hoxc3a	homeobox C3a [Source:NCBI gene;Acc:30421]
ENSDARG00000099014	0.000436278680001	0.0458422787801	16	45202602	45225520	-1	protein_coding	fxyd1	FXYD domain containing ion transport regulator 1 (phospholemman) [Source:ZFIN;Acc:ZDB-GENE-050309-14]
ENSDARG00000006299	0.000436456844949	0.0458422787801	9	21535885	21570566	1	protein_coding	arhgef7a	Rho guanine nucleotide exchange factor (GEF) 7a [Source:ZFIN;Acc:ZDB-GENE-060322-11]
ENSDARG00000060127	0.00045793678509	0.047322596485	5	45322734	45532848	1	protein_coding	adamts3	ADAM metallopeptidase with thrombospondin type 1 motif, 3 [Source:ZFIN;Acc:ZDB-GENE-110223-1]
ENSDARG00000015184	0.000488581715912	0.0496879849817	3	38647987	38692920	-1	protein_coding	mpp3a	membrane protein, palmitoylated 3a (MAGUK p55 subfamily member 3) [Source:ZFIN;Acc:ZDB-GENE-130530-555]
