GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000010519,ENSDARG00000011890,ENSDARG00000019498,ENSDARG00000021882,ENSDARG00000034503,ENSDARG00000037738,ENSDARG00000045768,ENSDARG00000069074,ENSDARG00000091131,ENSDARG00000102403
GO:0032922	circadian regulation of gene expression	17	4	0.15	1.3e-05	ENSDARG00000003820,ENSDARG00000010519,ENSDARG00000011890,ENSDARG00000016536,ENSDARG00000019498,ENSDARG00000029544,ENSDARG00000034503,ENSDARG00000040764,ENSDARG00000045768,ENSDARG00000054823,ENSDARG00000055283,ENSDARG00000058094,ENSDARG00000069074,ENSDARG00000078525,ENSDARG00000091131,ENSDARG00000094965,ENSDARG00000102403
GO:0018298	protein-chromophore linkage	18	3	0.16	0.00052	ENSDARG00000011890,ENSDARG00000019498,ENSDARG00000036460,ENSDARG00000044280,ENSDARG00000044672,ENSDARG00000045677,ENSDARG00000045768,ENSDARG00000052775,ENSDARG00000053929,ENSDARG00000068124,ENSDARG00000069074,ENSDARG00000070110,ENSDARG00000070666,ENSDARG00000090629,ENSDARG00000091131,ENSDARG00000099519,ENSDARG00000102403,ENSDARG00000103574
GO:0000302	response to reactive oxygen species	18	3	0.16	0.00052	ENSDARG00000006207,ENSDARG00000015822,ENSDARG00000018146,ENSDARG00000024669,ENSDARG00000025350,ENSDARG00000026726,ENSDARG00000034503,ENSDARG00000038980,ENSDARG00000042644,ENSDARG00000045768,ENSDARG00000057437,ENSDARG00000058734,ENSDARG00000060345,ENSDARG00000060350,ENSDARG00000070012,ENSDARG00000098481,ENSDARG00000102379,ENSDARG00000116246
GO:0006633	fatty acid biosynthetic process	29	3	0.26	0.00218	ENSDARG00000001169,ENSDARG00000004402,ENSDARG00000004539,ENSDARG00000004880,ENSDARG00000014806,ENSDARG00000014915,ENSDARG00000018809,ENSDARG00000026726,ENSDARG00000027495,ENSDARG00000030265,ENSDARG00000037284,ENSDARG00000046143,ENSDARG00000052148,ENSDARG00000053483,ENSDARG00000058463,ENSDARG00000059503,ENSDARG00000059760,ENSDARG00000060094,ENSDARG00000061994,ENSDARG00000068415,ENSDARG00000069279,ENSDARG00000069966,ENSDARG00000071306,ENSDARG00000098481,ENSDARG00000098855,ENSDARG00000101585,ENSDARG00000103735,ENSDARG00000109760,ENSDARG00000116385
GO:0060485	mesenchyme development	64	4	0.58	0.00257	ENSDARG00000002445,ENSDARG00000002952,ENSDARG00000007329,ENSDARG00000009170,ENSDARG00000010583,ENSDARG00000010721,ENSDARG00000011163,ENSDARG00000014986,ENSDARG00000015554,ENSDARG00000018765,ENSDARG00000020708,ENSDARG00000031894,ENSDARG00000032221,ENSDARG00000034293,ENSDARG00000036371,ENSDARG00000036558,ENSDARG00000036912,ENSDARG00000040387,ENSDARG00000040606,ENSDARG00000040920,ENSDARG00000041609,ENSDARG00000041921,ENSDARG00000042535,ENSDARG00000042667,ENSDARG00000043923,ENSDARG00000044422,ENSDARG00000044525,ENSDARG00000045180,ENSDARG00000045694,ENSDARG00000045776,ENSDARG00000052091,ENSDARG00000053493,ENSDARG00000054578,ENSDARG00000057633,ENSDARG00000057911,ENSDARG00000058821,ENSDARG00000059279,ENSDARG00000062338,ENSDARG00000062352,ENSDARG00000062824,ENSDARG00000062909,ENSDARG00000069014,ENSDARG00000074414,ENSDARG00000076126,ENSDARG00000076317,ENSDARG00000077226,ENSDARG00000077847,ENSDARG00000078416,ENSDARG00000078592,ENSDARG00000079111,ENSDARG00000079611,ENSDARG00000088143,ENSDARG00000091563,ENSDARG00000098508,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000100944,ENSDARG00000101209,ENSDARG00000101980,ENSDARG00000103959,ENSDARG00000104566,ENSDARG00000104676,ENSDARG00000105301,ENSDARG00000111701
GO:0072359	circulatory system development	274	8	2.48	0.00308	ENSDARG00000000568,ENSDARG00000002210,ENSDARG00000002216,ENSDARG00000002952,ENSDARG00000003109,ENSDARG00000003293,ENSDARG00000003751,ENSDARG00000004447,ENSDARG00000004452,ENSDARG00000004672,ENSDARG00000005122,ENSDARG00000005559,ENSDARG00000006603,ENSDARG00000006624,ENSDARG00000007302,ENSDARG00000007329,ENSDARG00000007358,ENSDARG00000007774,ENSDARG00000008384,ENSDARG00000009170,ENSDARG00000009387,ENSDARG00000009488,ENSDARG00000010432,ENSDARG00000010583,ENSDARG00000010655,ENSDARG00000010721,ENSDARG00000010785,ENSDARG00000011023,ENSDARG00000011146,ENSDARG00000011257,ENSDARG00000011400,ENSDARG00000011615,ENSDARG00000011648,ENSDARG00000012078,ENSDARG00000012553,ENSDARG00000012820,ENSDARG00000013477,ENSDARG00000014159,ENSDARG00000014215,ENSDARG00000014796,ENSDARG00000014986,ENSDARG00000015427,ENSDARG00000015681,ENSDARG00000016871,ENSDARG00000017115,ENSDARG00000017219,ENSDARG00000017400,ENSDARG00000017500,ENSDARG00000017542,ENSDARG00000017803,ENSDARG00000018004,ENSDARG00000018025,ENSDARG00000018179,ENSDARG00000018460,ENSDARG00000018476,ENSDARG00000018687,ENSDARG00000018765,ENSDARG00000019008,ENSDARG00000019096,ENSDARG00000019103,ENSDARG00000019130,ENSDARG00000019339,ENSDARG00000019371,ENSDARG00000019549,ENSDARG00000019709,ENSDARG00000019728,ENSDARG00000019815,ENSDARG00000019838,ENSDARG00000019845,ENSDARG00000019969,ENSDARG00000020201,ENSDARG00000020610,ENSDARG00000020785,ENSDARG00000020872,ENSDARG00000021124,ENSDARG00000021739,ENSDARG00000021889,ENSDARG00000023290,ENSDARG00000023396,ENSDARG00000023878,ENSDARG00000023963,ENSDARG00000025902,ENSDARG00000026348,ENSDARG00000026712,ENSDARG00000026726,ENSDARG00000026784,ENSDARG00000027600,ENSDARG00000028213,ENSDARG00000029439,ENSDARG00000030058,ENSDARG00000030125,ENSDARG00000030307,ENSDARG00000030364,ENSDARG00000030402,ENSDARG00000030417,ENSDARG00000030604,ENSDARG00000031420,ENSDARG00000031751,ENSDARG00000031756,ENSDARG00000031761,ENSDARG00000032272,ENSDARG00000032976,ENSDARG00000033307,ENSDARG00000034293,ENSDARG00000034424,ENSDARG00000034503,ENSDARG00000034559,ENSDARG00000035253,ENSDARG00000035427,ENSDARG00000035577,ENSDARG00000035859,ENSDARG00000036043,ENSDARG00000036090,ENSDARG00000036645,ENSDARG00000036987,ENSDARG00000037677,ENSDARG00000037883,ENSDARG00000038428,ENSDARG00000038442,ENSDARG00000038574,ENSDARG00000038687,ENSDARG00000039022,ENSDARG00000039577,ENSDARG00000040031,ENSDARG00000040080,ENSDARG00000040237,ENSDARG00000040255,ENSDARG00000040334,ENSDARG00000040387,ENSDARG00000040432,ENSDARG00000040926,ENSDARG00000041232,ENSDARG00000041421,ENSDARG00000041430,ENSDARG00000041450,ENSDARG00000041530,ENSDARG00000041895,ENSDARG00000042338,ENSDARG00000042535,ENSDARG00000042667,ENSDARG00000042796,ENSDARG00000043923,ENSDARG00000044016,ENSDARG00000044167,ENSDARG00000044573,ENSDARG00000044811,ENSDARG00000045543,ENSDARG00000045958,ENSDARG00000046019,ENSDARG00000052091,ENSDARG00000052148,ENSDARG00000052708,ENSDARG00000053209,ENSDARG00000053535,ENSDARG00000053858,ENSDARG00000053868,ENSDARG00000053906,ENSDARG00000054239,ENSDARG00000054337,ENSDARG00000054632,ENSDARG00000055398,ENSDARG00000055543,ENSDARG00000055563,ENSDARG00000055618,ENSDARG00000055723,ENSDARG00000055781,ENSDARG00000055786,ENSDARG00000056029,ENSDARG00000056075,ENSDARG00000056795,ENSDARG00000056831,ENSDARG00000056920,ENSDARG00000056924,ENSDARG00000057633,ENSDARG00000058128,ENSDARG00000058179,ENSDARG00000058551,ENSDARG00000058598,ENSDARG00000059369,ENSDARG00000059437,ENSDARG00000059770,ENSDARG00000059794,ENSDARG00000060002,ENSDARG00000060243,ENSDARG00000060410,ENSDARG00000060983,ENSDARG00000060994,ENSDARG00000061351,ENSDARG00000061509,ENSDARG00000061527,ENSDARG00000061759,ENSDARG00000062003,ENSDARG00000062479,ENSDARG00000062892,ENSDARG00000062909,ENSDARG00000062978,ENSDARG00000063068,ENSDARG00000063089,ENSDARG00000068177,ENSDARG00000068516,ENSDARG00000068973,ENSDARG00000069014,ENSDARG00000069048,ENSDARG00000069150,ENSDARG00000069640,ENSDARG00000069737,ENSDARG00000070061,ENSDARG00000070787,ENSDARG00000071018,ENSDARG00000071091,ENSDARG00000071192,ENSDARG00000071566,ENSDARG00000073810,ENSDARG00000074050,ENSDARG00000075169,ENSDARG00000075549,ENSDARG00000075713,ENSDARG00000075949,ENSDARG00000076010,ENSDARG00000076020,ENSDARG00000076126,ENSDARG00000076484,ENSDARG00000077226,ENSDARG00000077777,ENSDARG00000077840,ENSDARG00000077866,ENSDARG00000078308,ENSDARG00000078417,ENSDARG00000078865,ENSDARG00000079027,ENSDARG00000079111,ENSDARG00000079647,ENSDARG00000086391,ENSDARG00000087020,ENSDARG00000088810,ENSDARG00000090724,ENSDARG00000091126,ENSDARG00000091481,ENSDARG00000092060,ENSDARG00000092677,ENSDARG00000093170,ENSDARG00000094191,ENSDARG00000094799,ENSDARG00000095322,ENSDARG00000095512,ENSDARG00000096578,ENSDARG00000098237,ENSDARG00000098481,ENSDARG00000098627,ENSDARG00000098753,ENSDARG00000100467,ENSDARG00000100560,ENSDARG00000100657,ENSDARG00000100729,ENSDARG00000100944,ENSDARG00000101717,ENSDARG00000101980,ENSDARG00000102051,ENSDARG00000102490,ENSDARG00000102889,ENSDARG00000102893,ENSDARG00000103464,ENSDARG00000103533,ENSDARG00000103554,ENSDARG00000103747,ENSDARG00000103771,ENSDARG00000103775,ENSDARG00000103791,ENSDARG00000103959,ENSDARG00000104138,ENSDARG00000104441,ENSDARG00000104676,ENSDARG00000104808,ENSDARG00000104837
GO:0009617	response to bacterium	36	3	0.33	0.00407	ENSDARG00000002355,ENSDARG00000003570,ENSDARG00000004586,ENSDARG00000010149,ENSDARG00000010423,ENSDARG00000016771,ENSDARG00000019742,ENSDARG00000023526,ENSDARG00000024032,ENSDARG00000035859,ENSDARG00000036084,ENSDARG00000041959,ENSDARG00000044332,ENSDARG00000052039,ENSDARG00000052322,ENSDARG00000052673,ENSDARG00000057128,ENSDARG00000058285,ENSDARG00000062632,ENSDARG00000062909,ENSDARG00000068966,ENSDARG00000068995,ENSDARG00000070280,ENSDARG00000075161,ENSDARG00000086254,ENSDARG00000088680,ENSDARG00000090615,ENSDARG00000095193,ENSDARG00000097181,ENSDARG00000100184,ENSDARG00000102299,ENSDARG00000102776,ENSDARG00000102889,ENSDARG00000102894,ENSDARG00000104654,ENSDARG00000116628
GO:0000038	very long-chain fatty acid metabolic pro...	12	2	0.11	0.00500	ENSDARG00000002947,ENSDARG00000003854,ENSDARG00000004402,ENSDARG00000014727,ENSDARG00000014806,ENSDARG00000027495,ENSDARG00000030514,ENSDARG00000069279,ENSDARG00000101585,ENSDARG00000103735,ENSDARG00000109760,ENSDARG00000116385
GO:0051016	barbed-end actin filament capping	12	2	0.11	0.00500	ENSDARG00000011459,ENSDARG00000011661,ENSDARG00000034240,ENSDARG00000035560,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000056090,ENSDARG00000056250,ENSDARG00000058348,ENSDARG00000100252,ENSDARG00000102056,ENSDARG00000102128
