GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000011026	0	0.12229865868669784	zgc:92907	zgc:92907 [Source:ZFIN;Acc:ZDB-GENE-040718-161]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000012407	0	0.14083116356140224	mgat1a	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase a [Source:ZFIN;Acc:ZDB-GENE-040426-1515]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000019746	0	-0.11001803906005427	rfng	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:NCBI gene;Acc:414848]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000026811	0	-0.1559252396926945	extl3	exostosin-like glycosyltransferase 3 [Source:ZFIN;Acc:ZDB-GENE-041124-2]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000036065	0	-0.040460318359539255	mgat1b	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase b [Source:ZFIN;Acc:ZDB-GENE-061103-589]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000036619	0	-0.12033721168220891	mgat3b	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase b [Source:ZFIN;Acc:ZDB-GENE-130820-2]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000037879	0	-0.07349829987749731	lfng	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:NCBI gene;Acc:30158]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000038069	0	0.11913173672892004	mgat3a	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase a [Source:ZFIN;Acc:ZDB-GENE-050522-249]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000038097	0	-0.07723526661802245	pigq	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:ZFIN;Acc:ZDB-GENE-030131-9793]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000038348	0	-0.11557228351534969	pigh	phosphatidylinositol glycan anchor biosynthesis, class H [Source:ZFIN;Acc:ZDB-GENE-040718-303]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000038805	0	0.888877849630122	pigp	phosphatidylinositol glycan anchor biosynthesis, class P [Source:ZFIN;Acc:ZDB-GENE-030131-4041]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000040608	0	-0.15974831294255212	gcnt7	glucosaminyl (N-acetyl) transferase family member 7 [Source:ZFIN;Acc:ZDB-GENE-120919-3]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000041040	0	-0.38081387814172	piga	phosphatidylinositol glycan anchor biosynthesis, class A [Source:ZFIN;Acc:ZDB-GENE-040426-1086]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000041791	0	-0.5049083268810217	mgat4c	mgat4 family member C [Source:ZFIN;Acc:ZDB-GENE-091204-429]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000042925	0	-0.026263509222621557	mfng	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:NCBI gene;Acc:493633]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000044755	0	0.16338766461583507	GCNT4	si:dkeyp-87d8.8 [Source:ZFIN;Acc:ZDB-GENE-041111-161]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000052025	0	-0.12340761305561408	pomgnt1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:ZFIN;Acc:ZDB-GENE-070112-991]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000052408	0	-0.07172095126605946	mgat2	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:ZFIN;Acc:ZDB-GENE-070410-54]
GO:0008375	acetylglucosaminyltransferase activity	31	2	0.06	0.0017	ENSDARG00000063330	0	-0.07028901715820139	mgat4a	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:ZFIN;Acc:ZDB-GENE-070912-27]
