GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000002494	0	0.19026819028986713	itgb6	integrin, beta 6 [Source:ZFIN;Acc:ZDB-GENE-100812-2]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000008969	0	0.04097761748756052	fgb	fibrinogen beta chain [Source:ZFIN;Acc:ZDB-GENE-030131-9261]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000011299	0	0.147200941132579	blzf1	basic leucine zipper nuclear factor 1 [Source:ZFIN;Acc:ZDB-GENE-010724-1]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000016939	0	0.33280987993644895	itgb2	integrin, beta 2 [Source:ZFIN;Acc:ZDB-GENE-110411-4]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000019117	0	0.027469836552065113	parvb	parvin, beta [Source:ZFIN;Acc:ZDB-GENE-030131-4411]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000021789	0	0.04403015665442927	myoc	myocilin [Source:ZFIN;Acc:ZDB-GENE-050425-2]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000022689	0	0.17979473722669234	itgb1b.2	integrin, beta 1b.2 [Source:ZFIN;Acc:ZDB-GENE-040426-2598]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000028507	0	0.1527624831426085	itgb4	integrin, beta 4 [Source:ZFIN;Acc:ZDB-GENE-030131-7209]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000037281	0	0.08931270180505137	fgg	fibrinogen gamma chain [Source:ZFIN;Acc:ZDB-GENE-040426-1998]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000040985	0	0.10008324554501684	itgbl1	integrin, beta-like 1 [Source:ZFIN;Acc:ZDB-GENE-050522-410]
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000045420	0	0.03248626807095284	epdr1	ependymin related 1 [Source:ZFIN;Acc:ZDB-GENE-040718-113]
