ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
2	"ENSDARG00000102889"	"sept15"	chr25	-	12901489	12901589	12901489	12901586	12902015	12902242
8	"ENSDARG00000036671"	"tnni4b.2"	chr25	+	20091277	20091326	20091281	20091326	20091020	20091070
17	"ENSDARG00000012603"	"eif3ja"	chr25	-	31904937	31905055	31904937	31905052	31906800	31906858
22	"ENSDARG00000101251"	"ldha"	chr25	+	25124677	25124812	25124683	25124812	25123384	25123484
33	"ENSDARG00000044525"	"pparda"	chr22	+	1007834	1007968	1007846	1007968	1006527	1006873
57	"ENSDARG00000101458"	"r3hdm1"	chr22	+	12366515	12367055	12366888	12367055	12361488	12361706
58	"ENSDARG00000101458"	"r3hdm1"	chr22	+	12366873	12367055	12366888	12367055	12361488	12361706
59	"ENSDARG00000101458"	"r3hdm1"	chr22	+	12366873	12367055	12366888	12367055	12366515	12366770
72	"ENSDARG00000090230"	"tmem108"	chr24	+	9846558	9846642	9846563	9846642	9746291	9746421
80	"ENSDARG00000026329"	"arhgap29a"	chr24	+	28528121	28528340	28528193	28528340	28526810	28526871
110	"ENSDARG00000098764"	"musk"	chr10	-	13101864	13102135	13101864	13102128	13123381	13123541
115	"ENSDARG00000018065"	"ntm"	chr10	+	30589074	30589172	30589086	30589172	30575937	30576089
116	"ENSDARG00000018065"	"ntm"	chr10	+	30589074	30589172	30589086	30589172	30579348	30579384
117	"ENSDARG00000010732"	"xrcc4"	chr10	+	43126936	43127082	43126939	43127082	43088269	43088448
123	"ENSDARG00000104450"	"CR855996.2"	chr10	+	17054870	17055224	17055093	17055224	17053322	17053568
124	"ENSDARG00000019233"	"nln"	chr10	+	15434232	15434599	15434435	15434599	15421086	15421222
127	"ENSDARG00000104314"	"nrg1"	chr10	-	7311973	7312112	7311973	7312109	7346653	7347311
128	"ENSDARG00000104314"	"nrg1"	chr10	-	7311973	7312112	7311973	7312109	7351817	7352110
129	"ENSDARG00000104314"	"nrg1"	chr10	-	7311973	7312112	7311973	7312109	7370953	7371075
132	"ENSDARG00000087779"	"pum3"	chr10	-	15325006	15325097	15325006	15325095	15325283	15325375
142	"ENSDARG00000076371"	NA	chr11	-	44191569	44192351	44191569	44191701	44194030	44194132
144	"ENSDARG00000089139"	"im:7145024"	chr25	+	9037164	9037304	9037266	9037304	9033775	9033830
145	"ENSDARG00000104682"	"tpm2"	chr10	+	6359610	6359743	6359673	6359743	6353955	6354031
146	"ENSDARG00000103619"	"si:ch73-238c9.1"	chr11	+	7277185	7277332	7277189	7277332	7277024	7277101
147	"ENSDARG00000078760"	"cacna2d3"	chr11	-	36721662	36721737	36721662	36721734	36727300	36727318
148	"ENSDARG00000078760"	"cacna2d3"	chr11	-	36721662	36721737	36721662	36721734	36727873	36728007
154	"ENSDARG00000013379"	"ppp6r3"	chr25	-	10622222	10622736	10622222	10622453	10630345	10630592
155	"ENSDARG00000044820"	"cstf1"	chr11	-	27826973	27827163	27826973	27827158	27827484	27827533
157	"ENSDARG00000075021"	"fam120a"	chr11	-	27708650	27708792	27708650	27708789	27713502	27713712
172	"ENSDARG00000003165"	"nr2f6b"	chr11	+	6117096	6117477	6117126	6117477	6116095	6116168
181	"ENSDARG00000044669"	"hp1bp3"	chr11	+	37616706	37616855	37616709	37616855	37616561	37616603
183	"ENSDARG00000100115"	"dnah1"	chr11	-	34697980	34698121	34697980	34698082	34699954	34700134
187	"ENSDARG00000089681"	"btf3l4"	chr11	+	13046793	13046860	13046796	13046860	13046648	13046677
188	"ENSDARG00000089681"	"btf3l4"	chr11	+	13046793	13046860	13046796	13046860	13046648	13046721
190	"ENSDARG00000070846"	"dazap1"	chr11	+	5905860	5906013	5905863	5906013	5889013	5889062
193	"ENSDARG00000057708"	"phtf1"	chr11	-	18818411	18818713	18818411	18818468	18818868	18819178
199	"ENSDARG00000078335"	"amot"	chr21	+	37513487	37515354	37514372	37515354	37512252	37512396
206	"ENSDARG00000025549"	"ndufaf1"	chr13	+	33248154	33248719	33248157	33248719	33247096	33247157
224	"ENSDARG00000018121"	"cenpj"	chr9	-	29577621	29578037	29577621	29578008	29579788	29579908
239	"ENSDARG00000101744"	"elavl1b"	chr11	-	14989373	14989554	14989373	14989551	15000946	15001002
241	"ENSDARG00000032458"	"mark2b"	chr7	+	24972537	24972576	24972540	24972576	24968660	24968687
242	"ENSDARG00000058088"	"aifm1"	chr5	-	22562027	22562194	22562027	22562188	22564520	22564580
251	"ENSDARG00000078142"	NA	chr12	-	902910	903040	902910	903021	903338	903500
259	"ENSDARG00000089974"	NA	chr25	+	28567380	28567892	28567397	28567892	28563464	28563687
260	"ENSDARG00000013312"	"cadps2"	chr25	+	28253550	28253625	28253553	28253625	28244193	28244341
261	"ENSDARG00000013312"	"cadps2"	chr25	+	28253550	28253625	28253553	28253625	28251867	28251882
263	"ENSDARG00000075798"	"usp38"	chr1	+	35481663	35481881	35481687	35481881	35480959	35481118
266	"ENSDARG00000098726"	"rptor"	chr6	-	17743350	17743457	17743350	17743451	17770071	17770119
268	"ENSDARG00000087599"	NA	chr14	+	36521437	36521832	36521440	36521832	36497249	36497678
272	"ENSDARG00000052063"	"col4a5"	chr7	+	51148258	51148339	51148262	51148339	51148134	51148165
286	"ENSDARG00000042534"	"rsrc2"	chr5	-	67283194	67283392	67283194	67283370	67291982	67292112
288	"ENSDARG00000018460"	"mbnl2"	chr1	+	2205666	2205761	2205708	2205761	2203815	2203851
291	"ENSDARG00000061398"	"epb41l4b"	chr16	+	26620108	26620164	26620111	26620164	26619551	26619596
297	"ENSDARG00000075870"	"triobpa"	chr1	+	54044043	54044100	54044067	54044100	54043210	54043285
309	"ENSDARG00000087893"	"rnf216"	chr3	-	40655686	40656053	40655686	40655848	40656141	40656218
324	"ENSDARG00000102258"	"si:dkey-1b17.1"	chr22	+	1632547	1632651	1632556	1632651	1630685	1630753
327	"ENSDARG00000062661"	"abca4b"	chr2	+	15261209	15261341	15261250	15261341	15260942	15261120
356	"ENSDARG00000038780"	"ubtfl"	chr2	-	32361285	32361402	32361285	32361399	32361580	32361774
361	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16818889	16819041	16818892	16819041	16814699	16814790
363	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16818889	16819041	16818892	16819041	16817271	16817382
