Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count
ENSDARG00000056210	1.1427709384482025e-10	2.3345739785648226e-6	-1.4376397523213478	8	24968098	24970790	-1	protein_coding	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]	69	189	78	121	180	146	154	343	135	753	376	289	75.56659174158206	146.9532198695421	75.02527278759388	159.74672740292647	159.32388277393838	136.0746470605243	149.99267409698948	362.35430314258707	171.93997910298407	526.6496284932012	349.4285820922029	356.44284052155666
ENSDARG00000000563	2.2250991027114208e-10	2.3345739785648226e-6	-0.6311503130394835	9	42732992	42873700	-1	protein_coding	ttn.1	titin, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-413]	17945	23857	24236	14118	18597	17081	26331	25983	18442	32058	30584	21802	19652.78969279261	18549.539504908284	23311.698862565707	18638.878491524923	16460.812488594067	15919.801687950794	25645.825335375517	27449.130782955803	23488.27477494246	22421.426016248402	28422.66956039344	26889.850550349405
ENSDARG00000076554	5.587280368192371e-10	3.908116374871623e-6	0.5943696171517806	22	603382	607812	-1	protein_coding	cdkn1a	cyclin-dependent kinase inhibitor 1A [Source:ZFIN;Acc:ZDB-GENE-070705-7]	414	810	501	395	656	639	531	368	414	624	444	284	453.3995504494923	629.799513726609	481.8930982895453	521.4872506128592	580.6470394427977	595.5595854224318	517.1825321136455	388.76496663694473	527.2826025824845	436.42678377125844	412.62311289611193	350.27600937066467
ENSDARG00000040705	2.4073372251316796e-8	1.262889108304079e-4	-0.3697932263897346	9	41273231	41351426	-1	protein_coding	glsb	glutaminase b [Source:ZFIN;Acc:ZDB-GENE-030616-550]	796	959	874	620	849	830	871	927	633	1431	1032	786	871.7537250188307	745.6515230417506	840.6678002097058	818.5369503290447	751.4776470837427	773.5750483577752	848.335189210895	979.3074023707819	806.2074575717697	1000.8441147062033	959.0699380828547	969.4258569202199
ENSDARG00000071113	4.03139551672262e-8	1.6108505362607723e-4	-0.41380905398443013	6	10170241	10233650	-1	protein_coding	xirp2a	xin actin binding repeat containing 2a [Source:ZFIN;Acc:ZDB-GENE-040108-7]	2214	4371	2662	1801	3630	3191	3388	4388	2885	6094	4243	3398	2424.701943708155	3398.5847833321086	2560.47789949455	2377.717818617112	3213.031635941091	2974.0698545899527	3299.838830133768	4635.599656529656	3674.4210349045115	4262.1551607404635	3943.1528558968535	4190.978450146192
ENSDARG00000012405	4.605939390757069e-8	1.6108505362607723e-4	0.26162030963483285	3	23221047	23239458	1	protein_coding	col1a1a	collagen, type I, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9102]	34584	61088	41938	30544	51662	49484	46420	35348	34106	54904	41924	32661	37875.28998247643	47497.76875868036	40338.58833546298	40324.8267916941	45727.72462148447	46119.98517221223	45212.07747780683	37342.56532794218	43438.40686878796	38399.96175669419	38961.28690328063	40282.97444385661
ENSDARG00000079361	5.462675564188384e-8	1.6375540576989863e-4	1.4327306429769453	1	8673061	8691969	-1	protein_coding	abcg2b	ATP-binding cassette, sub-family G (WHITE), member 2b [Source:ZFIN;Acc:ZDB-GENE-050517-36]	113	306	261	89	156	151	472	69	345	96	58	50	123.7539835767938	237.92426074116338	251.04610509694874	117.49965899884674	138.08069840407993	140.73473771328202	459.71780632324044	72.89343124442713	439.40216881873704	67.14258211865514	53.901217450393	61.668311508919835
ENSDARG00000075048	7.603987064603156e-8	1.9945258070454077e-4	-0.41870073991109574	14	34068075	34092744	1	protein_coding	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-101021-4]	750	1122	884	656	1015	864	941	1140	748	1599	1132	993	821.3759971911093	872.3889560509324	850.286424926064	866.0649022836344	898.409672308597	805.2636647965275	916.5136774367993	1204.3262553427091	952.6748471780154	1118.3436334138498	1052.0030716180152	1224.732666567148
ENSDARG00000088514	2.1003033870494602e-7	4.89697403042732e-4	0.6004544988332913	24	26277390	26283359	-1	protein_coding	and1	actinodin1 [Source:ZFIN;Acc:ZDB-GENE-030131-9105]	3045	6133	3878	3689	6118	5478	4935	3125	3023	4733	3518	2891	3334.7865485959037	4768.593108253448	3730.102665003706	4870.294854457816	5415.24174894975	5105.595319161317	4806.583419926254	3301.332936794707	3850.181902432006	3310.2691788291127	3269.3876377669408	3565.6617714457448
ENSDARG00000074749	2.739939616688025e-7	5.749489291658152e-4	-0.6163423318542683	9	40685613	40765868	-1	protein_coding	abca12	ATP-binding cassette, sub-family A (ABC1), member 12 [Source:ZFIN;Acc:ZDB-GENE-030131-9790]	1089	1303	1278	984	1125	1088	1208	1452	1449	2234	1775	1160	1192.6379479214906	1013.1219338095945	1229.2602387505767	1299.0973534254515	995.7742673371149	1014.0357260400716	1176.565911098463	1533.9313357522929	1845.4891090386957	1562.4638380528709	1649.563120249096	1430.7048270069401
