GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000018105	0	0.07472654754312627	casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000029907	0	0.44200937664597406	trim54	tripartite motif containing 54 [Source:ZFIN;Acc:ZDB-GENE-041014-342]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000032630	0	0.07130457449828835	neb	nebulin [Source:ZFIN;Acc:ZDB-GENE-041111-216]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000037266	0	0.07591685366315828	myoz2b	myozenin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1853]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000045228	0	0.1130498276639185	stub1	STIP1 homology and U-Box containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2963]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000056322	0	0.24366524958975566	ldb3a	LIM domain binding 3a [Source:ZFIN;Acc:ZDB-GENE-040121-6]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000056964	0	0.052008696595326837	ilk	integrin-linked kinase [Source:ZFIN;Acc:ZDB-GENE-040426-1435]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000057317	0	0.15833967001270982	nexn	nexilin (F actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-041114-92]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000067701	0	0.5985197879719502	myoz3a	myozenin 3a [Source:ZFIN;Acc:ZDB-GENE-111012-4]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000071331	0	0.061977315239458854	ryr3	ryanodine receptor 3 [Source:ZFIN;Acc:ZDB-GENE-041001-165]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000071498	0	0.06977080184734577	fhl1a	four and a half LIM domains 1a [Source:ZFIN;Acc:ZDB-GENE-040206-1]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000098856	0	0.1379255413014482	ENSDARG00000098856	ryanodine receptor 2a (cardiac) [Source:NCBI gene;Acc:100126126]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000099032	0	0.8554294655110082	FO818704.1	myozenin-2-like [Source:NCBI gene;Acc:108190739]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000101777	0	0.10139264665350556	pdlim5a	PDZ and LIM domain 5a [Source:NCBI gene;Acc:436927]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000001431	1	0.241742803497745	actn3b	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000012311	1	0.6593180624281979	myoz2a	myozenin 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1880]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000014248	1	0.5468833894800135	pdlim3b	PDZ and LIM domain 3b [Source:ZFIN;Acc:ZDB-GENE-060130-104]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000019117	1	0.20693018002460142	parvb	parvin, beta [Source:ZFIN;Acc:ZDB-GENE-030131-4411]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000058656	1	1.020656473658729	desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000071445	1	0.24935697567322967	myoz1b	myozenin 1b [Source:ZFIN;Acc:ZDB-GENE-040718-146]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000078696	1	0.6293057036358438	synpo2lb	synaptopodin 2-like b [Source:ZFIN;Acc:ZDB-GENE-090828-5]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000099974	1	0.39363451647556463	ldb3b	LIM domain binding 3b [Source:ZFIN;Acc:ZDB-GENE-030131-6032]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000101706	1	0.6648049863086765	csrp3	cysteine and glycine-rich protein 3 (cardiac LIM protein) [Source:ZFIN;Acc:ZDB-GENE-041010-119]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000104713	1	0.4015112680679639	zgc:165653	zgc:165653 [Source:ZFIN;Acc:ZDB-GENE-070620-24]
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000114870	1	0.2400587562971716	CABZ01078594.1	NA
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000000103	0	0.005868723730001169	myh10	myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000000474	0	0.28417697109853124	tnni1a	troponin I type 1a (skeletal, slow) [Source:ZFIN;Acc:ZDB-GENE-030616-266]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000001014	0	0.010458274514433914	myh9b	myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000003872	0	0.03125604717908377	ccdc102a	coiled-coil domain containing 102A [Source:NCBI gene;Acc:325319]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000004658	0	0.20450585265748233	zgc:101810	zgc:101810 [Source:ZFIN;Acc:ZDB-GENE-041121-7]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000004904	0	0.09930329133482178	gys2	glycogen synthase 2 [Source:ZFIN;Acc:ZDB-GENE-030826-31]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000006385	0	0.041158315279444885	triobpb	TRIO and F-actin binding protein b [Source:ZFIN;Acc:ZDB-GENE-061215-80]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000008170	0	0.220398896383178	dbnla	drebrin-like a [Source:ZFIN;Acc:ZDB-GENE-040704-42]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000008383	0	0.04593247660281127	arpc1a	actin related protein 2/3 complex, subunit 1A [Source:ZFIN;Acc:ZDB-GENE-040116-1]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000010186	0	0.01738538747023915	myo3a	myosin IIIA [Source:ZFIN;Acc:ZDB-GENE-041026-4]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000010255	0	0.17973981430348812	bin2b	bridging integrator 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5598]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000011777	0	0.07666654206548243	cttn	cortactin [Source:ZFIN;Acc:ZDB-GENE-040715-3]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000012944	0	0.14455438149436808	myhz2	myosin, heavy polypeptide 2, fast muscle specific [Source:ZFIN;Acc:ZDB-GENE-020604-1]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000013110	0	0.04843951425379724	dmtn	dematin actin binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-9438]
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000014113	0	0.007249280132658961	wasla	WASP like actin nucleation promoting factor a [Source:ZFIN;Acc:ZDB-GENE-070209-220]
