ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
24954	"ENSDARG00000101098"	NA	chrKN150051.1	-	991	1108	85	273	1408	1587
24955	"ENSDARG00000101098"	NA	chrKN150051.1	-	991	1123	85	273	1408	1587
24956	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	5155	5246	4849	4952	5379	6296
24957	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	4948	4045	4221	5168	5326
24958	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	5326	4045	4221	5575	5745
24959	"ENSDARG00000100453"	NA	chrKN150614.1	+	2617	2723	1817	1935	2960	3182
24960	"ENSDARG00000098584"	"CABZ01102240.1"	chrKN149883.1	-	2400	2479	2234	2310	5093	5187
24961	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	6274	6308	5967	6102	7075	7189
24962	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	16555	16616	12096	12229	16717	16784
24963	"ENSDARG00000103973"	"CABZ01051602.1"	chrKN150654.1	-	12679	12813	12091	12511	14417	14617
24964	"ENSDARG00000109774"	NA	chrKZ116043.1	+	3729	3852	2645	2849	4109	8584
24965	"ENSDARG00000104516"	"polr3d"	chrKN150353.1	-	5978	6128	390	4844	7674	7925
24966	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12455	12461	7695	12146	12649	12759
24967	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17488	17550	15386	16064	17693	17901
24968	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	20709	20982	20269	20318	21116	21416
24969	"ENSDARG00000100052"	"cckb"	chrKN150698.1	+	4003	4051	2792	3018	8018	8412
24970	"ENSDARG00000117717"	"CABZ01079276.1"	chrKN150127.1	-	9361	9634	6610	6633	12925	13009
24971	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	17590	18648	31484	31526
24972	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29178	17590	18648	31620	31641
24973	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29150	29178	28932	29058	31620	31641
24974	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31526	17590	18648	31620	31641
24975	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31526	28932	29058	31620	31641
24976	"ENSDARG00000110192"	"CABZ01081535.1"	chrKN149800.1	-	16411	16563	2018	2981	18036	18143
24977	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21770	20488	21274	28357	28501
24978	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21840	20488	21274	28357	28501
24979	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28947	29071	28357	28501	31494	31870
24980	"ENSDARG00000103244"	"CABZ01081752.3"	chrKN150703.1	-	46975	47055	46581	46711	47280	47709
24981	"ENSDARG00000100562"	"CABZ01080702.1"	chrKN149710.1	+	24138	24192	22213	22436	26008	29401
24982	"ENSDARG00000100480"	"si:ch73-364h19.2"	chrKN149884.1	-	19171	19571	16627	16726	20545	20628
24983	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	4742	4796	3050	3245	5041	5091
24984	"ENSDARG00000104343"	"ppic"	chrKN150596.1	+	20938	21029	19939	20053	22195	22380
24985	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	5108	5348	12718	12826
24986	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	5108	5348	13226	13340
