GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000003991	0	0.10236174676856123	fhl2b	four and a half LIM domains 2b [Source:ZFIN;Acc:ZDB-GENE-041010-121]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000006603	0	0.006931959978781844	csrp1a	cysteine and glycine-rich protein 1a [Source:ZFIN;Acc:ZDB-GENE-030909-4]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000007219	0	0.01428424056950862	actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000012311	0	0.5084661348909765	myoz2a	myozenin 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1880]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000013755	0	0.057897984231412375	actn3a	actinin alpha 3a [Source:ZFIN;Acc:ZDB-GENE-000329-9]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000014248	0	0.6013119827406319	pdlim3b	PDZ and LIM domain 3b [Source:ZFIN;Acc:ZDB-GENE-060130-104]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000018105	0	0.1167038907297266	casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000019117	0	0.15806144726194474	parvb	parvin, beta [Source:ZFIN;Acc:ZDB-GENE-030131-4411]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000026985	0	0.09137601720912616	lims1	LIM and senescent cell antigen-like domains 1 [Source:ZFIN;Acc:ZDB-GENE-050522-236]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000029907	0	0.8645677992328782	trim54	tripartite motif containing 54 [Source:ZFIN;Acc:ZDB-GENE-041014-342]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000032630	0	0.14482431374750435	neb	nebulin [Source:ZFIN;Acc:ZDB-GENE-041111-216]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000034643	0	0.0987143856108079	fhl3a	four and a half LIM domains 3a [Source:ZFIN;Acc:ZDB-GENE-030131-4741]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000040917	0	0.13777555597261085	cbfb	core-binding factor subunit beta [Source:ZFIN;Acc:ZDB-GENE-980526-440]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000042018	0	0.04611767801696063	fhl2a	four and a half LIM domains 2a [Source:ZFIN;Acc:ZDB-GENE-040808-49]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000045228	0	0.010926543864972287	stub1	STIP1 homology and U-Box containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2963]
GO:0030018	Z disc	32	4	0.19	3.1e-05	ENSDARG00000056322	0	0.26806959675230824	ldb3a	LIM domain binding 3a [Source:ZFIN;Acc:ZDB-GENE-040121-6]
