GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000010519	0	-0.2526653306782685	per3	period circadian clock 3 [Source:ZFIN;Acc:ZDB-GENE-000804-1]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000011890	0	-0.4014923657334238	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000019498	0	-0.39931369180617343	cry5	cryptochrome circadian regulator 5 [Source:ZFIN;Acc:ZDB-GENE-010426-8]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000021882	0	-0.056144163358651106	fbxl3b	F-box and leucine-rich repeat protein 3b [Source:ZFIN;Acc:ZDB-GENE-041010-178]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000037738	0	-0.02593855235686541	fbxl3l	F-box and leucine-rich repeat protein 3, like [Source:ZFIN;Acc:ZDB-GENE-130530-598]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000045768	0	-0.2818731298380163	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000102403	0	-0.03818816172658232	cry2	cryptochrome circadian regulator 2 [Source:ZFIN;Acc:ZDB-GENE-010426-6]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000103505	0	-0.1553222646828071	fbxl3a	F-box and leucine-rich repeat protein 3a [Source:ZFIN;Acc:ZDB-GENE-030912-5]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000034503	1	-0.8529782363733449	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000069074	1	-0.3729450048193653	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]
GO:0043153	entrainment of circadian clock by photop...	11	3	0.04	7.1e-06	ENSDARG00000091131	1	-0.7553514549889214	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000003631	0	-0.05384204853131404	clockb	clock circadian regulator b [Source:ZFIN;Acc:ZDB-GENE-030408-2]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000003820	0	-0.2909425866497608	nr1d2a	nuclear receptor subfamily 1, group D, member 2a [Source:ZFIN;Acc:ZDB-GENE-040504-1]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000004060	0	-0.013915424523031095	bhlhe40	basic helix-loop-helix family, member e40 [Source:ZFIN;Acc:ZDB-GENE-030131-3133]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000010519	0	-0.2526653306782685	per3	period circadian clock 3 [Source:ZFIN;Acc:ZDB-GENE-000804-1]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000011703	0	-0.16563767709584212	clocka	clock circadian regulator a [Source:ZFIN;Acc:ZDB-GENE-990630-14]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000011890	0	-0.4014923657334238	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000016536	0	-0.7317161209125902	npas2	neuronal PAS domain protein 2 [Source:ZFIN;Acc:ZDB-GENE-030408-3]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000019498	0	-0.39931369180617343	cry5	cryptochrome circadian regulator 5 [Source:ZFIN;Acc:ZDB-GENE-010426-8]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000029544	0	-0.2026616433788091	id2b	inhibitor of DNA binding 2b [Source:ZFIN;Acc:ZDB-GENE-030131-15]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000040764	0	-0.0593505196842604	id1	inhibitor of DNA binding 1, HLH protein [Source:ZFIN;Acc:ZDB-GENE-990415-96]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000045768	0	-0.2818731298380163	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000054823	0	-0.10544363950405855	id3	inhibitor of DNA binding 3 [Source:ZFIN;Acc:ZDB-GENE-020515-1]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000055283	0	-0.09144451115713143	id2a	inhibitor of DNA binding 2a [Source:ZFIN;Acc:ZDB-GENE-020910-1]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000058094	0	-0.08745247437174543	ciarta	circadian associated repressor of transcription a [Source:ZFIN;Acc:ZDB-GENE-030131-7016]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000078525	0	-0.5288439831405232	noctb	nocturnin b [Source:ZFIN;Acc:ZDB-GENE-110930-4]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000094965	0	-0.30649445538892806	nfil3-5	nuclear factor, interleukin 3 regulated, member 5 [Source:ZFIN;Acc:ZDB-GENE-030131-7677]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000102403	0	-0.03818816172658232	cry2	cryptochrome circadian regulator 2 [Source:ZFIN;Acc:ZDB-GENE-010426-6]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000034503	1	-0.8529782363733449	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000069074	1	-0.3729450048193653	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]
GO:0032922	circadian regulation of gene expression	20	3	0.07	4.8e-05	ENSDARG00000091131	1	-0.7553514549889214	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000002952	0	-0.02074892770022497	smo	smoothened, frizzled class receptor [Source:ZFIN;Acc:ZDB-GENE-980526-89]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000008322	0	-0.08938368983980453	ambra1a	autophagy/beclin-1 regulator 1a [Source:ZFIN;Acc:ZDB-GENE-111104-2]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000011490	0	-0.04608039233156175	scube3	signal peptide, CUB domain, EGF-like 3 [Source:ZFIN;Acc:ZDB-GENE-060717-1]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000013317	0	-0.04150293000303151	pygmb	phosphorylase, glycogen, muscle b [Source:ZFIN;Acc:ZDB-GENE-040426-1206]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000030095	0	-0.244360468729013	ccdc78	coiled-coil domain containing 78 [Source:ZFIN;Acc:ZDB-GENE-060301-1]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000037560	0	-0.04038714519263719	mtm1	myotubularin 1 [Source:ZFIN;Acc:ZDB-GENE-051113-128]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000052150	0	-0.01842588473629403	pbx4	pre-B-cell leukemia transcription factor 4 [Source:ZFIN;Acc:ZDB-GENE-000201-18]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000053505	0	-0.013981899816000556	fbxo22	F-box protein 22 [Source:ZFIN;Acc:ZDB-GENE-040724-68]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000060758	0	-0.7231585812536061	nphs1	NPHS1 adhesion molecule, nephrin [Source:ZFIN;Acc:ZDB-GENE-051102-1]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000061752	0	-0.14047596707257365	ripor2	RHO family interacting cell polarization regulator 2 [Source:NCBI gene;Acc:563800]
GO:0048741	skeletal muscle fiber development	14	2	0.05	0.0011	ENSDARG00000074894	0	-0.04609522654486027	myorg	myogenesis regulating glycosidase (putative) [Source:ZFIN;Acc:ZDB-GENE-091113-62]
