Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_4 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_wt_6 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_1 normalised count	% variance explained
ENSDARG00000041433	0.5771917833912454	0.9997058626494543	0.4678536700018396	20	46039591	46043405	1	protein_coding	si:dkey-7c18.24	si:dkey-7c18.24 [Source:ZFIN;Acc:ZDB-GENE-041014-63]	584	764	399	171	743	783	164	199	44	276	170	1144	650.7711364937903	614.8400719050446	451.13056065416214	213.95049018202758	977.4373206612815	586.3998224465402	119.8091667049091	197.2746210988598	31.247027666718783	282.5326941545485	230.6586175633774	1190.1645950609593	1.5080974163456642
ENSDARG00000055120	0.31142010355330096	0.9997058626494543	0.6445591964018231	17	32622931	32631514	1	protein_coding	ctsba	cathepsin Ba [Source:ZFIN;Acc:ZDB-GENE-040426-2650]	336	1477	1198	236	962	578	481	407	1651	1282	306	1424	374.4162703114958	1188.6371547169513	1354.5223349967073	295.2766999003422	1265.537957572211	432.87241043946386	351.3915194211054	403.47120998611024	1172.4736972216524	1312.3438909642434	415.1855116140793	1481.4636218241312	1.1104149828101926
ENSDARG00000100131	0.6861562641730392	0.9997058626494543	0.29467711584442374	7	53152108	53210386	1	protein_coding	cdh29	cadherin 29 [Source:ZFIN;Acc:ZDB-GENE-141212-240]	332	363	124	93	173	818	351	291	72	300	76	561	369.95893376016846	292.1295106040984	140.20097624339874	116.35903852005009	227.58634787941008	612.61181961848	256.4208384964823	288.4769584912975	51.131499818267095	307.1007545158136	103.11797020480401	583.6384071933551	1.057969961603054
ENSDARG00000020711	NA	NA	-0.18771733473706886	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	11	4	351	361	9	7	14	5	491	395	480	303	12.25767551615016	3.219057968089239	396.85921501155616	451.67325705094714	11.839752201819023	5.242399434387971	10.227611791882484	4.956648771328136	348.68842237179365	404.3493267791546	651.2713907671832	315.2271611044324	1.0537216025344087
ENSDARG00000094104	0.6515911910322176	0.9997058626494543	0.674055897133716	20	45989179	45996430	1	lincRNA	AL929237.1	si:ch211-213i16.3 [Source:NCBI gene;Acc:100536429]	79	55	7	1	96	112	6	2	4	0	5	128	88.03239688871479	44.26204706122703	7.914571239546704	1.2511724572048397	126.29069015273623	83.87839095020753	4.3832621965210645	1.9826595085312544	2.8406388787926167	0	6.7840769871581585	133.16526937745	1.018343819016055
ENSDARG00000097973	0.8251633066260615	0.9997058626494543	-0.22713155744425162	15	46313082	46315233	1	protein_coding	si:ch1073-190k2.1	si:ch1073-190k2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-449]	379	312	359	305	173	593	594	196	305	201	175	0	422.3326382382646	251.0865215109606	405.9044392853238	381.6075994474761	227.58634787941008	444.10612351315234	433.94295745558543	194.30063183606293	216.59871450793702	205.7575055255951	237.44269455053555	0	0.9680141660154595
ENSDARG00000091847	0.9462377395178341	0.9997058626494543	-0.06943312073596246	15	42723126	42736433	-1	protein_coding	si:ch211-181d7.1	si:ch211-181d7.1 [Source:ZFIN;Acc:ZDB-GENE-121214-14]	279	159	310	207	124	423	494	180	167	169	144	0	310.8992244550813	127.95755423154723	350.5024406084969	258.99269864140183	163.12547478061765	316.7907086780159	360.8885875135677	178.43935576781288	118.59667318959174	173.000091710575	195.38141723015497	0	0.9525390430893952
ENSDARG00000068621	0.9549367206670951	0.9997058626494543	-0.05819352630560776	15	42741272	42760110	-1	protein_coding	si:ch211-181d7.3	si:ch211-181d7.3 [Source:ZFIN;Acc:ZDB-GENE-121214-30]	340	178	398	254	149	468	501	163	214	194	132	0	378.8736068628231	143.24807957997112	449.99990761994115	317.79780413002925	196.01367534122605	350.49184789908145	366.0023934095089	161.58674994529724	151.97418001540498	198.59182125355946	179.09963246097539	0	0.9242698263459556
ENSDARG00000099099	0.9098529036948186	0.9997058626494543	-0.07131542446667244	4	76838989	76891899	1	lincRNA	CABZ01015815.1	NA	153	199	208	131	29	224	212	178	178	31	153	46	170.4931230882704	160.14813391243962	235.1758311179592	163.903591893834	38.150312650305736	167.75678190041506	154.87526427707763	176.45669625928164	126.40843010627144	31.733744633300738	207.59275580703965	47.85626868252109	0.9106672032839205
ENSDARG00000031776	0.11383269290985223	0.9128452731332548	-0.8616468477907931	3	32099507	32100999	1	protein_coding	fthl27	ferritin, heavy polypeptide-like 27 [Source:ZFIN;Acc:ZDB-GENE-040718-72]	1398	1837	487	1133	370	1923	3503	1393	1794	2078	1741	481	1557.839124688902	1478.3523718449828	550.6280276656064	1417.5783940130834	486.74536829700423	1440.1620160468667	2559.0945790688816	1380.9223476920185	1274.0265371384885	2127.1845596128687	2362.2156069284706	500.4101138324488	0.892010744584619
