GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0055006	cardiac cell development	18	3	0.27	0.0023	ENSDARG00000009418,ENSDARG00000015681,ENSDARG00000019096,ENSDARG00000023963,ENSDARG00000029639,ENSDARG00000029764,ENSDARG00000032630,ENSDARG00000056964,ENSDARG00000060002,ENSDARG00000061904,ENSDARG00000063682,ENSDARG00000079637,ENSDARG00000091253,ENSDARG00000098237,ENSDARG00000100729,ENSDARG00000102490,ENSDARG00000102889,ENSDARG00000104314
GO:0097435	supramolecular fiber organization	270	11	4.08	0.0026	ENSDARG00000000103,ENSDARG00000000563,ENSDARG00000002571,ENSDARG00000002587,ENSDARG00000002988,ENSDARG00000003022,ENSDARG00000003046,ENSDARG00000003259,ENSDARG00000003952,ENSDARG00000004218,ENSDARG00000004658,ENSDARG00000005162,ENSDARG00000005374,ENSDARG00000006283,ENSDARG00000006603,ENSDARG00000006672,ENSDARG00000006757,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000009133,ENSDARG00000009280,ENSDARG00000009336,ENSDARG00000009727,ENSDARG00000010155,ENSDARG00000011459,ENSDARG00000011777,ENSDARG00000011821,ENSDARG00000011961,ENSDARG00000012422,ENSDARG00000012593,ENSDARG00000012682,ENSDARG00000012729,ENSDARG00000013110,ENSDARG00000013422,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014651,ENSDARG00000014875,ENSDARG00000015404,ENSDARG00000015610,ENSDARG00000015937,ENSDARG00000016016,ENSDARG00000016868,ENSDARG00000017036,ENSDARG00000017105,ENSDARG00000017785,ENSDARG00000018206,ENSDARG00000018820,ENSDARG00000019062,ENSDARG00000019096,ENSDARG00000019185,ENSDARG00000019208,ENSDARG00000019231,ENSDARG00000019743,ENSDARG00000019949,ENSDARG00000020395,ENSDARG00000020610,ENSDARG00000020795,ENSDARG00000020811,ENSDARG00000020890,ENSDARG00000020929,ENSDARG00000021124,ENSDARG00000021193,ENSDARG00000021309,ENSDARG00000021987,ENSDARG00000022101,ENSDARG00000023318,ENSDARG00000023963,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000025826,ENSDARG00000026829,ENSDARG00000028327,ENSDARG00000029069,ENSDARG00000029133,ENSDARG00000029305,ENSDARG00000029764,ENSDARG00000030106,ENSDARG00000030270,ENSDARG00000030490,ENSDARG00000030980,ENSDARG00000031119,ENSDARG00000031496,ENSDARG00000031756,ENSDARG00000032049,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000032865,ENSDARG00000033655,ENSDARG00000034240,ENSDARG00000035650,ENSDARG00000035682,ENSDARG00000035868,ENSDARG00000035907,ENSDARG00000036179,ENSDARG00000036375,ENSDARG00000036764,ENSDARG00000037116,ENSDARG00000037560,ENSDARG00000037655,ENSDARG00000037747,ENSDARG00000037954,ENSDARG00000038465,ENSDARG00000039272,ENSDARG00000039309,ENSDARG00000040237,ENSDARG00000040380,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000040917,ENSDARG00000041085,ENSDARG00000041864,ENSDARG00000041974,ENSDARG00000042128,ENSDARG00000042141,ENSDARG00000042946,ENSDARG00000043361,ENSDARG00000043667,ENSDARG00000043932,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000044968,ENSDARG00000045399,ENSDARG00000045417,ENSDARG00000045822,ENSDARG00000051768,ENSDARG00000052438,ENSDARG00000052482,ENSDARG00000052783,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000054389,ENSDARG00000054456,ENSDARG00000054911,ENSDARG00000055075,ENSDARG00000056090,ENSDARG00000056111,ENSDARG00000056178,ENSDARG00000056250,ENSDARG00000056318,ENSDARG00000056525,ENSDARG00000056664,ENSDARG00000056780,ENSDARG00000056794,ENSDARG00000057882,ENSDARG00000058207,ENSDARG00000058348,ENSDARG00000058656,ENSDARG00000058868,ENSDARG00000058993,ENSDARG00000059244,ENSDARG00000059473,ENSDARG00000059596,ENSDARG00000059601,ENSDARG00000059965,ENSDARG00000060298,ENSDARG00000060349,ENSDARG00000060434,ENSDARG00000060745,ENSDARG00000060805,ENSDARG00000061304,ENSDARG00000061579,ENSDARG00000061603,ENSDARG00000061635,ENSDARG00000061778,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000061968,ENSDARG00000062003,ENSDARG00000062173,ENSDARG00000062390,ENSDARG00000062799,ENSDARG00000062972,ENSDARG00000063580,ENSDARG00000063682,ENSDARG00000068457,ENSDARG00000069093,ENSDARG00000069113,ENSDARG00000069600,ENSDARG00000070055,ENSDARG00000070076,ENSDARG00000070537,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071709,ENSDARG00000073761,ENSDARG00000073765,ENSDARG00000074244,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074581,ENSDARG00000074849,ENSDARG00000075369,ENSDARG00000075540,ENSDARG00000075608,ENSDARG00000075989,ENSDARG00000076060,ENSDARG00000076414,ENSDARG00000076416,ENSDARG00000076566,ENSDARG00000077442,ENSDARG00000077722,ENSDARG00000077788,ENSDARG00000078251,ENSDARG00000078318,ENSDARG00000078440,ENSDARG00000078474,ENSDARG00000078582,ENSDARG00000078722,ENSDARG00000078803,ENSDARG00000079281,ENSDARG00000079468,ENSDARG00000079869,ENSDARG00000079900,ENSDARG00000086300,ENSDARG00000086391,ENSDARG00000087402,ENSDARG00000087954,ENSDARG00000088091,ENSDARG00000088440,ENSDARG00000089340,ENSDARG00000090036,ENSDARG00000090062,ENSDARG00000090369,ENSDARG00000090628,ENSDARG00000091090,ENSDARG00000091253,ENSDARG00000091602,ENSDARG00000092970,ENSDARG00000094181,ENSDARG00000094792,ENSDARG00000097683,ENSDARG00000098445,ENSDARG00000098753,ENSDARG00000098955,ENSDARG00000099235,ENSDARG00000099481,ENSDARG00000099672,ENSDARG00000099720,ENSDARG00000099871,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000101441,ENSDARG00000101457,ENSDARG00000101858,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102128,ENSDARG00000102332,ENSDARG00000102415,ENSDARG00000102441,ENSDARG00000102490,ENSDARG00000102674,ENSDARG00000102889,ENSDARG00000103467,ENSDARG00000103962,ENSDARG00000104089,ENSDARG00000104181,ENSDARG00000104663,ENSDARG00000104682,ENSDARG00000105209,ENSDARG00000106873,ENSDARG00000110291,ENSDARG00000111106,ENSDARG00000112015,ENSDARG00000114329,ENSDARG00000114796,ENSDARG00000115712
GO:0030036	actin cytoskeleton organization	329	12	4.98	0.0041	ENSDARG00000000103,ENSDARG00000000563,ENSDARG00000002255,ENSDARG00000002571,ENSDARG00000002587,ENSDARG00000002988,ENSDARG00000003022,ENSDARG00000003046,ENSDARG00000003952,ENSDARG00000004218,ENSDARG00000004372,ENSDARG00000004658,ENSDARG00000004877,ENSDARG00000005104,ENSDARG00000005162,ENSDARG00000005679,ENSDARG00000006283,ENSDARG00000006603,ENSDARG00000006672,ENSDARG00000006757,ENSDARG00000007219,ENSDARG00000007278,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000009133,ENSDARG00000009280,ENSDARG00000009336,ENSDARG00000009689,ENSDARG00000009693,ENSDARG00000009727,ENSDARG00000010155,ENSDARG00000010583,ENSDARG00000011023,ENSDARG00000011459,ENSDARG00000011777,ENSDARG00000011961,ENSDARG00000012586,ENSDARG00000012682,ENSDARG00000012729,ENSDARG00000013110,ENSDARG00000013422,ENSDARG00000013755,ENSDARG00000014003,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014651,ENSDARG00000014875,ENSDARG00000015059,ENSDARG00000015937,ENSDARG00000016016,ENSDARG00000016464,ENSDARG00000016513,ENSDARG00000016868,ENSDARG00000017036,ENSDARG00000017105,ENSDARG00000017500,ENSDARG00000017785,ENSDARG00000018206,ENSDARG00000018566,ENSDARG00000018820,ENSDARG00000019062,ENSDARG00000019096,ENSDARG00000019117,ENSDARG00000019231,ENSDARG00000019304,ENSDARG00000019383,ENSDARG00000019845,ENSDARG00000019917,ENSDARG00000020134,ENSDARG00000020395,ENSDARG00000020488,ENSDARG00000020610,ENSDARG00000020795,ENSDARG00000020890,ENSDARG00000020929,ENSDARG00000021124,ENSDARG00000021193,ENSDARG00000021309,ENSDARG00000021987,ENSDARG00000022101,ENSDARG00000023318,ENSDARG00000023916,ENSDARG00000023963,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000025826,ENSDARG00000025953,ENSDARG00000026726,ENSDARG00000026829,ENSDARG00000027172,ENSDARG00000027600,ENSDARG00000028327,ENSDARG00000028393,ENSDARG00000029019,ENSDARG00000029069,ENSDARG00000029305,ENSDARG00000029764,ENSDARG00000029856,ENSDARG00000030270,ENSDARG00000030490,ENSDARG00000030722,ENSDARG00000030980,ENSDARG00000031119,ENSDARG00000031496,ENSDARG00000031756,ENSDARG00000032049,ENSDARG00000032221,ENSDARG00000032324,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000032865,ENSDARG00000033466,ENSDARG00000034240,ENSDARG00000034643,ENSDARG00000035360,ENSDARG00000035598,ENSDARG00000035629,ENSDARG00000035650,ENSDARG00000035868,ENSDARG00000035907,ENSDARG00000036179,ENSDARG00000036375,ENSDARG00000036764,ENSDARG00000037116,ENSDARG00000037655,ENSDARG00000037747,ENSDARG00000037954,ENSDARG00000039272,ENSDARG00000039577,ENSDARG00000040237,ENSDARG00000040380,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000040917,ENSDARG00000041085,ENSDARG00000041864,ENSDARG00000041974,ENSDARG00000042128,ENSDARG00000042141,ENSDARG00000043361,ENSDARG00000043643,ENSDARG00000043667,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000044968,ENSDARG00000045399,ENSDARG00000045417,ENSDARG00000045822,ENSDARG00000051768,ENSDARG00000052247,ENSDARG00000052438,ENSDARG00000052482,ENSDARG00000052783,ENSDARG00000052923,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000054389,ENSDARG00000054911,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000055400,ENSDARG00000056090,ENSDARG00000056111,ENSDARG00000056250,ENSDARG00000056322,ENSDARG00000056525,ENSDARG00000056664,ENSDARG00000056780,ENSDARG00000057882,ENSDARG00000058207,ENSDARG00000058243,ENSDARG00000058348,ENSDARG00000058656,ENSDARG00000058993,ENSDARG00000059244,ENSDARG00000059442,ENSDARG00000059473,ENSDARG00000060010,ENSDARG00000060349,ENSDARG00000060745,ENSDARG00000060917,ENSDARG00000061304,ENSDARG00000061398,ENSDARG00000061579,ENSDARG00000061603,ENSDARG00000061635,ENSDARG00000061778,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000061968,ENSDARG00000062003,ENSDARG00000062263,ENSDARG00000062390,ENSDARG00000062799,ENSDARG00000062948,ENSDARG00000062972,ENSDARG00000063580,ENSDARG00000063604,ENSDARG00000063682,ENSDARG00000067711,ENSDARG00000068457,ENSDARG00000068973,ENSDARG00000069113,ENSDARG00000069600,ENSDARG00000070055,ENSDARG00000070076,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071709,ENSDARG00000073761,ENSDARG00000073765,ENSDARG00000074201,ENSDARG00000074244,ENSDARG00000074275,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074581,ENSDARG00000074849,ENSDARG00000075041,ENSDARG00000075369,ENSDARG00000075540,ENSDARG00000075608,ENSDARG00000075989,ENSDARG00000076060,ENSDARG00000076357,ENSDARG00000076364,ENSDARG00000076414,ENSDARG00000076416,ENSDARG00000076566,ENSDARG00000077656,ENSDARG00000077709,ENSDARG00000077722,ENSDARG00000077788,ENSDARG00000078014,ENSDARG00000078251,ENSDARG00000078318,ENSDARG00000078440,ENSDARG00000078474,ENSDARG00000078582,ENSDARG00000078803,ENSDARG00000079281,ENSDARG00000079317,ENSDARG00000079440,ENSDARG00000079468,ENSDARG00000079542,ENSDARG00000079869,ENSDARG00000079895,ENSDARG00000079900,ENSDARG00000086300,ENSDARG00000086391,ENSDARG00000087402,ENSDARG00000087954,ENSDARG00000088091,ENSDARG00000088130,ENSDARG00000088168,ENSDARG00000088440,ENSDARG00000089340,ENSDARG00000089790,ENSDARG00000090036,ENSDARG00000090062,ENSDARG00000090369,ENSDARG00000090496,ENSDARG00000090628,ENSDARG00000090785,ENSDARG00000091090,ENSDARG00000091253,ENSDARG00000092281,ENSDARG00000092970,ENSDARG00000093091,ENSDARG00000093374,ENSDARG00000094181,ENSDARG00000094792,ENSDARG00000095022,ENSDARG00000096433,ENSDARG00000097683,ENSDARG00000098374,ENSDARG00000098481,ENSDARG00000098650,ENSDARG00000098753,ENSDARG00000098954,ENSDARG00000098955,ENSDARG00000099283,ENSDARG00000099481,ENSDARG00000099510,ENSDARG00000099672,ENSDARG00000099720,ENSDARG00000099850,ENSDARG00000099871,ENSDARG00000099974,ENSDARG00000100095,ENSDARG00000100222,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000100788,ENSDARG00000101441,ENSDARG00000101457,ENSDARG00000101777,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102128,ENSDARG00000102398,ENSDARG00000102415,ENSDARG00000102424,ENSDARG00000102441,ENSDARG00000102490,ENSDARG00000102889,ENSDARG00000103333,ENSDARG00000103467,ENSDARG00000103959,ENSDARG00000103962,ENSDARG00000104181,ENSDARG00000104263,ENSDARG00000104283,ENSDARG00000104315,ENSDARG00000104549,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000105117,ENSDARG00000105209,ENSDARG00000106873,ENSDARG00000110192,ENSDARG00000110291,ENSDARG00000112015,ENSDARG00000114796,ENSDARG00000114870,ENSDARG00000115712
GO:0055001	muscle cell development	74	5	1.12	0.0051	ENSDARG00000000563,ENSDARG00000002988,ENSDARG00000005162,ENSDARG00000006603,ENSDARG00000006757,ENSDARG00000007219,ENSDARG00000007370,ENSDARG00000008322,ENSDARG00000008487,ENSDARG00000009280,ENSDARG00000009418,ENSDARG00000009438,ENSDARG00000011490,ENSDARG00000011821,ENSDARG00000011961,ENSDARG00000012944,ENSDARG00000013317,ENSDARG00000013422,ENSDARG00000013755,ENSDARG00000015681,ENSDARG00000018820,ENSDARG00000019096,ENSDARG00000019717,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000021987,ENSDARG00000022101,ENSDARG00000023963,ENSDARG00000029069,ENSDARG00000029639,ENSDARG00000029764,ENSDARG00000030095,ENSDARG00000030270,ENSDARG00000030980,ENSDARG00000031756,ENSDARG00000032630,ENSDARG00000037116,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000040237,ENSDARG00000040917,ENSDARG00000041864,ENSDARG00000044968,ENSDARG00000045399,ENSDARG00000045560,ENSDARG00000045822,ENSDARG00000052150,ENSDARG00000053505,ENSDARG00000055518,ENSDARG00000055678,ENSDARG00000056111,ENSDARG00000056964,ENSDARG00000058656,ENSDARG00000060002,ENSDARG00000060236,ENSDARG00000060745,ENSDARG00000060758,ENSDARG00000061752,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000063682,ENSDARG00000068457,ENSDARG00000074894,ENSDARG00000077722,ENSDARG00000078618,ENSDARG00000079637,ENSDARG00000091253,ENSDARG00000099563,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000102490,ENSDARG00000102889,ENSDARG00000104094,ENSDARG00000104713
GO:0046496	nicotinamide nucleotide metabolic proces...	48	4	0.73	0.0058	ENSDARG00000007181,ENSDARG00000009160,ENSDARG00000010610,ENSDARG00000011665,ENSDARG00000012801,ENSDARG00000012987,ENSDARG00000013750,ENSDARG00000014179,ENSDARG00000014287,ENSDARG00000015343,ENSDARG00000017772,ENSDARG00000019702,ENSDARG00000022456,ENSDARG00000023536,ENSDARG00000025012,ENSDARG00000027183,ENSDARG00000027930,ENSDARG00000028000,ENSDARG00000030598,ENSDARG00000033594,ENSDARG00000038297,ENSDARG00000039007,ENSDARG00000039452,ENSDARG00000039914,ENSDARG00000040988,ENSDARG00000042010,ENSDARG00000043701,ENSDARG00000053684,ENSDARG00000054191,ENSDARG00000056640,ENSDARG00000057661,ENSDARG00000060504,ENSDARG00000062744,ENSDARG00000070598,ENSDARG00000070826,ENSDARG00000071065,ENSDARG00000076487,ENSDARG00000077034,ENSDARG00000077119,ENSDARG00000099106,ENSDARG00000099546,ENSDARG00000099730,ENSDARG00000099755,ENSDARG00000099860,ENSDARG00000100813,ENSDARG00000101378,ENSDARG00000101482,ENSDARG00000102977
GO:0006639	acylglycerol metabolic process	25	3	0.38	0.0061	ENSDARG00000003635,ENSDARG00000005332,ENSDARG00000014439,ENSDARG00000015563,ENSDARG00000018716,ENSDARG00000020239,ENSDARG00000020956,ENSDARG00000027724,ENSDARG00000042780,ENSDARG00000053456,ENSDARG00000053575,ENSDARG00000054914,ENSDARG00000060626,ENSDARG00000061214,ENSDARG00000062696,ENSDARG00000069834,ENSDARG00000074169,ENSDARG00000074183,ENSDARG00000075016,ENSDARG00000092071,ENSDARG00000101145,ENSDARG00000102020,ENSDARG00000103380,ENSDARG00000103503,ENSDARG00000113111
GO:0006414	translational elongation	25	3	0.38	0.0061	ENSDARG00000000568,ENSDARG00000003984,ENSDARG00000004724,ENSDARG00000011201,ENSDARG00000014945,ENSDARG00000017235,ENSDARG00000020850,ENSDARG00000030053,ENSDARG00000035835,ENSDARG00000042065,ENSDARG00000042094,ENSDARG00000042839,ENSDARG00000042900,ENSDARG00000044521,ENSDARG00000056119,ENSDARG00000063624,ENSDARG00000069951,ENSDARG00000078077,ENSDARG00000097803,ENSDARG00000100084,ENSDARG00000100242,ENSDARG00000100371,ENSDARG00000101406,ENSDARG00000102291,ENSDARG00000104173
GO:0032482	Rab protein signal transduction	10	2	0.15	0.0094	ENSDARG00000003495,ENSDARG00000012177,ENSDARG00000019144,ENSDARG00000026484,ENSDARG00000045027,ENSDARG00000062721,ENSDARG00000089428,ENSDARG00000100752,ENSDARG00000102766,ENSDARG00000102914
GO:0070534	protein K63-linked ubiquitination	11	2	0.17	0.0114	ENSDARG00000008748,ENSDARG00000011462,ENSDARG00000017240,ENSDARG00000022000,ENSDARG00000045877,ENSDARG00000054213,ENSDARG00000055536,ENSDARG00000061345,ENSDARG00000087452,ENSDARG00000099199,ENSDARG00000101036
GO:0042572	retinol metabolic process	11	2	0.17	0.0114	ENSDARG00000017882,ENSDARG00000028048,ENSDARG00000037191,ENSDARG00000044803,ENSDARG00000044982,ENSDARG00000054914,ENSDARG00000091633,ENSDARG00000098746,ENSDARG00000099217,ENSDARG00000101145,ENSDARG00000103503
