GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000005891	0	-0.1352910978299405	cyb5r3	cytochrome b5 reductase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3281]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000011890	0	-0.18875941797396445	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000013236	0	-0.09684277582705356	dhcr24	24-dehydrocholesterol reductase [Source:ZFIN;Acc:ZDB-GENE-041212-73]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000014727	0	-0.09429075474388722	acox1	acyl-CoA oxidase 1, palmitoyl [Source:ZFIN;Acc:ZDB-GENE-041010-219]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000015228	0	-0.6449319471667249	ero1a	endoplasmic reticulum oxidoreductase alpha [Source:NCBI gene;Acc:393321]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000017034	0	-0.1362354979396902	sqor	sulfide quinone oxidoreductase [Source:ZFIN;Acc:ZDB-GENE-050417-436]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000020054	0	-0.22706087726918403	aox6	aldehyde oxidase 6 [Source:ZFIN;Acc:ZDB-GENE-050208-742]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000020395	0	-0.06505057546193399	mical2b	microtubule associated monooxygenase, calponin and LIM domain containing 2b [Source:NCBI gene;Acc:569564]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000021154	0	-0.03509566708286789	zgc:92040	zgc:92040 [Source:ZFIN;Acc:ZDB-GENE-040718-87]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000035601	0	-0.09665438673020246	dao.3	D-amino-acid oxidase, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1894]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000035603	0	-0.19412491536278167	dao.2	D-amino-acid oxidase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2634]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000038845	0	-0.0714850915005843	ldhd	lactate dehydrogenase D [Source:ZFIN;Acc:ZDB-GENE-030131-6140]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000038865	0	-0.05597383195695301	acox3	acyl-CoA oxidase 3, pristanoyl [Source:ZFIN;Acc:ZDB-GENE-040426-2163]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000042821	0	-0.01668652217492255	agps	alkylglycerone phosphate synthase [Source:ZFIN;Acc:ZDB-GENE-031118-14]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000053087	0	-0.08611827139698673	mthfr	methylenetetrahydrofolate reductase (NAD(P)H) [Source:ZFIN;Acc:ZDB-GENE-041111-215]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000055240	0	-0.07648603106750158	xdh	xanthine dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-070719-9]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000058088	0	-0.040072573383361766	aifm1	apoptosis inducing factor mitochondrion associated 1 [Source:ZFIN;Acc:ZDB-GENE-030826-11]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000060210	0	-0.02209267150131849	d2hgdh	D-2-hydroxyglutarate dehydrogenase [Source:NCBI gene;Acc:565889]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000069074	0	-0.20872931927658284	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000075608	0	-0.17674188968760499	mical2a	microtubule associated monooxygenase, calponin and LIM domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-110110-2]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000086512	0	-0.006697809329056089	prodhb	proline dehydrogenase (oxidase) 1b [Source:ZFIN;Acc:ZDB-GENE-101116-1]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000086746	0	-0.029901036361874588	prodha	proline dehydrogenase (oxidase) 1a [Source:ZFIN;Acc:ZDB-GENE-041008-73]
GO:0071949	FAD binding	26	3	0.21	0.0012	ENSDARG00000102403	0	-0.043509889292419134	cry2	cryptochrome circadian regulator 2 [Source:ZFIN;Acc:ZDB-GENE-010426-6]
