Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count
ENSDARG00000055618	8.143743972490339e-46	1.839183138747218e-41	-1.7354466090989071	13	24279021	24284442	1	protein_coding	acta1b	actin alpha 1, skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-030131-55]	4583	8048	6657	4007	5819	6594	23317	15808	10513	24346	23124	20897	5057.057176319726	6312.01640315897	6438.60600648106	5341.684925338184	5180.844823500744	6181.623682490224	24490.93025534814	18467.707282883777	15225.614609242793	19761.35009467356	21858.234243075844	15121.18831649338
ENSDARG00000104899	5.0488780186992934e-39	5.701193058715242e-35	6.4627263137577	8	7828414	7848287	1	processed_transcript	CR931813.2	NA	152	308	349	173	144	90	2	1	0	5	5	1	167.72260327309587	241.56325200956297	337.55047262458913	230.62428052994906	128.20788014849754	84.37156982470734	2.100693078470484	1.168250713745178	0	4.058438777350193	4.72630908213887	0.7236057001719568
ENSDARG00000036371	1.1055061547426423e-38	8.322250332902611e-35	-1.5850586406649405	1	53945934	53953532	1	protein_coding	acta1a	actin alpha 1, skeletal muscle a [Source:ZFIN;Acc:ZDB-GENE-050417-267]	785	1310	762	743	1193	1315	2956	2800	1641	4176	3129	3664	866.1989708511859	1027.428117313401	737.0013184525413	990.4846267846946	1062.1666737302608	1232.7623813276682	3104.824369979375	3271.101998486499	2376.6035930531175	3389.608066842881	2957.7242236025045	2651.2912854300494
ENSDARG00000030722	6.024796346229521e-35	3.401600017081187e-31	1.9260922504340103	2	23749614	23768832	-1	protein_coding	xirp1	xin actin binding repeat containing 1 [Source:NCBI gene;Acc:497637]	654	1586	875	542	1420	1186	247	181	177	307	313	391	721.6485693460836	1243.8938885946977	846.2941648897292	722.5338731053895	1264.2721514643506	1111.8297979122544	259.43559519110477	211.45337918787726	256.3429835285812	249.18814092930182	295.86694854189324	282.9298287672351
ENSDARG00000007344	5.338482960973497e-34	2.4112859838125094e-30	2.35872630615451	3	21240594	21242460	-1	protein_coding	tcap	titin-cap (telethonin) [Source:ZFIN;Acc:ZDB-GENE-070501-5]	1675	3061	1493	1880	2189	1896	387	255	299	724	401	306	1848.2589505423393	2400.7308909132216	1444.0196436347037	2506.2060543138973	1948.9378447573688	1777.4277376405012	406.4841106840387	297.9039320050204	433.03136765562596	587.6619349603079	379.0499883875373	221.42334425261876
ENSDARG00000075048	3.908435666743212e-29	1.471135184962145e-25	-0.6862679645121158	14	34068075	34092744	1	protein_coding	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-101021-4]	750	1122	884	656	1015	864	1266	1245	1014	1607	1332	2044	827.5786345711967	879.9804180348366	854.9989048714522	874.5059423563387	903.6874885467014	809.9670703171904	1329.7387186718163	1454.472138612747	1468.541159875601	1304.382223040352	1259.0887394817948	1479.0500511514797
ENSDARG00000002204	5.026840399378947e-28	1.6218023368510592e-24	2.3543191026928265	21	20383837	20384878	1	protein_coding	hspb11	heat shock protein, alpha-crystallin-related, b11 [Source:NCBI gene;Acc:796767]	857	2043	713	867	1462	1075	174	176	168	432	202	191	945.6465197700209	1602.3172852452506	689.6088452187165	1155.7875793032708	1301.6661165076625	1007.771528461782	182.76029782693212	205.61212561915136	243.30859453560254	350.64911036305665	190.94288691841032	138.20868873284374
ENSDARG00000078674	8.434402920080533e-25	2.3810319443387346e-21	3.031848265567571	3	33300522	33301321	1	protein_coding	hspb9	heat shock protein, alpha-crystallin-related, 9 [Source:ZFIN;Acc:ZDB-GENE-080214-6]	581	1524	825	684	1410	1211	84	59	84	249	174	110	641.0975822478204	1195.2675196836817	797.9344983246018	911.8324155056946	1255.3688264540383	1135.2663450857842	88.22910929576032	68.92679211096551	121.65429726780127	202.1102511120396	164.47555605843266	79.59662701891524
ENSDARG00000079111	1.4607862941637476e-24	3.665599740821564e-21	-1.435607836823989	25	14087045	14125498	1	protein_coding	actc1c	actin alpha cardiac muscle 1c [Source:ZFIN;Acc:ZDB-GENE-040625-46]	510	858	646	302	695	677	1690	1779	826	1951	1521	2010	562.7534715084138	672.9262020266397	624.8068920214458	402.59267468233884	618.7810882167068	634.6616974591874	1775.085651307559	2078.318019752672	1196.2672564667125	1583.6028109220451	1437.743222786644	1454.447457345633
ENSDARG00000043701	3.1301896840635276e-22	7.069220382489071e-19	2.1128835398916266	8	7033049	7052493	1	protein_coding	gpd1a	glycerol-3-phosphate dehydrogenase 1a [Source:ZFIN;Acc:ZDB-GENE-050417-209]	332	440	449	301	347	350	49	60	118	96	80	90	366.3414755701831	345.0903600136614	434.2698057548439	401.2595863555761	308.9453778578378	328.11166042941744	51.46698042252686	70.09504282471069	170.8953223523875	77.9220245251237	75.62094531422191	65.12451301547611
ENSDARG00000058365	1.9907922745240745e-20	4.0872775207137906e-17	1.1665736856922289	5	15819651	15840485	1	protein_coding	hspb8	heat shock protein b8 [Source:ZFIN;Acc:ZDB-GENE-030131-2480]	734	1729	826	676	1272	975	406	394	322	544	459	567	809.9236237003446	1356.0482555991375	798.9016916559044	901.1677088915928	1132.5029413117281	914.0253397676628	426.44069492950825	460.2907812156002	466.34147285990485	441.55813897570096	433.8751737403482	410.2844319974995
ENSDARG00000056210	2.942292193276008e-20	5.5373939077454473e-17	2.217643816467759	8	24968098	24970790	-1	protein_coding	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]	69	189	78	121	180	146	31	17	21	39	23	37	76.1372343805501	148.23199555132274	75.44107984159872	161.30368753828807	160.2598501856219	136.86943549341413	32.5607427162925	19.86026213366803	30.413574316950317	31.655822463331504	21.7410217778388	26.7734109063624
ENSDARG00000002396	4.688174157413959e-20	8.144440397772066e-17	-0.5699310171402496	24	20194022	20208474	-1	protein_coding	cry-dash	cryptochrome DASH [Source:NCBI gene;Acc:402986]	409	651	539	383	534	531	657	667	514	926	729	1039	451.3062153861593	510.5768735656672	521.3172055720732	510.5728291501184	475.4375555506783	497.79226196577326	690.077676277554	779.2232260680338	744.4084380434506	751.6228615652557	689.0958641758472	751.8263224786631
ENSDARG00000091131	6.589874786542948e-20	1.0630409441377567e-16	-0.7330900489321739	22	786556	809282	1	protein_coding	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]	220	344	312	210	282	263	385	373	304	598	478	587	242.75639947421772	269.7979178288625	301.7643193663949	279.9485486201694	251.07376529080767	246.55247626553367	404.3834176055682	435.75751622695145	440.27269487394744	485.3892777710831	451.8351482524759	424.7565460009386
ENSDARG00000099002	1.341451557499574e-18	2.0196894649713584e-15	1.9124481350094014	19	19496479	19505167	-1	protein_coding	creb5a	cAMP responsive element binding protein 5a [Source:ZFIN;Acc:ZDB-GENE-120827-2]	53	97	51	60	88	91	20	19	12	16	25	24	58.4822235096979	76.07673845755717	49.32685989642993	79.98529960576268	78.34926009074849	85.30903171164853	21.006930784704842	22.196763561158384	17.37918532397161	12.987004087520617	23.631545410694347	17.366536804126962
ENSDARG00000077301	2.3408142556562938e-17	3.304059321858859e-14	1.023371066167658	15	1148074	1162658	1	protein_coding	mlf1	myeloid leukemia factor 1 [Source:ZFIN;Acc:ZDB-GENE-080917-7]	745	1409	830	658	907	800	383	425	307	385	490	590	822.0614436740555	1105.0734483164747	802.7704649811146	877.1721190098641	807.5315784353282	749.9695095529542	402.2827245270977	496.50655334170074	444.61749120494034	312.49978585596483	463.1782900496092	426.9273631014545
ENSDARG00000030463	8.95797477188233e-16	1.1900406014599445e-12	-1.1107548895755694	7	35229645	35243976	1	protein_coding	tppp3	tubulin polymerization-promoting protein family member 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1909]	144	223	215	221	200	237	394	329	350	624	451	583	158.89509783766977	174.89806882510567	207.94656623004775	294.6125202145592	178.06650020624656	222.17846720506265	413.8365364586854	384.3544848221636	506.8929052825053	506.49315941330406	426.313079208926	421.8621232002508
ENSDARG00000105443	1.0273508612131932e-14	1.2889828805354865e-11	1.7620866791487446	7	4299907	4315859	-1	protein_coding	si:ch211-63p21.8	si:ch211-63p21.8 [Source:ZFIN;Acc:ZDB-GENE-130530-652]	210	246	207	268	188	214	91	39	46	99	76	52	231.72201767993508	192.93688309854704	200.20901957962738	357.26767157240664	167.38251019387178	200.61684380541521	95.58153507040703	45.56177783606195	66.62021040855784	80.35708779153381	71.83989804851082	37.62749640894175
ENSDARG00000007823	1.809564326769385e-14	2.1509053029347258e-11	0.8773829713468629	20	37794633	37800737	1	protein_coding	atf3	activating transcription factor 3 [Source:ZFIN;Acc:ZDB-GENE-040426-728]	349	465	314	349	509	477	216	198	155	231	247	296	385.0999246204635	364.69776683261944	303.698706029	465.2478260401863	453.1792430248975	447.1693200709489	226.8748524748123	231.31364132154528	224.48114376796661	187.4998715135789	233.47966865766014	214.1872872508992
ENSDARG00000013685	2.1634627546766207e-14	2.44298214258084e-11	0.842628386888433	8	6576940	6609288	1	protein_coding	vsig8b	V-set and immunoglobulin domain containing 8b [Source:ZFIN;Acc:ZDB-GENE-081104-51]	210	322	219	207	235	217	118	114	98	150	117	194	231.72201767993508	252.54339982817947	211.81533955525794	275.94928363988123	209.22813774233973	203.4292294662388	123.94089162975855	133.18058136695032	141.93001347910146	121.75316332050578	110.59563252204954	140.37950583335962
ENSDARG00000034503	3.250095280303961e-14	3.4952453243040314e-11	-0.7690287082689146	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	1880	2665	3010	1565	2640	2422	4013	3284	2913	3866	4475	5332	2074.4637773251334	2090.1495669009264	2911.2519272206687	2086.2832313836434	2350.4778027224547	2270.5326901715684	4215.040661951026	3836.535343939165	4218.797237394108	3137.984862647169	4230.046628514288	3858.2655933168735
ENSDARG00000058656	7.499598718548164e-14	7.698678975440533e-11	1.1252751269286523	9	7515864	7539326	-1	protein_coding	desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]	5647	11636	6147	8126	6930	6884	3579	3281	2363	4289	3505	3745	6231.1153992313975	9126.071429815827	5945.33740751676	10832.675743273792	6170.004232146443	6453.487629703171	3759.190263922931	3833.0305917979294	3422.251243378743	3481.3287832109954	3313.1426665793474	2709.903347143978
ENSDARG00000078567	1.9194483599744987e-13	1.8847313809419166e-10	-0.37942271011140477	8	13700605	13788311	1	protein_coding	lonrf1l	LON peptidase N-terminal domain and ring finger 1, like [Source:ZFIN;Acc:ZDB-GENE-081104-397]	1486	2105	1821	1345	1876	1715	2057	1854	1570	2885	2136	3040	1639.7091346303978	1650.9436541562663	1761.2590563019394	1793.0037994958468	1670.2637719345928	1607.7471361041453	2160.562831206893	2165.9368232835604	2273.7767465529523	2341.719174531061	2019.079239889725	2199.7613285227485
ENSDARG00000038583	2.595807243527811e-13	2.4426546161596703e-10	0.8669905709573033	6	52064304	52072829	1	protein_coding	abraa	actin binding Rho activating protein a [Source:ZFIN;Acc:ZDB-GENE-120730-1]	849	1524	1142	854	1194	1058	562	638	395	697	680	574	936.8190143345947	1195.2675196836817	1104.5347843475095	1138.4574310553555	1063.057006231292	991.8346763837818	590.294755050206	745.3439553694236	572.0648502473988	565.7463655626169	642.7780351708863	415.3496718987032
ENSDARG00000075263	8.75239307037698e-13	7.906561804055749e-10	1.4564187811018732	17	23462972	23472265	1	protein_coding	ankrd1a	ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN;Acc:ZDB-GENE-100405-1]	108	268	106	70	195	173	45	42	36	69	65	68	119.17132337825232	210.19140109923012	102.52249311807006	93.31618287338979	173.6148377010904	162.18090644082633	47.26559426558589	49.066529977297485	52.13755597191483	56.00645512743266	61.4420180678053	49.20518761169306
ENSDARG00000039117	9.395031907495197e-13	8.160669253802751e-10	-0.40551996055122286	12	19144833	19153177	-1	protein_coding	tefa	TEF transcription factor, PAR bZIP family member a [Source:ZFIN;Acc:ZDB-GENE-990415-264]	2389	3372	2775	1947	2769	2671	3366	3189	2307	4491	3400	4301	2636.113810654119	2644.6470317410594	2683.9614943645697	2595.522972206999	2465.330695355484	2503.9607000199258	3535.4664510658245	3725.551526133373	3341.1483785335417	3645.2897098159433	3213.890175854431	3112.228116439586
ENSDARG00000053773	1.452392582693333e-12	1.2148457069461566e-9	0.8406902936597811	17	27434626	27447527	1	protein_coding	vgll2b	vestigial-like family member 2b [Source:ZFIN;Acc:ZDB-GENE-050809-113]	211	330	200	201	250	207	110	95	93	181	143	165	232.82545585936336	258.817770010246	193.43866626050954	267.95075367930497	222.5831252578082	194.05461059682688	115.53811931587663	110.98381780579193	134.68868626077997	146.91548374007698	135.17243974917167	119.39494052837287
