Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000115161	0.9575819073612976	0.9967029007560437	-0.03807570227680905	KN149950.1	74	5493	1	protein_coding	CABZ01069162.1	NA	488	472	432	582	3	303	253	460	563	507	660	443	547.8981535570655	588.7293428543417	669.5602070953707	499.9722102136815	3.0259064893832637	234.85239034565313	318.98820543771353	474.4469806811624	403.06264120752496	568.7594934020996	486.90368457051994	359.18254189325194	1.227204825427611
ENSDARG00000058225	0.43243633477728505	0.8978111570615789	1.6329715802519202	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	2	307	2	640	442	3	0	1	618	0	0	4	2.2454842358896125	382.9235344412773	3.0998157735896794	549.7976194789625	445.8168894358009	2.32527119154112	0	1.0314064797416573	442.43821006438793	0	0	3.243183222512433	1.0710257068692304
ENSDARG00000020711	0.6307779737179063	0.9475993678935115	0.6428080881863891	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	681	584	2	7	15	540	361	395	491	11	14	4	764.5873823204131	728.4278309892702	3.0998157735896794	6.013411463051152	15.129532446916318	418.54881447740166	455.157083648279	407.40555949795464	351.51644197672243	12.339949560992299	10.328259975738302	3.243183222512433	0.9425276554088172
ENSDARG00000023656	0.24551288751014344	0.8276858898113995	-1.9674211660963337	22	14093306	14094746	1	protein_coding	he1.1	hatching enzyme 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-021211-3]	87	40	0	0	0	0	49	52	490	27	81	25	97.67856426119816	49.892317191045905	0	0	0	0	61.78032437331211	53.63313694656618	350.8005225429613	30.288967104253825	59.756361288200175	20.269895140702708	0.8034221461989255
ENSDARG00000078069	0.8762286017386626	0.9829898340712653	-0.12515566382320725	19	47564890	47571808	-1	protein_coding	rrm2	ribonucleotide reductase M2 polypeptide [Source:NCBI gene;Acc:30733]	12	19	416	1122	809	556	322	329	522	690	703	917	13.472905415337676	23.698850665746804	644.7616809066533	963.863951649056	815.9861166370201	430.9502608322876	405.98498873890816	339.3327318350053	373.70994442331795	774.0513815531533	518.6261973531447	743.4997537609753	0.7867031455455349
ENSDARG00000031776	0.01354199689196089	0.45373115666061203	-0.952604638057583	3	32099507	32100999	1	protein_coding	fthl27	ferritin, heavy polypeptide-like 27 [Source:ZFIN;Acc:ZDB-GENE-040718-72]	492	457	944	2122	464	708	1133	2078	1794	1398	3503	1837	552.3891220288448	570.0197239076995	1463.1130451343288	1822.922732084935	468.0068703579448	548.7640012037044	1428.5123982645432	2143.262664903164	1284.3594641674952	1568.295407842476	2584.278192500805	1489.4318949388348	0.7468465712226393
ENSDARG00000098063	0.6129640563036594	0.9423922586175236	0.3453382640700885	15	44618623	44637492	-1	protein_coding	alp3	alkaline phosphatase 3 [Source:ZFIN;Acc:ZDB-GENE-120919-1]	257	65	37	39	46	34	25	124	39	29	58	193	288.54472431181523	81.0750154354496	57.34659181140907	33.503292436999274	46.39723283721005	26.353073504132695	31.520573659853117	127.89440348796552	27.920857916684675	32.532594297161516	42.78850561377296	156.4835904862249	0.7388207150503087
ENSDARG00000117011	0.39890618223194	0.8884880369770938	-0.5005151787474977	13	159504	178764	1	protein_coding	ewsr1b	EWS RNA-binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-030131-1600]	74	70	12	37	181	214	135	24	151	175	151	242	83.08291672791567	87.31155508433034	18.598894641538077	31.785174876127517	182.5630248594569	165.86934499659992	170.21109776320685	24.753755513799778	108.10383449793298	196.31737937942293	111.39766116689168	196.2125849620022	0.7172896979076389
ENSDARG00000068431	0.6345670094775454	0.948018079021641	0.2453899279200862	2	43920461	43955410	1	protein_coding	si:ch211-195h23.3	si:ch211-195h23.3 [Source:ZFIN;Acc:ZDB-GENE-070912-174]	368	74	172	261	198	98	176	211	101	42	376	291	413.16909940368873	92.30078680343493	266.5841565287124	224.21434169376437	199.70982829929542	75.95885892367659	221.90483856536596	217.62676722548971	72.3078628098757	47.11617105106151	277.3875536341144	235.9415794377795	0.7020546176564892
ENSDARG00000102241	0.9775045641506136	0.9982348742534618	0.012521011369449867	21	44505613	44512893	-1	protein_coding	zgc:136410	zgc:136410 [Source:ZFIN;Acc:ZDB-GENE-060421-6071]	58	225	133	289	272	374	39	207	489	249	365	235	65.11904284079877	280.6442841996332	206.1377489437137	248.267987545969	274.34885503741594	289.88380854545966	49.17209490937086	213.50114130652307	350.08460310920015	279.3315855170075	269.27249222460574	190.53701432260544	0.681421730876308
