GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0030018	Z disc	25	11	1.18	5.3e-09	ENSDARG00000001431,ENSDARG00000012311,ENSDARG00000014248,ENSDARG00000018105,ENSDARG00000019117,ENSDARG00000029907,ENSDARG00000032630,ENSDARG00000037266,ENSDARG00000045228,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000071331,ENSDARG00000071445,ENSDARG00000071498,ENSDARG00000078696,ENSDARG00000098856,ENSDARG00000099032,ENSDARG00000099974,ENSDARG00000101706,ENSDARG00000101777,ENSDARG00000104713,ENSDARG00000114870
GO:0015629	actin cytoskeleton	144	22	6.78	0.00012	ENSDARG00000000103,ENSDARG00000000474,ENSDARG00000001014,ENSDARG00000001431,ENSDARG00000001993,ENSDARG00000003872,ENSDARG00000004658,ENSDARG00000004904,ENSDARG00000006385,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000010186,ENSDARG00000010255,ENSDARG00000011777,ENSDARG00000012311,ENSDARG00000012944,ENSDARG00000013110,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014651,ENSDARG00000015149,ENSDARG00000015805,ENSDARG00000017004,ENSDARG00000017036,ENSDARG00000019117,ENSDARG00000019231,ENSDARG00000020890,ENSDARG00000021193,ENSDARG00000023318,ENSDARG00000023988,ENSDARG00000027063,ENSDARG00000028533,ENSDARG00000028943,ENSDARG00000029995,ENSDARG00000030490,ENSDARG00000032242,ENSDARG00000035322,ENSDARG00000035433,ENSDARG00000035438,ENSDARG00000035598,ENSDARG00000035958,ENSDARG00000037266,ENSDARG00000037655,ENSDARG00000039142,ENSDARG00000041257,ENSDARG00000041363,ENSDARG00000041414,ENSDARG00000041720,ENSDARG00000043667,ENSDARG00000043710,ENSDARG00000044968,ENSDARG00000045298,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000045880,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000058690,ENSDARG00000058946,ENSDARG00000059773,ENSDARG00000060860,ENSDARG00000061304,ENSDARG00000061635,ENSDARG00000061862,ENSDARG00000061968,ENSDARG00000063295,ENSDARG00000067701,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000068457,ENSDARG00000070076,ENSDARG00000070835,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071445,ENSDARG00000071709,ENSDARG00000073761,ENSDARG00000073766,ENSDARG00000073843,ENSDARG00000073860,ENSDARG00000074184,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000075334,ENSDARG00000075706,ENSDARG00000075752,ENSDARG00000076416,ENSDARG00000076729,ENSDARG00000077261,ENSDARG00000077288,ENSDARG00000077410,ENSDARG00000078313,ENSDARG00000078474,ENSDARG00000078582,ENSDARG00000078696,ENSDARG00000078734,ENSDARG00000078803,ENSDARG00000079564,ENSDARG00000079782,ENSDARG00000079994,ENSDARG00000086874,ENSDARG00000088168,ENSDARG00000089162,ENSDARG00000089435,ENSDARG00000090637,ENSDARG00000091090,ENSDARG00000093931,ENSDARG00000094760,ENSDARG00000095217,ENSDARG00000095930,ENSDARG00000099352,ENSDARG00000099870,ENSDARG00000099871,ENSDARG00000099959,ENSDARG00000099974,ENSDARG00000100222,ENSDARG00000100805,ENSDARG00000100972,ENSDARG00000101777,ENSDARG00000102414,ENSDARG00000102415,ENSDARG00000102441,ENSDARG00000102883,ENSDARG00000103837,ENSDARG00000103917,ENSDARG00000103969,ENSDARG00000104235,ENSDARG00000104283,ENSDARG00000104300,ENSDARG00000104713,ENSDARG00000105209,ENSDARG00000110192,ENSDARG00000110291,ENSDARG00000111386,ENSDARG00000112168,ENSDARG00000112287,ENSDARG00000114022,ENSDARG00000114031,ENSDARG00000114870
GO:0001725	stress fiber	12	5	0.57	0.00014	ENSDARG00000014248,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000071113,ENSDARG00000073860,ENSDARG00000078803,ENSDARG00000088168,ENSDARG00000091090,ENSDARG00000099974,ENSDARG00000101777,ENSDARG00000104713,ENSDARG00000114870
GO:0042383	sarcolemma	30	7	1.41	0.00038	ENSDARG00000002167,ENSDARG00000003632,ENSDARG00000007370,ENSDARG00000008487,ENSDARG00000008772,ENSDARG00000013422,ENSDARG00000016153,ENSDARG00000021987,ENSDARG00000024141,ENSDARG00000036457,ENSDARG00000037145,ENSDARG00000043313,ENSDARG00000044968,ENSDARG00000052341,ENSDARG00000055154,ENSDARG00000056964,ENSDARG00000060095,ENSDARG00000060745,ENSDARG00000062590,ENSDARG00000068910,ENSDARG00000070923,ENSDARG00000071331,ENSDARG00000074004,ENSDARG00000089920,ENSDARG00000098420,ENSDARG00000098573,ENSDARG00000098856,ENSDARG00000098883,ENSDARG00000099045,ENSDARG00000100592
GO:0030017	sarcomere	48	16	2.26	0.00327	ENSDARG00000000474,ENSDARG00000001431,ENSDARG00000009280,ENSDARG00000009567,ENSDARG00000012311,ENSDARG00000014248,ENSDARG00000018105,ENSDARG00000019117,ENSDARG00000020574,ENSDARG00000020890,ENSDARG00000022101,ENSDARG00000029907,ENSDARG00000029995,ENSDARG00000032242,ENSDARG00000032630,ENSDARG00000035958,ENSDARG00000037266,ENSDARG00000037560,ENSDARG00000038583,ENSDARG00000045228,ENSDARG00000045302,ENSDARG00000045612,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000068457,ENSDARG00000070835,ENSDARG00000071331,ENSDARG00000071445,ENSDARG00000071498,ENSDARG00000073766,ENSDARG00000075433,ENSDARG00000077261,ENSDARG00000078696,ENSDARG00000087388,ENSDARG00000091253,ENSDARG00000098856,ENSDARG00000099032,ENSDARG00000099870,ENSDARG00000099974,ENSDARG00000101706,ENSDARG00000101777,ENSDARG00000104713,ENSDARG00000114870
GO:0070160	tight junction	38	6	1.79	0.00803	ENSDARG00000002909,ENSDARG00000003091,ENSDARG00000003169,ENSDARG00000003701,ENSDARG00000005108,ENSDARG00000009544,ENSDARG00000014047,ENSDARG00000015955,ENSDARG00000017320,ENSDARG00000024964,ENSDARG00000028096,ENSDARG00000032324,ENSDARG00000040628,ENSDARG00000042357,ENSDARG00000043128,ENSDARG00000043133,ENSDARG00000044387,ENSDARG00000044569,ENSDARG00000057826,ENSDARG00000061651,ENSDARG00000061797,ENSDARG00000061800,ENSDARG00000063309,ENSDARG00000069378,ENSDARG00000069503,ENSDARG00000069505,ENSDARG00000069888,ENSDARG00000077506,ENSDARG00000078335,ENSDARG00000079374,ENSDARG00000087805,ENSDARG00000094677,ENSDARG00000099654,ENSDARG00000099950,ENSDARG00000101869,ENSDARG00000103703,ENSDARG00000104528,ENSDARG00000112049
GO:0005912	adherens junction	63	8	2.97	0.00896	ENSDARG00000002494,ENSDARG00000003046,ENSDARG00000003632,ENSDARG00000012942,ENSDARG00000013335,ENSDARG00000013414,ENSDARG00000014248,ENSDARG00000014976,ENSDARG00000017901,ENSDARG00000019117,ENSDARG00000021987,ENSDARG00000022841,ENSDARG00000023026,ENSDARG00000023542,ENSDARG00000024141,ENSDARG00000028222,ENSDARG00000031049,ENSDARG00000032324,ENSDARG00000038655,ENSDARG00000043710,ENSDARG00000044968,ENSDARG00000045302,ENSDARG00000045331,ENSDARG00000053232,ENSDARG00000055843,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057867,ENSDARG00000060745,ENSDARG00000061371,ENSDARG00000062590,ENSDARG00000063390,ENSDARG00000069767,ENSDARG00000070923,ENSDARG00000071113,ENSDARG00000075215,ENSDARG00000075960,ENSDARG00000076416,ENSDARG00000077842,ENSDARG00000077996,ENSDARG00000079315,ENSDARG00000079317,ENSDARG00000086034,ENSDARG00000087403,ENSDARG00000088590,ENSDARG00000089871,ENSDARG00000091090,ENSDARG00000097726,ENSDARG00000099974,ENSDARG00000100287,ENSDARG00000100456,ENSDARG00000100973,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102441,ENSDARG00000102750,ENSDARG00000102769,ENSDARG00000103962,ENSDARG00000107053,ENSDARG00000110804,ENSDARG00000110973,ENSDARG00000113614,ENSDARG00000114870
GO:0005576	extracellular region	563	38	26.52	0.01428	ENSDARG00000000606,ENSDARG00000001721,ENSDARG00000001818,ENSDARG00000002084,ENSDARG00000002483,ENSDARG00000002600,ENSDARG00000002732,ENSDARG00000002760,ENSDARG00000003395,ENSDARG00000003399,ENSDARG00000003523,ENSDARG00000003533,ENSDARG00000004015,ENSDARG00000004196,ENSDARG00000004246,ENSDARG00000004296,ENSDARG00000004757,ENSDARG00000004877,ENSDARG00000004954,ENSDARG00000005332,ENSDARG00000005616,ENSDARG00000005783,ENSDARG00000007356,ENSDARG00000007534,ENSDARG00000008238,ENSDARG00000008969,ENSDARG00000009351,ENSDARG00000009471,ENSDARG00000009612,ENSDARG00000009949,ENSDARG00000010097,ENSDARG00000010294,ENSDARG00000010556,ENSDARG00000010700,ENSDARG00000011257,ENSDARG00000011463,ENSDARG00000011769,ENSDARG00000012076,ENSDARG00000012395,ENSDARG00000012694,ENSDARG00000012896,ENSDARG00000012945,ENSDARG00000012987,ENSDARG00000013072,ENSDARG00000013293,ENSDARG00000013771,ENSDARG00000013838,ENSDARG00000013892,ENSDARG00000013968,ENSDARG00000014103,ENSDARG00000014973,ENSDARG00000015263,ENSDARG00000015623,ENSDARG00000015887,ENSDARG00000016056,ENSDARG00000016153,ENSDARG00000016227,ENSDARG00000016412,ENSDARG00000016771,ENSDARG00000016918,ENSDARG00000017251,ENSDARG00000017314,ENSDARG00000017337,ENSDARG00000017542,ENSDARG00000018270,ENSDARG00000018643,ENSDARG00000018744,ENSDARG00000018896,ENSDARG00000019367,ENSDARG00000019521,ENSDARG00000019772,ENSDARG00000019782,ENSDARG00000019861,ENSDARG00000020265,ENSDARG00000020292,ENSDARG00000020741,ENSDARG00000021004,ENSDARG00000021208,ENSDARG00000021339,ENSDARG00000022372,ENSDARG00000022858,ENSDARG00000023062,ENSDARG00000023203,ENSDARG00000024189,ENSDARG00000024537,ENSDARG00000024829,ENSDARG00000025081,ENSDARG00000025147,ENSDARG00000025607,ENSDARG00000026764,ENSDARG00000027183,ENSDARG00000027472,ENSDARG00000027867,ENSDARG00000028163,ENSDARG00000029493,ENSDARG00000029668,ENSDARG00000030753,ENSDARG00000030872,ENSDARG00000031044,ENSDARG00000031246,ENSDARG00000032098,ENSDARG00000032234,ENSDARG00000033307,ENSDARG00000033447,ENSDARG00000033726,ENSDARG00000034300,ENSDARG00000034453,ENSDARG00000034667,ENSDARG00000034700,ENSDARG00000034862,ENSDARG00000034895,ENSDARG00000035327,ENSDARG00000035377,ENSDARG00000035422,ENSDARG00000035632,ENSDARG00000035663,ENSDARG00000035832,ENSDARG00000035862,ENSDARG00000036041,ENSDARG00000036483,ENSDARG00000036588,ENSDARG00000036626,ENSDARG00000036785,ENSDARG00000036940,ENSDARG00000037116,ENSDARG00000037144,ENSDARG00000037191,ENSDARG00000037281,ENSDARG00000037425,ENSDARG00000037517,ENSDARG00000037783,ENSDARG00000037836,ENSDARG00000037889,ENSDARG00000037946,ENSDARG00000038258,ENSDARG00000038424,ENSDARG00000038681,ENSDARG00000038683,ENSDARG00000038990,ENSDARG00000039174,ENSDARG00000039351,ENSDARG00000039406,ENSDARG00000039516,ENSDARG00000039579,ENSDARG00000039615,ENSDARG00000039964,ENSDARG00000040159,ENSDARG00000040251,ENSDARG00000040295,ENSDARG00000040513,ENSDARG00000040565,ENSDARG00000040799,ENSDARG00000040907,ENSDARG00000040925,ENSDARG00000040982,ENSDARG00000041358,ENSDARG00000041645,ENSDARG00000041685,ENSDARG00000041724,ENSDARG00000041835,ENSDARG00000041917,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000042130,ENSDARG00000042138,ENSDARG00000042172,ENSDARG00000042186,ENSDARG00000042233,ENSDARG00000042613,ENSDARG00000042616,ENSDARG00000042684,ENSDARG00000042784,ENSDARG00000042816,ENSDARG00000042845,ENSDARG00000042993,ENSDARG00000043081,ENSDARG00000043102,ENSDARG00000043171,ENSDARG00000043175,ENSDARG00000043719,ENSDARG00000044136,ENSDARG00000044655,ENSDARG00000044827,ENSDARG00000044924,ENSDARG00000044954,ENSDARG00000045299,ENSDARG00000045524,ENSDARG00000045544,ENSDARG00000045608,ENSDARG00000045824,ENSDARG00000045832,ENSDARG00000045999,ENSDARG00000046140,ENSDARG00000051710,ENSDARG00000051712,ENSDARG00000051713,ENSDARG00000051746,ENSDARG00000051890,ENSDARG00000051912,ENSDARG00000052012,ENSDARG00000052207,ENSDARG00000052470,ENSDARG00000052482,ENSDARG00000052779,ENSDARG00000052948,ENSDARG00000052958,ENSDARG00000052960,ENSDARG00000053119,ENSDARG00000053136,ENSDARG00000053449,ENSDARG00000053906,ENSDARG00000053973,ENSDARG00000054054,ENSDARG00000054055,ENSDARG00000054202,ENSDARG00000054239,ENSDARG00000054833,ENSDARG00000054942,ENSDARG00000055009,ENSDARG00000055036,ENSDARG00000055100,ENSDARG00000055120,ENSDARG00000055163,ENSDARG00000055175,ENSDARG00000055278,ENSDARG00000055373,ENSDARG00000055479,ENSDARG00000055595,ENSDARG00000055648,ENSDARG00000055705,ENSDARG00000056134,ENSDARG00000056178,ENSDARG00000056314,ENSDARG00000056324,ENSDARG00000056462,ENSDARG00000056498,ENSDARG00000056499,ENSDARG00000056590,ENSDARG00000056624,ENSDARG00000056633,ENSDARG00000056859,ENSDARG00000056874,ENSDARG00000057074,ENSDARG00000057113,ENSDARG00000057121,ENSDARG00000057992,ENSDARG00000058252,ENSDARG00000058280,ENSDARG00000058389,ENSDARG00000058567,ENSDARG00000058822,ENSDARG00000059026,ENSDARG00000059811,ENSDARG00000059832,ENSDARG00000060127,ENSDARG00000061231,ENSDARG00000061383,ENSDARG00000061769,ENSDARG00000061848,ENSDARG00000061858,ENSDARG00000062165,ENSDARG00000062228,ENSDARG00000062319,ENSDARG00000062357,ENSDARG00000062471,ENSDARG00000062695,ENSDARG00000062707,ENSDARG00000063075,ENSDARG00000063097,ENSDARG00000063177,ENSDARG00000063224,ENSDARG00000063230,ENSDARG00000063437,ENSDARG00000063634,ENSDARG00000067781,ENSDARG00000067801,ENSDARG00000067815,ENSDARG00000067851,ENSDARG00000068030,ENSDARG00000068144,ENSDARG00000068263,ENSDARG00000068303,ENSDARG00000068923,ENSDARG00000069027,ENSDARG00000069192,ENSDARG00000069293,ENSDARG00000069307,ENSDARG00000069446,ENSDARG00000069471,ENSDARG00000069473,ENSDARG00000069662,ENSDARG00000069739,ENSDARG00000069752,ENSDARG00000069970,ENSDARG00000070266,ENSDARG00000070396,ENSDARG00000070442,ENSDARG00000070454,ENSDARG00000070780,ENSDARG00000070873,ENSDARG00000070892,ENSDARG00000070930,ENSDARG00000070966,ENSDARG00000071454,ENSDARG00000071457,ENSDARG00000071493,ENSDARG00000071506,ENSDARG00000071679,ENSDARG00000071680,ENSDARG00000073718,ENSDARG00000073742,ENSDARG00000073935,ENSDARG00000073948,ENSDARG00000074082,ENSDARG00000074216,ENSDARG00000074372,ENSDARG00000074387,ENSDARG00000074640,ENSDARG00000074644,ENSDARG00000074656,ENSDARG00000074712,ENSDARG00000074765,ENSDARG00000074772,ENSDARG00000074839,ENSDARG00000074930,ENSDARG00000074989,ENSDARG00000075016,ENSDARG00000075045,ENSDARG00000075121,ENSDARG00000075163,ENSDARG00000075261,ENSDARG00000075265,ENSDARG00000075441,ENSDARG00000075455,ENSDARG00000075468,ENSDARG00000075597,ENSDARG00000075629,ENSDARG00000075737,ENSDARG00000075827,ENSDARG00000075963,ENSDARG00000076015,ENSDARG00000076121,ENSDARG00000076186,ENSDARG00000076196,ENSDARG00000076270,ENSDARG00000076386,ENSDARG00000076420,ENSDARG00000076448,ENSDARG00000076495,ENSDARG00000076541,ENSDARG00000076564,ENSDARG00000076569,ENSDARG00000076853,ENSDARG00000076900,ENSDARG00000077058,ENSDARG00000077174,ENSDARG00000077188,ENSDARG00000077231,ENSDARG00000077367,ENSDARG00000077677,ENSDARG00000077818,ENSDARG00000077850,ENSDARG00000077858,ENSDARG00000077960,ENSDARG00000078247,ENSDARG00000078757,ENSDARG00000078828,ENSDARG00000078915,ENSDARG00000079102,ENSDARG00000079158,ENSDARG00000079188,ENSDARG00000079234,ENSDARG00000079274,ENSDARG00000079371,ENSDARG00000079446,ENSDARG00000079515,ENSDARG00000079727,ENSDARG00000079849,ENSDARG00000079862,ENSDARG00000086189,ENSDARG00000086778,ENSDARG00000087087,ENSDARG00000087143,ENSDARG00000087193,ENSDARG00000087227,ENSDARG00000087359,ENSDARG00000087681,ENSDARG00000087961,ENSDARG00000088002,ENSDARG00000088022,ENSDARG00000088255,ENSDARG00000088581,ENSDARG00000088595,ENSDARG00000088641,ENSDARG00000088745,ENSDARG00000088878,ENSDARG00000089310,ENSDARG00000089362,ENSDARG00000089383,ENSDARG00000089429,ENSDARG00000089645,ENSDARG00000089667,ENSDARG00000089961,ENSDARG00000090286,ENSDARG00000090344,ENSDARG00000090557,ENSDARG00000090720,ENSDARG00000090783,ENSDARG00000090873,ENSDARG00000091003,ENSDARG00000091073,ENSDARG00000091085,ENSDARG00000091136,ENSDARG00000091625,ENSDARG00000091660,ENSDARG00000091801,ENSDARG00000091961,ENSDARG00000091996,ENSDARG00000092170,ENSDARG00000092283,ENSDARG00000092480,ENSDARG00000092731,ENSDARG00000092778,ENSDARG00000092890,ENSDARG00000092916,ENSDARG00000093052,ENSDARG00000093068,ENSDARG00000093079,ENSDARG00000093199,ENSDARG00000093549,ENSDARG00000093738,ENSDARG00000093750,ENSDARG00000094002,ENSDARG00000094132,ENSDARG00000094511,ENSDARG00000094779,ENSDARG00000094929,ENSDARG00000094973,ENSDARG00000095409,ENSDARG00000095462,ENSDARG00000095512,ENSDARG00000095590,ENSDARG00000095698,ENSDARG00000095807,ENSDARG00000095830,ENSDARG00000095843,ENSDARG00000095901,ENSDARG00000095939,ENSDARG00000096252,ENSDARG00000096433,ENSDARG00000096645,ENSDARG00000096755,ENSDARG00000096830,ENSDARG00000096977,ENSDARG00000096979,ENSDARG00000097169,ENSDARG00000097181,ENSDARG00000097275,ENSDARG00000097299,ENSDARG00000097766,ENSDARG00000098149,ENSDARG00000098431,ENSDARG00000098481,ENSDARG00000098508,ENSDARG00000098538,ENSDARG00000098602,ENSDARG00000098663,ENSDARG00000098700,ENSDARG00000098752,ENSDARG00000099161,ENSDARG00000099169,ENSDARG00000099376,ENSDARG00000099386,ENSDARG00000099390,ENSDARG00000099424,ENSDARG00000099446,ENSDARG00000099980,ENSDARG00000099982,ENSDARG00000100095,ENSDARG00000100248,ENSDARG00000100288,ENSDARG00000100295,ENSDARG00000100307,ENSDARG00000100520,ENSDARG00000100635,ENSDARG00000100657,ENSDARG00000100782,ENSDARG00000100792,ENSDARG00000100794,ENSDARG00000100795,ENSDARG00000100846,ENSDARG00000100981,ENSDARG00000101040,ENSDARG00000101084,ENSDARG00000101160,ENSDARG00000101279,ENSDARG00000101324,ENSDARG00000101334,ENSDARG00000101704,ENSDARG00000102004,ENSDARG00000102066,ENSDARG00000102340,ENSDARG00000102395,ENSDARG00000102602,ENSDARG00000102687,ENSDARG00000102758,ENSDARG00000102776,ENSDARG00000102825,ENSDARG00000102894,ENSDARG00000102956,ENSDARG00000103156,ENSDARG00000103308,ENSDARG00000103311,ENSDARG00000103466,ENSDARG00000103580,ENSDARG00000103679,ENSDARG00000103762,ENSDARG00000103775,ENSDARG00000103826,ENSDARG00000103846,ENSDARG00000104210,ENSDARG00000104217,ENSDARG00000104219,ENSDARG00000104293,ENSDARG00000104297,ENSDARG00000104314,ENSDARG00000104348,ENSDARG00000104359,ENSDARG00000104363,ENSDARG00000104467,ENSDARG00000104495,ENSDARG00000104758,ENSDARG00000104795,ENSDARG00000105112,ENSDARG00000105118,ENSDARG00000105230,ENSDARG00000105263,ENSDARG00000105274,ENSDARG00000105568,ENSDARG00000109310,ENSDARG00000109371,ENSDARG00000110967,ENSDARG00000111069,ENSDARG00000111587,ENSDARG00000111840,ENSDARG00000112019,ENSDARG00000112125,ENSDARG00000112431,ENSDARG00000112495,ENSDARG00000112637,ENSDARG00000113315,ENSDARG00000113719,ENSDARG00000114393,ENSDARG00000114451,ENSDARG00000114454,ENSDARG00000114760,ENSDARG00000115610,ENSDARG00000115817,ENSDARG00000116302,ENSDARG00000116438,ENSDARG00000116445,ENSDARG00000116713,ENSDARG00000117193
GO:0030864	cortical actin cytoskeleton	14	3	0.66	0.02560	ENSDARG00000001431,ENSDARG00000004904,ENSDARG00000008170,ENSDARG00000008487,ENSDARG00000011777,ENSDARG00000019231,ENSDARG00000030490,ENSDARG00000075706,ENSDARG00000076416,ENSDARG00000100222,ENSDARG00000102883,ENSDARG00000104713,ENSDARG00000110192,ENSDARG00000114022
GO:0005923	bicellular tight junction	37	5	1.74	0.02840	ENSDARG00000002909,ENSDARG00000003091,ENSDARG00000003169,ENSDARG00000003701,ENSDARG00000005108,ENSDARG00000009544,ENSDARG00000014047,ENSDARG00000015955,ENSDARG00000017320,ENSDARG00000024964,ENSDARG00000028096,ENSDARG00000032324,ENSDARG00000040628,ENSDARG00000042357,ENSDARG00000043128,ENSDARG00000043133,ENSDARG00000044387,ENSDARG00000044569,ENSDARG00000057826,ENSDARG00000061797,ENSDARG00000061800,ENSDARG00000063309,ENSDARG00000069378,ENSDARG00000069503,ENSDARG00000069505,ENSDARG00000069888,ENSDARG00000077506,ENSDARG00000078335,ENSDARG00000079374,ENSDARG00000087805,ENSDARG00000094677,ENSDARG00000099654,ENSDARG00000099950,ENSDARG00000101869,ENSDARG00000103703,ENSDARG00000104528,ENSDARG00000112049
