ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1176	"ENSDARG00000101098"	NA	chrKN150051.1	-	1207	1587	1390	1587	986	1123
1177	"ENSDARG00000101098"	NA	chrKN150051.1	-	1207	1587	1408	1587	986	1123
1178	"ENSDARG00000101098"	NA	chrKN150051.1	-	1390	1587	1408	1587	986	1123
1179	"ENSDARG00000101464"	"CABZ01088864.1"	chrKN150039.1	-	266	763	679	763	78	159
1180	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	4849	5036	4849	4952	5112	5246
1181	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5598	5523	5598	4819	4904
1182	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5706	5773	5742	5773	5508	5608
1183	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	6625	6961	6676	6961	6421	6518
1184	"ENSDARG00000113721"	NA	chrKZ116047.1	+	6742	7005	6742	6856	9112	9279
1185	"ENSDARG00000099056"	"CABZ01065076.1"	chrKN150683.1	+	6755	6826	6755	6825	7377	7532
1186	"ENSDARG00000101913"	"CABZ01092156.1"	chrKN150212.1	-	8268	8401	8279	8401	8116	8177
1187	"ENSDARG00000104516"	"polr3d"	chrKN150353.1	-	8380	8596	8439	8596	7674	7925
1188	"ENSDARG00000104516"	"polr3d"	chrKN150353.1	-	15007	15131	15008	15131	13921	13965
1189	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12455	12759	12649	12759	7695	12146
1190	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12455	12759	12654	12759	7695	12146
1191	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12649	12759	12654	12759	7695	12146
1192	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	13155	13215	13158	13215	12951	13069
1193	"ENSDARG00000100904"	"CABZ01109021.1"	chrKN149855.1	+	19026	19205	19026	19124	19454	19556
1194	"ENSDARG00000099653"	NA	chrKN149818.1	-	11091	11175	11093	11175	10376	10545
1195	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17488	17608	17488	17550	17693	17901
1196	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	20709	21027	20709	20982	21116	21416
1197	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	21116	21433	21116	21416	21503	21611
1198	"ENSDARG00000113106"	"CABZ01080371.3"	chrKZ116034.1	+	26712	26869	26712	26860	27282	27407
