Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000096508	0.21531114408554283	0.9998677203561913	1.5192328038570913	20	12203762	12208117	1	lincRNA	BX322618.1	NA	132	417	568	193	1771	644	221	1345	36	61	834	146.65898592945908	515.2714220903308	871.9073165215312	192.63061237417838	1359.467663547871	802.6942127056503	225.7670514414023	951.2067864192622	39.955274906998824	44.45382214284375	670.195674985122	1.0156406662691517
ENSDARG00000104436	0.40550795367029385	0.9998677203561913	0.7015935405673963	3	49559261	49566364	-1	protein_coding	zgc:153426	zgc:153426 [Source:ZFIN;Acc:ZDB-GENE-060929-220]	2940	1503	1129	3589	4490	1520	440	5238	1693	641	2651	3266.4955957015886	1857.20131271407	1733.06929639579	3582.1309213001355	3446.6458550705484	1894.5577691189262	449.4909621457783	3704.4023399733055	1879.0077893763614	467.12950809119417	2130.322223483883	0.8332841539033596
ENSDARG00000079946	0.2095421676177472	0.9998677203561913	-1.0533310001413816	16	43401005	43413293	1	protein_coding	sqlea	squalene epoxidase a [Source:ZFIN;Acc:ZDB-GENE-071004-98]	91	59	143	137	527	609	142	272	1005	94	809	101.10581605743013	72.9041100799269	219.5118772228503	136.73779220343232	404.53950236574144	759.0695272325171	145.06299232886482	192.36300810857944	1115.4180911537171	68.50261117093955	650.105876574297	0.8152493316327204
ENSDARG00000042641	0.18081225907035267	0.9998677203561913	-0.9188886955675302	19	598657	617246	-1	protein_coding	cyp51	cytochrome P450, family 51 [Source:NCBI gene;Acc:414331]	429	322	463	476	1470	1748	538	985	2513	427	2089	476.641704270742	397.88344823282137	710.7272668124454	475.0889714513415	1128.411894644478	2178.7414344867652	549.6048582600653	696.6086874520248	2789.100162258001	311.1767549999063	1678.703555208537	0.7689994246140897
ENSDARG00000040738	0.7810110234857658	0.9998677203561913	-0.33025040995949284	9	22017368	22018304	1	protein_coding	zgc:153846	zgc:153846 [Source:ZFIN;Acc:ZDB-GENE-060929-898]	49	178	208	104	45	51	424	32	234	480	267	54.44159326169314	219.9479931224913	319.2900032332368	103.80095174567124	34.54322126462688	63.56739883227976	433.1458362495682	22.63094213042111	259.70928689549237	349.80056768139343	214.559047027611	0.751477761494017
ENSDARG00000103025	0.07859929972618517	0.9998677203561913	-1.1140001769396537	10	6010570	6034397	1	protein_coding	hmgcs1	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-040426-1042]	765	580	685	1005	2256	3133	900	1697	4234	958	3423	849.9554866366378	716.6844719721628	1051.5079433402268	1003.0765048499961	1731.7668260666273	3905.032559637892	919.4133316618193	1200.1471498538945	4699.184276562029	698.1436329974478	2750.695198410159	0.7396807656630272
ENSDARG00000104572	0.24705400838164962	0.9998677203561913	-0.6887761555716717	14	13036560	13048355	-1	protein_coding	si:dkey-35h6.1	si:dkey-35h6.1 [Source:ZFIN;Acc:ZDB-GENE-141216-112]	1010	1091	382	1251	448	345	952	1530	847	1861	335	1122.1634529451037	1348.1082050372922	586.3883713225791	1248.6056791714877	343.8969583678409	430.01475680659837	972.5349908245022	1082.0419206107592	940.058829061889	1356.2059509480691	269.203298705055	0.7160459441181478
ENSDARG00000103973	0.06531783399590567	0.9998677203561913	1.528453134333005	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	1	2	428	2	435	215	0	1	136	1	333	1.1110529237080233	2.4713257654212506	657.0005835760834	1.9961721489552162	333.9178055580598	267.98021076353234	0	0.7072169415756597	150.94214964866222	0.7287511826695697	267.596114832189	0.7062438592889048
ENSDARG00000045089	0.3963266751581496	0.9998677203561913	0.5099825512598849	13	20379392	20381485	-1	protein_coding	si:ch211-270n8.1	si:ch211-270n8.1 [Source:ZFIN;Acc:ZDB-GENE-081107-34]	896	1215	889	949	1347	309	872	925	1243	1708	446	995.503419642389	1501.3304024934098	1364.6577542035936	947.1836846792501	1033.9937565211644	385.14365174851855	890.8093613434515	654.1756709574852	1379.5668530388762	1244.7070199996251	358.402003649118	0.700069351994078
ENSDARG00000056909	0.4331662148509931	0.9998677203561913	0.7326775875823855	24	33552198	33578392	-1	protein_coding	LO018309.1	epidermal growth factor receptor-like [Source:NCBI gene;Acc:571431]	271	279	316	64	623	55	343	358	522	576	114	301.0953423248743	344.7499442762645	485.0751972197251	63.87750876656692	478.23170773027874	68.55307717206641	350.3986364000045	253.18366508408616	579.351486151483	419.76068121767213	91.60948075336199	0.6961393827229908
