ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1178	"ENSDARG00000101098"	NA	chrKN150051.1	-	1207	1587	1390	1587	986	1123
1179	"ENSDARG00000101098"	NA	chrKN150051.1	-	1207	1587	1408	1587	986	1123
1180	"ENSDARG00000101098"	NA	chrKN150051.1	-	1390	1587	1408	1587	986	1123
1181	"ENSDARG00000101464"	"CABZ01088864.1"	chrKN150039.1	-	266	763	679	763	78	159
1182	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	4556	5036	4556	4952	5112	5246
1183	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5706	5774	5742	5774	5508	5608
1184	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	6625	6961	6676	6961	6421	6518
1185	"ENSDARG00000113721"	NA	chrKZ116047.1	+	6742	7005	6742	6856	9112	9279
1186	"ENSDARG00000104516"	"polr3d"	chrKN150353.1	-	8380	8596	8439	8596	7674	7925
1187	"ENSDARG00000104516"	"polr3d"	chrKN150353.1	-	15007	15165	15008	15165	13921	13965
1188	"ENSDARG00000100478"	NA	chrKN150322.1	-	11765	11848	11773	11848	9527	9695
1189	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12455	12759	12649	12759	7695	12146
1190	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	13155	13212	13158	13212	12951	13069
1191	"ENSDARG00000099653"	NA	chrKN149818.1	-	10376	10545	10386	10545	3002	3097
1192	"ENSDARG00000099653"	NA	chrKN149818.1	-	13497	13599	13501	13599	13276	13419
1193	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17488	17608	17488	17550	17693	17901
1194	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	20709	21027	20709	20982	21116	21416
1195	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	21116	21433	21116	21416	21503	21611
1196	"ENSDARG00000113106"	"CABZ01080371.3"	chrKZ116034.1	+	26712	26869	26712	26860	27282	27407
1197	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	2808	3199	2808	2878	4349	4450
1198	"ENSDARG00000115982"	"CABZ01011673.1"	chrKN149749.1	-	30417	30526	30427	30526	29713	29833
1199	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	29023	29058	17590	18648
1200	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31641	31620	31641	17590	18648
1201	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31641	31620	31641	28932	29058
1202	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	39332	39532	39358	39532	36651	36792
1203	"ENSDARG00000110192"	"CABZ01081535.1"	chrKN149800.1	-	16406	16563	16411	16563	2018	2981
1204	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28820	29071	28947	29071	28357	28501
1205	"ENSDARG00000099568"	"CABZ01071056.1"	chrKN150361.1	-	11615	11767	11619	11767	9069	9225
1206	"ENSDARG00000099568"	"CABZ01071056.1"	chrKN150361.1	-	11615	11767	11623	11767	9069	9225
1207	"ENSDARG00000099568"	"CABZ01071056.1"	chrKN150361.1	-	11619	11767	11623	11767	9069	9225
1208	"ENSDARG00000101611"	NA	chrKN150170.1	+	12321	12411	12321	12396	12499	12599
1209	"ENSDARG00000101611"	NA	chrKN150170.1	+	12497	12969	12497	12968	13303	13386
1210	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	4742	5091	5041	5091	3050	3245
1211	"ENSDARG00000110900"	"CABZ01078606.1"	chrKN149959.1	+	6557	6649	6557	6643	8292	10983
1212	"ENSDARG00000115752"	"CABZ01028768.1"	chrKN150449.1	-	10064	10192	10132	10192	7094	7305
1213	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	34418	34655	34418	34476	38371	38545
1214	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40405	40222	40396	49028	49075
1215	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40658	40222	40396	49028	49075
1216	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40690	40222	40396	49028	49075
1217	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40658	40222	40405	49028	49075
1218	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40690	40222	40405	49028	49075
1219	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40690	40222	40658	49028	49075
1220	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40641	40744	40641	40658	49028	49075
1221	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40641	40744	40641	40690	49028	49075
