ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	16555	16601	11206	11402	16717	16760	1	2,0,0,0,0,0	13,29,9,8,13,14	0,0,0,0,0,0	8,13,12,12,17,19	195	282	1	1.0	0.182,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.03
2	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	9750	9924	11435	11609	6810	8923	13322	13496	2	0,1,0,0,0,0	0,0,0,2,1,2	0,0,0,0,0,0	0,0,0,0,1,2	323	323	1	1.0	NA,1.0,NA,0.0,0.0,0.0	NA,NA,NA,NA,0.0,0.0	0.25
3	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910	3	10,12,7,7,12,6	11,37,22,27,8,24	12,5,1,12,3,12	13,15,15,20,17,33	246	234	0.571160904304	1.0	0.464,0.236,0.232,0.198,0.588,0.192	0.468,0.241,0.06,0.363,0.144,0.257	0.063
4	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	42185	42359	205549	205723	28320	28494	207096	207143	4	0,0,0,0,0,0	0,0,0,0,0,1	0,0,0,0,1,1	0,0,1,3,0,0	323	323	1	1.0	NA,NA,NA,NA,NA,0.0	NA,NA,0.0,0.0,1.0,1.0	-0.5
5	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672	5	0,0,0,0,1,3	0,0,0,0,1,0	0,0,0,3,3,0	0,0,0,0,2,0	323	323	1	1.0	NA,NA,NA,NA,0.5,1.0	NA,NA,NA,1.0,0.6,NA	-0.05
6	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167828	167917	167994	168048	167538	167595	168131	168418	6	3,7,4,1,5,5	6,14,2,7,5,11	6,4,3,8,9,8	14,3,4,4,9,9	203	238	0.220036280323	1.0	0.37,0.37,0.701,0.143,0.54,0.348	0.334,0.61,0.468,0.701,0.54,0.51	-0.115
7	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471419	37471496	37471649	37471911	37470378	37470822	37473277	37473474	7	16,18,7,3,8,18	86,49,60,34,36,60	13,10,10,7,9,11	27,50,37,48,47,75	226	411	0.932630220608	1.0	0.253,0.4,0.175,0.138,0.288,0.353	0.467,0.267,0.33,0.21,0.258,0.211	-0.023
8	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609	8	57,72,39,81,58,64	36,59,52,46,59,61	51,51,49,63,52,92	23,37,40,78,25,74	267	249	0.418020688851	1.0	0.596,0.532,0.412,0.622,0.478,0.495	0.674,0.562,0.533,0.43,0.66,0.537	-0.044
9	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874	9	21,46,14,27,32,35	46,62,56,48,57,46	27,22,25,56,27,44	42,60,25,67,36,95	225	267	0.433849469276	1.0	0.351,0.468,0.229,0.4,0.4,0.474	0.433,0.303,0.543,0.498,0.471,0.355	-0.047
10	"ENSDARG00000040803"	"lactb"	chr25	+	33257448	33257515	33258653	33258844	33256011	33256563	33259472	33259779	10	17,8,7,3,11,11	24,36,24,17,44,43	11,8,4,15,10,16	34,17,21,44,36,55	216	340	0.906657613566	1.0	0.527,0.259,0.315,0.217,0.282,0.287	0.337,0.426,0.231,0.349,0.304,0.314	-0.012
11	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203439	202322	202507	203904	204019	11	118,155,113,92,105,108	6,15,10,11,23,8	118,92,50,141,103,143	16,12,7,20,7,20	242	242	0.318905050502	1.0	0.952,0.912,0.919,0.893,0.82,0.931	0.881,0.885,0.877,0.876,0.936,0.877	0.016
12	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37454315	37454409	37454627	37454792	37453996	37454178	37455015	37455089	12	23,19,16,1,5,8	15,28,33,14,19,17	16,14,2,11,21,8	23,8,4,9,25,17	243	314	0.1124179207	1.0	0.665,0.467,0.385,0.084,0.254,0.378	0.473,0.693,0.393,0.612,0.52,0.378	-0.139
13	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457464	37457569	37457826	37457942	37457288	37457348	37458060	37458190	13	21,25,23,10,12,12	6,10,4,2,6,3	17,15,4,19,20,27	1,5,1,7,7,2	254	265	0.308767305172	1.0	0.785,0.723,0.857,0.839,0.676,0.807	0.947,0.758,0.807,0.739,0.749,0.934	-0.041
14	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458060	37458190	37458430	37458527	37457826	37457942	37458600	37458676	14	6,11,8,4,6,2	9,8,0,2,2,0	5,6,1,8,7,3	2,4,2,1,3,3	279	246	0.704821766741	1.0	0.37,0.548,1.0,0.638,0.726,1.0	0.688,0.569,0.306,0.876,0.673,0.469	0.117
