ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
24976	"ENSDARG00000101098"	NA	chrKN150051.1	-	991	1108	85	273	1408	1587
24977	"ENSDARG00000101098"	NA	chrKN150051.1	-	991	1123	85	273	1408	1587
24978	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	5155	5246	4849	4952	5379	6296
24979	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	4948	4045	4221	5168	5326
24980	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	5326	4045	4221	5575	5745
24981	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	6274	6308	5967	6102	7075	7189
24982	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	16555	16616	12096	12229	16717	16784
24983	"ENSDARG00000103973"	"CABZ01051602.1"	chrKN150654.1	-	12679	12813	12091	12511	14417	14617
24984	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12455	12461	7695	12146	12649	12759
24985	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17488	17550	15386	16064	17693	17901
24986	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17693	17901	17488	17550	19021	19509
24987	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	20709	20982	20269	20318	21116	21416
24988	"ENSDARG00000100052"	"cckb"	chrKN150698.1	+	4003	4051	2792	3018	8018	8412
24989	"ENSDARG00000101347"	"CABZ01068251.1"	chrKN149909.1	-	26265	26310	22663	22784	26434	26543
24990	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	17590	18648	31484	31526
24991	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29086	17590	18648	31620	31641
24992	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29178	17590	18648	31620	31641
24993	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29150	29178	28932	29058	31620	31641
24994	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31526	17590	18648	31620	31641
