ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
23874	"ENSDARG00000101098"	NA	chrKN150051.1	-	991	1123	85	273	1408	1587
23875	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	5155	5246	4849	4952	5379	6296
23876	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	4948	4045	4221	5168	5326
23877	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	6274	6308	5967	6102	7075	7189
23878	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	5967	6105	7598	7712
23879	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	16555	16616	12096	12229	16717	16784
23880	"ENSDARG00000103973"	"CABZ01051602.1"	chrKN150654.1	-	12679	12813	12091	12511	14417	14617
23881	"ENSDARG00000109774"	NA	chrKZ116043.1	+	3729	3852	2645	2849	4109	8584
23882	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	20709	20982	20269	20318	21116	21416
23883	"ENSDARG00000100052"	"cckb"	chrKN150698.1	+	4003	4051	2792	3018	8018	8412
23884	"ENSDARG00000100769"	"CABZ01085201.1"	chrKN150062.1	+	26923	27052	22170	22245	27552	27607
23885	"ENSDARG00000101347"	"CABZ01068251.1"	chrKN149909.1	-	26265	26310	22663	22784	26434	26543
23886	"ENSDARG00000115982"	"CABZ01011673.1"	chrKN149749.1	-	30417	30526	29713	29833	36033	36096
23887	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	17590	18648	31484	31526
23888	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29086	17590	18648	31620	31641
23889	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29023	29058	17590	18648	31620	31641
23890	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29023	29086	17590	18648	31620	31641
23891	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31526	17590	18648	31620	31641
23892	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31526	28932	29058	31620	31641
23893	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21770	20488	21274	28357	28501
23894	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21840	20488	21274	28357	28501
23895	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28947	29071	28357	28501	31494	31870
23896	"ENSDARG00000100562"	"CABZ01080702.1"	chrKN149710.1	+	24138	24192	22213	22436	26008	29401
23897	"ENSDARG00000099568"	"CABZ01071056.1"	chrKN150361.1	-	6771	6874	3743	3874	8048	8145
23898	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	4742	4796	3050	3245	5041	5091
23899	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	5108	5348	12718	12826
23900	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	5108	5348	13226	13340
23901	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5741	5846	5108	5348	12718	12826
