GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000005891	0	-0.12920670401872328	cyb5r3	cytochrome b5 reductase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3281]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000011890	0	-0.15928450860846652	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000014727	0	-0.20339589298970928	acox1	acyl-CoA oxidase 1, palmitoyl [Source:ZFIN;Acc:ZDB-GENE-041010-219]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000015228	0	-0.4543843061246361	ero1a	endoplasmic reticulum oxidoreductase alpha [Source:NCBI gene;Acc:393321]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000017034	0	-0.2132798956398713	sqor	sulfide quinone oxidoreductase [Source:ZFIN;Acc:ZDB-GENE-050417-436]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000020054	0	-0.32570484384395426	aox6	aldehyde oxidase 6 [Source:ZFIN;Acc:ZDB-GENE-050208-742]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000020395	0	-0.046041273245170704	mical2b	microtubule associated monooxygenase, calponin and LIM domain containing 2b [Source:NCBI gene;Acc:569564]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000021154	0	-0.16074395302841749	zgc:92040	zgc:92040 [Source:ZFIN;Acc:ZDB-GENE-040718-87]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000038845	0	-0.11701178348105493	ldhd	lactate dehydrogenase D [Source:ZFIN;Acc:ZDB-GENE-030131-6140]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000053087	0	-0.07294381573204944	mthfr	methylenetetrahydrofolate reductase (NAD(P)H) [Source:ZFIN;Acc:ZDB-GENE-041111-215]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000055240	0	-0.01901236779913067	xdh	xanthine dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-070719-9]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000060210	0	-0.18925783895026735	d2hgdh	D-2-hydroxyglutarate dehydrogenase [Source:NCBI gene;Acc:565889]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000060380	0	-0.05882521114901061	coq6	coenzyme Q6 monooxygenase [Source:NCBI gene;Acc:751691]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000069074	0	-0.19376021132682578	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000079664	0	-0.2628447641613057	zgc:172341	zgc:172341 [Source:ZFIN;Acc:ZDB-GENE-080204-116]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000086512	0	-0.08457387076905108	prodhb	proline dehydrogenase (oxidase) 1b [Source:ZFIN;Acc:ZDB-GENE-101116-1]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000102403	0	-0.02824135411894612	cry2	cryptochrome circadian regulator 2 [Source:ZFIN;Acc:ZDB-GENE-010426-6]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000019498	1	-0.5522690924128613	cry5	cryptochrome circadian regulator 5 [Source:ZFIN;Acc:ZDB-GENE-010426-8]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000045768	1	-0.18756608717163117	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
GO:0071949	FAD binding	20	3	0.19	0.00079	ENSDARG00000091131	1	-0.7330900489321739	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
GO:0016491	oxidoreductase activity	459	12	4.27	0.00098	ENSDARG00000000423	0	-0.04826318872197985	si:ch73-314g15.3	si:ch73-314g15.3 [Source:ZFIN;Acc:ZDB-GENE-030616-19]
GO:0016491	oxidoreductase activity	459	12	4.27	0.00098	ENSDARG00000001169	0	-0.1579141704635898	hsd17b8	hydroxysteroid (17-beta) dehydrogenase 8 [Source:ZFIN;Acc:ZDB-GENE-010110-1]
