ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	8092	8206	5967	6102	8711	9353	1	29,18,22,38,19,19	13,11,13,27,3,12	14,21,35,14,43,36	8,18,18,5,23,13	263	263	0.964490517627	1.0	0.69,0.621,0.629,0.585,0.864,0.613	0.636,0.538,0.66,0.737,0.652,0.735	0.007
2	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	8092	8206	7075	7189	8711	9353	2	38,26,29,51,32,28	16,10,7,23,10,4	35,29,48,26,63,57	9,13,10,17,24,17	263	263	0.789776313448	1.0	0.704,0.722,0.806,0.689,0.762,0.875	0.795,0.69,0.828,0.605,0.724,0.77	0.024
3	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	9750	9924	11435	11609	6810	8923	13322	13496	3	2,0,0,0,0,0	0,0,0,6,1,0	0,0,0,0,0,0	0,0,2,0,3,0	323	323	1	1.0	1.0,NA,NA,0.0,0.0,NA	NA,NA,0.0,NA,0.0,NA	0.333
4	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	28357	28501	20488	21274	28820	29071	4	41,48,29,82,51,35	40,30,26,44,44,25	51,56,64,44,77,68	28,49,48,39,53,45	293	278	0.919701243499	1.0	0.493,0.603,0.514,0.639,0.524,0.571	0.633,0.52,0.559,0.517,0.58,0.589	-0.009
5	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28357	28501	28820	29071	21691	21820	31494	31870	5	54,39,41,83,57,35	25,20,20,42,29,20	45,53,62,74,89,64	25,26,36,31,42,35	400	293	1	1.0	0.613,0.588,0.6,0.591,0.59,0.562	0.569,0.599,0.558,0.636,0.608,0.573	0.0
6	"ENSDARG00000104276"	NA	chrKN150326.1	-	96102	96203	102054	102197	91206	91364	104319	104400	6	14,23,9,27,8,20	14,14,15,20,16,10	10,11,17,12,24,21	9,17,25,20,24,18	292	250	0.315813989723	1.0	0.461,0.584,0.339,0.536,0.3,0.631	0.488,0.356,0.368,0.339,0.461,0.5	0.056
7	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910	7	6,11,11,14,10,8	37,15,12,20,28,13	11,13,13,15,7,15	19,22,30,29,29,30	246	234	0.819951857008	1.0	0.134,0.411,0.466,0.4,0.254,0.369	0.355,0.36,0.292,0.33,0.187,0.322	0.031
8	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	55044	55141	57764	57910	51719	51804	58292	58376	8	21,22,30,31,20,15	22,15,15,24,31,22	7,28,12,16,27,31	26,36,21,36,28,24	295	246	0.0609940915602	0.8459425617	0.443,0.55,0.625,0.519,0.35,0.362	0.183,0.393,0.323,0.27,0.446,0.519	0.119
10	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672	10	1,0,0,4,4,0	4,0,0,0,0,0	0,1,0,0,2,2	4,4,0,0,2,0	323	323	1	1.0	0.2,NA,NA,1.0,1.0,NA	0.0,0.2,NA,NA,0.5,1.0	0.308
11	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609	11	61,56,37,94,74,57	55,47,36,57,54,48	61,71,99,68,93,87	33,52,68,40,72,70	267	249	0.304374512301	1.0	0.508,0.526,0.489,0.606,0.561,0.525	0.633,0.56,0.576,0.613,0.546,0.537	-0.042
12	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874	12	31,25,17,41,42,24	54,38,37,74,56,41	30,28,42,61,64,56	41,42,60,47,76,61	225	267	0.0186657067965	0.502738852909	0.405,0.438,0.353,0.397,0.471,0.41	0.465,0.442,0.454,0.606,0.5,0.521	-0.086
