GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000001968	0		dock5	dedicator of cytokinesis 5 [Source:ZFIN;Acc:ZDB-GENE-080108-4]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000002607	0		unm_sa1614	un-named sa1614 [Source:ZFIN;Acc:ZDB-GENE-120411-1]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000002656	0		stxbp5a	syntaxin binding protein 5a (tomosyn) [Source:ZFIN;Acc:ZDB-GENE-041001-161]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000003520	0		tbc1d14	TBC1 domain family, member 14 [Source:ZFIN;Acc:ZDB-GENE-030131-6136]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000005451	0		gdi2	GDP dissociation inhibitor 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2485]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000005482	0		rapgef2	Rap guanine nucleotide exchange factor (GEF) 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6959]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000005861	0		ralgapa2	Ral GTPase activating protein, alpha subunit 2 (catalytic) [Source:ZFIN;Acc:ZDB-GENE-131122-56]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000007278	0		ect2	epithelial cell transforming 2 [Source:ZFIN;Acc:ZDB-GENE-040831-2]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000008548	0		arhgap12a	Rho GTPase activating protein 12a [Source:ZFIN;Acc:ZDB-GENE-050809-38]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000008727	0		ranbp3a	RAN binding protein 3a [Source:ZFIN;Acc:ZDB-GENE-040426-1132]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000009610	0		rgs12a	regulator of G protein signaling 12a [Source:ZFIN;Acc:ZDB-GENE-030131-2614]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000009693	0		llgl1	LLGL scribble cell polarity complex component 1 [Source:ZFIN;Acc:ZDB-GENE-060825-69]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000010181	0		asap2a	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2a [Source:ZFIN;Acc:ZDB-GENE-041210-256]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000010654	0		arhgap42b	Rho GTPase activating protein 42b [Source:ZFIN;Acc:ZDB-GENE-120217-5]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000011333	0		arhgap33	Rho GTPase activating protein 33 [Source:ZFIN;Acc:ZDB-GENE-121105-12]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000011845	0		chn2	chimerin 2 [Source:ZFIN;Acc:ZDB-GENE-091020-5]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000012184	0		zgc:162872	zgc:162872 [Source:ZFIN;Acc:ZDB-GENE-081022-1]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000013667	0		tbck	TBC1 domain containing kinase [Source:ZFIN;Acc:ZDB-GENE-070112-1062]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000014003	0		stard8	StAR-related lipid transfer (START) domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-030131-9447]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000014817	0		ranbp1	RAN binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2548]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000015627	0		rgs6	regulator of G protein signaling 6 [Source:ZFIN;Acc:ZDB-GENE-030131-31]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000017748	0		arhgap29b	Rho GTPase activating protein 29b [Source:NCBI gene;Acc:378998]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000019360	0		sec23b	SEC23 homolog B, coat complex II component [Source:ZFIN;Acc:ZDB-GENE-030131-5479]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000019564	0		asap2b	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5060]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000020134	0		sipa1l1	signal-induced proliferation-associated 1 like 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9909]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000020488	0		arhgap17a	Rho GTPase activating protein 17a [Source:ZFIN;Acc:ZDB-GENE-050417-56]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000021255	0		arhgap22	Rho GTPase activating protein 22 [Source:ZFIN;Acc:ZDB-GENE-090313-87]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000021896	0		asap3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:ZFIN;Acc:ZDB-GENE-050913-39]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000024874	0		dock4b	dedicator of cytokinesis 4b [Source:ZFIN;Acc:ZDB-GENE-060130-74]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000025920	0		tiam1b	TIAM Rac1 associated GEF 1b [Source:ZFIN;Acc:ZDB-GENE-120221-1]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000026329	0		arhgap29a	Rho GTPase activating protein 29a [Source:ZFIN;Acc:ZDB-GENE-030131-9510]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000026482	0		arhgap12b	Rho GTPase activating protein 12b [Source:ZFIN;Acc:ZDB-GENE-040426-1727]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000029372	0		rasa4	RAS p21 protein activator 4 [Source:ZFIN;Acc:ZDB-GENE-060526-349]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000029463	0		asap1a	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1a [Source:ZFIN;Acc:ZDB-GENE-070912-129]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000030020	0		agfg1a	ArfGAP with FG repeats 1a [Source:ZFIN;Acc:ZDB-GENE-030131-5808]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000030269	0		grtp1b	growth hormone regulated TBC protein 1b [Source:ZFIN;Acc:ZDB-GENE-050417-346]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000031302	0		smap1	small ArfGAP 1 [Source:ZFIN;Acc:ZDB-GENE-060920-2]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000035420	0		ophn1	oligophrenin 1 [Source:ZFIN;Acc:ZDB-GENE-040718-464]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000035535	0		rasa1a	RAS p21 protein activator (GTPase activating protein) 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4694]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000036212	0		tbc1d5	TBC1 domain family, member 5 [Source:ZFIN;Acc:ZDB-GENE-040426-1197]
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000036774	0		rgs12b	regulator of G protein signaling 12b [Source:ZFIN;Acc:ZDB-GENE-031006-13]
