GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000005775	0		scn8aa	sodium channel, voltage gated, type VIII, alpha subunit a [Source:ZFIN;Acc:ZDB-GENE-000828-1]
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000018032	0		scn8ab	sodium channel, voltage gated, type VIII, alpha subunit b [Source:ZFIN;Acc:ZDB-GENE-060906-2]
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000034588	0		scn4ab	sodium channel, voltage-gated, type IV, alpha, b [Source:NCBI gene;Acc:564977]
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000078959	0		tpcn3	two pore segment channel 3 [Source:ZFIN;Acc:ZDB-GENE-141215-16]
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000089913	0		cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:ZFIN;Acc:ZDB-GENE-090514-2]
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000090724	0		scn12aa	sodium channel, voltage gated, type XII, alpha a [Source:ZFIN;Acc:ZDB-GENE-060908-2]
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000099708	0		cacna1hb	calcium channel, voltage-dependent, T type, alpha 1H subunit b [Source:ZFIN;Acc:ZDB-GENE-090312-128]
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000102312	0		scn5lab	sodium channel, voltage gated, type V-like, alpha b [Source:ZFIN;Acc:ZDB-GENE-060908-3]
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000115741	0		LO017974.1	
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000060222	1		scn1ba	sodium channel, voltage-gated, type I, beta a [Source:ZFIN;Acc:ZDB-GENE-060503-604]
GO:0005248	voltage-gated sodium channel activity	11	2	0.1	0.0039	ENSDARG00000062744	1		scn1lab	sodium channel, voltage-gated, type I like, alpha b [Source:ZFIN;Acc:ZDB-GENE-060906-1]
GO:0005244	voltage-gated ion channel activity	86	4	0.74	0.0065	ENSDARG00000003269	0		clcn3	chloride channel 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1699]
GO:0005244	voltage-gated ion channel activity	86	4	0.74	0.0065	ENSDARG00000003695	0		vdac3	voltage-dependent anion channel 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2380]
GO:0005244	voltage-gated ion channel activity	86	4	0.74	0.0065	ENSDARG00000005775	0		scn8aa	sodium channel, voltage gated, type VIII, alpha subunit a [Source:ZFIN;Acc:ZDB-GENE-000828-1]
GO:0005244	voltage-gated ion channel activity	86	4	0.74	0.0065	ENSDARG00000006923	0		cacna1ab	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, b [Source:ZFIN;Acc:ZDB-GENE-090514-3]
