GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0007160	cell-matrix adhesion	43	5	0.37	2.9e-05	ENSDARG00000002494,ENSDARG00000008969,ENSDARG00000011299,ENSDARG00000016939,ENSDARG00000019117,ENSDARG00000021789,ENSDARG00000022689,ENSDARG00000028507,ENSDARG00000031588,ENSDARG00000037281,ENSDARG00000040985,ENSDARG00000045420,ENSDARG00000052652,ENSDARG00000055539,ENSDARG00000056964,ENSDARG00000060415,ENSDARG00000061862,ENSDARG00000068710,ENSDARG00000071863,ENSDARG00000075707,ENSDARG00000076386,ENSDARG00000088590,ENSDARG00000095640,ENSDARG00000097080,ENSDARG00000097539,ENSDARG00000098256,ENSDARG00000098736,ENSDARG00000100106,ENSDARG00000101012,ENSDARG00000101200,ENSDARG00000101930,ENSDARG00000103129,ENSDARG00000103498,ENSDARG00000103634,ENSDARG00000103650,ENSDARG00000103973,ENSDARG00000104324,ENSDARG00000104642,ENSDARG00000105341,ENSDARG00000105391,ENSDARG00000110394,ENSDARG00000113076,ENSDARG00000116430
GO:1990266	neutrophil migration	46	4	0.39	0.0006	ENSDARG00000004301,ENSDARG00000018283,ENSDARG00000018569,ENSDARG00000028401,ENSDARG00000030608,ENSDARG00000038010,ENSDARG00000041835,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000041959,ENSDARG00000044001,ENSDARG00000051975,ENSDARG00000052779,ENSDARG00000054975,ENSDARG00000067916,ENSDARG00000068653,ENSDARG00000070121,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074283,ENSDARG00000074772,ENSDARG00000074851,ENSDARG00000075045,ENSDARG00000076196,ENSDARG00000077850,ENSDARG00000079802,ENSDARG00000090873,ENSDARG00000092283,ENSDARG00000092423,ENSDARG00000093608,ENSDARG00000094511,ENSDARG00000095409,ENSDARG00000097826,ENSDARG00000098367,ENSDARG00000098700,ENSDARG00000098752,ENSDARG00000099982,ENSDARG00000100484,ENSDARG00000101040,ENSDARG00000102299,ENSDARG00000102332,ENSDARG00000102776,ENSDARG00000103466,ENSDARG00000104372,ENSDARG00000107511,ENSDARG00000113315
GO:0006954	inflammatory response	97	5	0.82	0.0013	ENSDARG00000002552,ENSDARG00000003244,ENSDARG00000004539,ENSDARG00000004586,ENSDARG00000007289,ENSDARG00000007358,ENSDARG00000009473,ENSDARG00000010276,ENSDARG00000010785,ENSDARG00000014490,ENSDARG00000015653,ENSDARG00000016188,ENSDARG00000018569,ENSDARG00000019521,ENSDARG00000023526,ENSDARG00000026925,ENSDARG00000035552,ENSDARG00000036041,ENSDARG00000036888,ENSDARG00000038278,ENSDARG00000040076,ENSDARG00000040249,ENSDARG00000041835,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000041959,ENSDARG00000042816,ENSDARG00000044415,ENSDARG00000045443,ENSDARG00000045673,ENSDARG00000052039,ENSDARG00000052148,ENSDARG00000052322,ENSDARG00000053938,ENSDARG00000054975,ENSDARG00000055276,ENSDARG00000057180,ENSDARG00000058045,ENSDARG00000058829,ENSDARG00000062204,ENSDARG00000062788,ENSDARG00000068431,ENSDARG00000069945,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000075045,ENSDARG00000077138,ENSDARG00000077982,ENSDARG00000078602,ENSDARG00000078605,ENSDARG00000086314,ENSDARG00000089383,ENSDARG00000089645,ENSDARG00000090119,ENSDARG00000090873,ENSDARG00000091280,ENSDARG00000092283,ENSDARG00000092423,ENSDARG00000093608,ENSDARG00000093750,ENSDARG00000094511,ENSDARG00000095640,ENSDARG00000095939,ENSDARG00000097250,ENSDARG00000097816,ENSDARG00000097838,ENSDARG00000097872,ENSDARG00000098481,ENSDARG00000098486,ENSDARG00000098508,ENSDARG00000098700,ENSDARG00000099817,ENSDARG00000099839,ENSDARG00000099936,ENSDARG00000099982,ENSDARG00000100095,ENSDARG00000100184,ENSDARG00000100484,ENSDARG00000100649,ENSDARG00000101040,ENSDARG00000101621,ENSDARG00000101914,ENSDARG00000102119,ENSDARG00000102299,ENSDARG00000102493,ENSDARG00000102583,ENSDARG00000102776,ENSDARG00000103308,ENSDARG00000103466,ENSDARG00000103775,ENSDARG00000104045,ENSDARG00000104359,ENSDARG00000105263,ENSDARG00000105486,ENSDARG00000110362,ENSDARG00000116628
GO:0071346	cellular response to interferon-gamma	14	2	0.12	0.0061	ENSDARG00000041835,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000090873,ENSDARG00000092283,ENSDARG00000093608,ENSDARG00000094511,ENSDARG00000099982,ENSDARG00000100484,ENSDARG00000101040,ENSDARG00000103466
GO:0048247	lymphocyte chemotaxis	14	2	0.12	0.0061	ENSDARG00000041835,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000090873,ENSDARG00000092283,ENSDARG00000093608,ENSDARG00000094511,ENSDARG00000099982,ENSDARG00000100484,ENSDARG00000101040,ENSDARG00000103466
GO:0006879	cellular iron ion homeostasis	14	2	0.12	0.0061	ENSDARG00000007975,ENSDARG00000012609,ENSDARG00000015551,ENSDARG00000018461,ENSDARG00000021439,ENSDARG00000045586,ENSDARG00000073936,ENSDARG00000076221,ENSDARG00000077360,ENSDARG00000094210,ENSDARG00000095577,ENSDARG00000102175,ENSDARG00000111714,ENSDARG00000113150
GO:0006826	iron ion transport	15	2	0.13	0.0070	ENSDARG00000000241,ENSDARG00000007975,ENSDARG00000010312,ENSDARG00000010425,ENSDARG00000013240,ENSDARG00000015551,ENSDARG00000016771,ENSDARG00000018461,ENSDARG00000024295,ENSDARG00000045586,ENSDARG00000073936,ENSDARG00000076221,ENSDARG00000077360,ENSDARG00000094210,ENSDARG00000113150
GO:0042742	defense response to bacterium	47	3	0.4	0.0073	ENSDARG00000003570,ENSDARG00000004586,ENSDARG00000010149,ENSDARG00000010423,ENSDARG00000016771,ENSDARG00000018569,ENSDARG00000024032,ENSDARG00000025607,ENSDARG00000026925,ENSDARG00000036084,ENSDARG00000038010,ENSDARG00000043093,ENSDARG00000044332,ENSDARG00000044415,ENSDARG00000045673,ENSDARG00000052039,ENSDARG00000052322,ENSDARG00000052673,ENSDARG00000054975,ENSDARG00000055290,ENSDARG00000056874,ENSDARG00000058045,ENSDARG00000058673,ENSDARG00000062998,ENSDARG00000068382,ENSDARG00000068966,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000068995,ENSDARG00000070280,ENSDARG00000074246,ENSDARG00000075014,ENSDARG00000076148,ENSDARG00000089187,ENSDARG00000090615,ENSDARG00000092044,ENSDARG00000092381,ENSDARG00000095193,ENSDARG00000096355,ENSDARG00000098700,ENSDARG00000100184,ENSDARG00000102894,ENSDARG00000104654,ENSDARG00000113707,ENSDARG00000115875,ENSDARG00000116628
GO:0071347	cellular response to interleukin-1	16	2	0.14	0.0079	ENSDARG00000025949,ENSDARG00000041835,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000053131,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000090873,ENSDARG00000092283,ENSDARG00000093608,ENSDARG00000094511,ENSDARG00000099982,ENSDARG00000100484,ENSDARG00000101040,ENSDARG00000103466
GO:0002548	monocyte chemotaxis	16	2	0.14	0.0079	ENSDARG00000041835,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000044001,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000077850,ENSDARG00000090873,ENSDARG00000092283,ENSDARG00000093608,ENSDARG00000094511,ENSDARG00000099982,ENSDARG00000100484,ENSDARG00000101040,ENSDARG00000103466
GO:0010770	positive regulation of cell morphogenesi...	16	2	0.14	0.0079	ENSDARG00000006385,ENSDARG00000008170,ENSDARG00000014976,ENSDARG00000015278,ENSDARG00000016016,ENSDARG00000017211,ENSDARG00000018817,ENSDARG00000026985,ENSDARG00000030367,ENSDARG00000036985,ENSDARG00000077090,ENSDARG00000079892,ENSDARG00000094799,ENSDARG00000098233,ENSDARG00000098508,ENSDARG00000101085
GO:0051651	maintenance of location in cell	17	2	0.14	0.0089	ENSDARG00000005254,ENSDARG00000007975,ENSDARG00000011661,ENSDARG00000012747,ENSDARG00000015551,ENSDARG00000018461,ENSDARG00000019707,ENSDARG00000037361,ENSDARG00000040912,ENSDARG00000045586,ENSDARG00000073936,ENSDARG00000076221,ENSDARG00000077360,ENSDARG00000077777,ENSDARG00000093886,ENSDARG00000094210,ENSDARG00000104181
GO:0010950	positive regulation of endopeptidase act...	17	2	0.14	0.0089	ENSDARG00000002165,ENSDARG00000004325,ENSDARG00000012234,ENSDARG00000014956,ENSDARG00000020623,ENSDARG00000033144,ENSDARG00000055966,ENSDARG00000058325,ENSDARG00000060238,ENSDARG00000062052,ENSDARG00000068431,ENSDARG00000069290,ENSDARG00000070272,ENSDARG00000089129,ENSDARG00000089307,ENSDARG00000090234,ENSDARG00000114237
GO:0043547	positive regulation of GTPase activity	51	3	0.43	0.0091	ENSDARG00000004015,ENSDARG00000005861,ENSDARG00000007278,ENSDARG00000013667,ENSDARG00000019564,ENSDARG00000021896,ENSDARG00000027740,ENSDARG00000030269,ENSDARG00000035535,ENSDARG00000036212,ENSDARG00000036420,ENSDARG00000037408,ENSDARG00000040712,ENSDARG00000041835,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000051836,ENSDARG00000056080,ENSDARG00000057218,ENSDARG00000059177,ENSDARG00000060096,ENSDARG00000061757,ENSDARG00000062049,ENSDARG00000062081,ENSDARG00000062221,ENSDARG00000062385,ENSDARG00000067801,ENSDARG00000070565,ENSDARG00000070839,ENSDARG00000070873,ENSDARG00000071213,ENSDARG00000071499,ENSDARG00000073665,ENSDARG00000074772,ENSDARG00000076801,ENSDARG00000077666,ENSDARG00000079467,ENSDARG00000090873,ENSDARG00000092283,ENSDARG00000093608,ENSDARG00000094511,ENSDARG00000096701,ENSDARG00000098233,ENSDARG00000098967,ENSDARG00000099982,ENSDARG00000100293,ENSDARG00000100484,ENSDARG00000101040,ENSDARG00000101735,ENSDARG00000102070,ENSDARG00000103466
GO:0048675	axon extension	19	2	0.16	0.0111	ENSDARG00000003655,ENSDARG00000004452,ENSDARG00000004459,ENSDARG00000004954,ENSDARG00000008170,ENSDARG00000014569,ENSDARG00000015404,ENSDARG00000016016,ENSDARG00000017211,ENSDARG00000022569,ENSDARG00000040031,ENSDARG00000041959,ENSDARG00000051888,ENSDARG00000055543,ENSDARG00000058746,ENSDARG00000062352,ENSDARG00000067801,ENSDARG00000098508,ENSDARG00000111106
GO:0071356	cellular response to tumor necrosis fact...	20	2	0.17	0.0123	ENSDARG00000018569,ENSDARG00000036784,ENSDARG00000041835,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000069482,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000075536,ENSDARG00000076800,ENSDARG00000090873,ENSDARG00000092283,ENSDARG00000093608,ENSDARG00000094511,ENSDARG00000099982,ENSDARG00000100484,ENSDARG00000101036,ENSDARG00000101040,ENSDARG00000103466
GO:1990138	neuron projection extension	20	2	0.17	0.0123	ENSDARG00000003655,ENSDARG00000004452,ENSDARG00000004459,ENSDARG00000004954,ENSDARG00000008170,ENSDARG00000014569,ENSDARG00000015404,ENSDARG00000016016,ENSDARG00000017211,ENSDARG00000022569,ENSDARG00000040031,ENSDARG00000041959,ENSDARG00000051888,ENSDARG00000055543,ENSDARG00000058746,ENSDARG00000061149,ENSDARG00000062352,ENSDARG00000067801,ENSDARG00000098508,ENSDARG00000111106
