GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000000086	0		itsn1	intersectin 1 (SH3 domain protein) [Source:ZFIN;Acc:ZDB-GENE-030616-226]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000000161	0		itsn2a	intersectin 2a [Source:ZFIN;Acc:ZDB-GENE-041014-84]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000000189	0		sema6e	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6E [Source:ZFIN;Acc:ZDB-GENE-040724-119]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000000369	0		prkag3b	protein kinase, AMP-activated, gamma 3b non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060421-6938]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000000370	0		triob	trio Rho guanine nucleotide exchange factor b [Source:ZFIN;Acc:ZDB-GENE-030616-399]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000001776	0		stim2b	stromal interaction molecule 2b [Source:ZFIN;Acc:ZDB-GENE-120404-3]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000001818	0		c3b.2	complement component c3b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3063]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000001933	0		prkag2b	protein kinase, AMP-activated, gamma 2 non-catalytic subunit b [Source:ZFIN;Acc:ZDB-GENE-070912-442]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000002077	0		mnat1	MNAT1 component of CDK activating kinase [Source:ZFIN;Acc:ZDB-GENE-041010-203]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000002165	0		psme1	proteasome activator subunit 1 [Source:ZFIN;Acc:ZDB-GENE-991110-17]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000002463	0		arhgef37	Rho guanine nucleotide exchange factor (GEF) 37 [Source:ZFIN;Acc:ZDB-GENE-100514-3]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000002483	0		wnt7ab	wingless-type MMTV integration site family, member 7Ab [Source:ZFIN;Acc:ZDB-GENE-100922-44]
GO:0098772	molecular function regulator	552	7	3.09	0.032	ENSDARG00000002607	0		unm_sa1614	un-named sa1614 [Source:ZFIN;Acc:ZDB-GENE-120411-1]
