ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	8092	8206	5967	6102	8711	9353	1	17,16,17,37,17,42	11,9,7,26,11,18	13,20,33,14,42,35	8,18,18,5,23,13	263	263	0.870742726944	1.0	0.607,0.64,0.708,0.587,0.607,0.7	0.619,0.526,0.647,0.737,0.646,0.729	-0.009
2	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	8092	8206	7075	7189	8711	9353	2	24,21,32,42,33,56	18,9,7,13,15,16	34,28,46,26,62,56	8,13,10,17,23,17	263	263	0.759370863303	1.0	0.571,0.7,0.821,0.764,0.687,0.778	0.81,0.683,0.821,0.605,0.729,0.767	-0.016
4	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	28357	28501	20488	21274	28820	29071	4	42,32,28,41,44,64	21,27,23,37,32,59	50,55,64,44,77,67	28,48,47,38,52,44	293	278	0.571047933257	1.0	0.655,0.529,0.536,0.513,0.566,0.507	0.629,0.521,0.564,0.523,0.584,0.591	-0.018
5	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28357	28501	28820	29071	21691	21820	31494	31870	5	23,22,15,12,25,23	25,14,18,18,33,42	8,25,24,31,39,26	24,25,36,31,42,34	298	293	0.821474389524	1.0	0.475,0.607,0.45,0.396,0.427,0.35	0.247,0.496,0.396,0.496,0.477,0.429	0.027
6	"ENSDARG00000104343"	"ppic"	chrKN150596.1	+	19939	20053	20935	21029	17880	18545	22195	22380	6	13,12,8,13,16,19	23,24,12,15,23,53	7,9,33,15,21,29	32,15,33,29,31,25	263	243	0.497423219847	1.0	0.343,0.316,0.381,0.445,0.391,0.249	0.168,0.357,0.48,0.323,0.385,0.517	-0.017
7	"ENSDARG00000104276"	NA	chrKN150326.1	-	96102	96203	102054	102197	91206	91364	104319	104400	7	13,13,15,19,22,21	11,17,3,9,14,18	10,11,16,12,24,21	9,17,25,20,24,18	292	250	0.0305492262449	0.651623403848	0.503,0.396,0.811,0.644,0.574,0.5	0.488,0.356,0.354,0.339,0.461,0.5	0.155
8	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910	8	12,5,1,12,3,12	13,15,15,20,17,33	11,12,13,14,7,15	19,22,30,29,29,30	246	234	0.436933774338	1.0	0.468,0.241,0.06,0.363,0.144,0.257	0.355,0.342,0.292,0.315,0.187,0.322	-0.047
10	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672	10	0,0,0,2,3,0	0,0,0,0,0,0	0,1,0,0,2,1	0,4,0,0,1,0	298	298	1	1.0	NA,NA,NA,1.0,1.0,NA	NA,0.2,NA,NA,0.667,1.0	0.378
11	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471419	37471496	37471649	37471911	37470378	37470822	37473277	37473474	11	12,10,10,7,9,11	17,26,20,26,25,47	8,11,10,8,21,7	30,17,59,21,44,43	226	298	0.480447817584	1.0	0.482,0.336,0.397,0.262,0.322,0.236	0.26,0.46,0.183,0.334,0.386,0.177	0.039
12	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471649	37471911	37473277	37473474	37471419	37471496	37474126	37474238	12	16,27,16,20,26,45	12,18,12,18,35,31	29,28,45,29,36,22	18,13,42,18,32,23	298	298	0.623041044904	1.0	0.571,0.6,0.571,0.526,0.426,0.592	0.617,0.683,0.517,0.617,0.529,0.489	-0.028
13	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609	13	51,51,49,62,51,92	22,37,40,78,25,74	60,71,99,67,93,87	33,52,68,40,72,70	267	249	0.764712932649	1.0	0.684,0.562,0.533,0.426,0.655,0.537	0.629,0.56,0.576,0.61,0.546,0.537	-0.01
14	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874	14	27,22,25,56,27,44	42,60,25,66,35,95	30,28,41,61,64,56	40,42,60,46,76,61	225	267	0.0968460391814	1.0	0.433,0.303,0.543,0.502,0.478,0.355	0.471,0.442,0.448,0.611,0.5,0.521	-0.063
15	"ENSDARG00000110991"	NA	chr25	-	37462948	37463029	37463096	37463175	37462778	37462874	37463449	37463761	15	15,28,14,30,32,38	32,36,27,53,40,56	30,18,71,29,44,49	32,40,62,71,70,65	228	230	0.680140815112	1.0	0.321,0.44,0.343,0.363,0.447,0.406	0.486,0.312,0.536,0.292,0.388,0.432	-0.021
16	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203439	202322	202507	203904	204019	16	118,92,50,141,103,143	16,12,7,20,7,20	98,108,156,111,157,156	10,9,28,4,12,24	242	242	0.442840630971	1.0	0.881,0.885,0.877,0.876,0.936,0.877	0.907,0.923,0.848,0.965,0.929,0.867	-0.018
17	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37454315	37454409	37454627	37454792	37453996	37454178	37455015	37455089	17	16,14,2,11,21,8	20,8,4,8,24,16	9,12,13,4,9,5	10,10,19,11,14,20	243	298	0.20828568799	1.0	0.495,0.682,0.38,0.628,0.518,0.38	0.525,0.595,0.456,0.308,0.441,0.235	0.087
18	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457464	37457569	37457826	37457942	37457288	37457348	37458060	37458190	18	17,15,4,19,19,27	1,5,1,7,7,2	19,10,31,11,17,24	4,1,6,4,3,1	254	265	0.396047898832	1.0	0.947,0.758,0.807,0.739,0.739,0.934	0.832,0.913,0.844,0.742,0.855,0.962	-0.037
19	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458060	37458190	37458430	37458527	37457826	37457942	37458600	37458676	19	4,5,1,8,7,3	2,4,2,1,3,3	5,2,9,7,4,1	1,1,4,2,0,2	279	246	0.214776376614	1.0	0.638,0.524,0.306,0.876,0.673,0.469	0.815,0.638,0.665,0.755,1.0,0.306	-0.115
20	"ENSDARG00000009941"	"erc1a"	chr25	+	21194354	21194732	21197687	21197762	21180613	21181462	21202330	21202486	20	19,31,30,27,28,42	30,22,12,25,28,16	17,30,45,36,56,46	11,22,18,10,18,38	298	224	0.114455287209	1.0	0.323,0.514,0.653,0.448,0.429,0.664	0.537,0.506,0.653,0.73,0.7,0.476	-0.095
21	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19325293	19325356	19318808	19318905	19340138	19340276	21	31,38,28,46,45,68	17,17,9,15,10,11	44,38,56,29,78,61	15,14,14,16,9,13	257	212	0.565630596621	1.0	0.601,0.648,0.72,0.717,0.788,0.836	0.708,0.691,0.767,0.599,0.877,0.795	-0.021
22	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340138	19340276	19318808	19318905	19341375	19341486	22	25,25,19,27,31,51	62,56,27,88,43,78	28,18,37,10,43,42	51,52,61,43,88,91	257	287	0.511432232092	1.0	0.31,0.333,0.44,0.255,0.446,0.422	0.38,0.279,0.404,0.206,0.353,0.34	0.041
23	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16982322	16982482	17044734	17044779	16977705	16977861	17238928	17239043	23	0,3,4,2,3,0	57,46,43,46,65,90	0,0,6,0,6,3	39,65,83,37,80,87	194	298	0.946885440489	1.0	0.0,0.091,0.125,0.063,0.066,0.0	0.0,0.0,0.1,0.0,0.103,0.05	0.015
26	"ENSDARG00000100206"	"klhdc4"	chr25	-	12721495	12721574	12723845	12724008	12719782	12719991	12725189	12725282	26	26,28,26,35,32,32	15,6,8,21,14,18	22,23,33,32,34,25	15,26,28,18,18,34	298	228	0.00803932976397	0.352668711344	0.57,0.781,0.713,0.56,0.636,0.576	0.529,0.404,0.474,0.576,0.591,0.36	0.15
27	"ENSDARG00000015709"	"hsd17b12a"	chr25	+	30220326	30220391	30220473	30220518	30219093	30219201	30220914	30220949	27	67,55,58,79,69,105	57,37,35,55,59,58	39,60,91,35,101,93	31,47,56,26,47,67	214	194	0.692086315134	1.0	0.516,0.574,0.6,0.566,0.515,0.621	0.533,0.536,0.596,0.55,0.661,0.557	-0.007
28	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30173653	30173671	30178939	30179035	30171954	30172002	30182513	30182654	28	0,0,0,1,0,0	20,49,35,54,41,39	0,0,0,0,0,1	34,45,32,43,68,61	167	245	1	1.0	0.0,0.0,0.0,0.026,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.023	0.001
