Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000045835	0.5156763791473341	0.9997058626486705	-0.7731563187005532	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	1146	756	82	2128	755	34	660	142	2	2321	1887	932	1192.245302394982	854.773693871044	111.2588625893938	1593.689428053943	748.4539644705485	44.727952762427414	825.7738217551941	145.36102380415176	1.4203194393963083	2586.369533907684	1378.535960805875	750.0405065647926	1.8018645733438092
ENSDARG00000026403	0.07617516108814133	0.8256190892925627	-1.3565668752437021	10	24394023	24416471	-1	protein_coding	hephl1b	hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388]	318	164	97	221	22	12	298	20	22	144	242	356	330.8324661096023	185.42709761223705	131.61109355086828	165.51003928567735	21.809254593843796	15.786336269092029	372.8493922470422	20.473383634387574	15.623513833359391	160.46411584778392	176.79157525968296	286.49615915994224	1.3804277686650352
ENSDARG00000076321	0.907191907738724	0.9997058626486705	-0.07603285633524602	9	48297412	48371379	-1	protein_coding	col28a2a	collagen, type XXVIII, alpha 2a [Source:ZFIN;Acc:ZDB-GENE-030131-4444]	333	526	283	394	241	44	357	653	1051	78	472	463	346.43777111477226	594.7234960002237	383.97875747315175	295.0721967355515	238.91047077801616	57.88323298667078	446.66856722212776	668.4559756627542	746.37786540276	86.91806275088295	344.81662612632374	372.6059598063294	1.1552697062372312
ENSDARG00000003523	0.06781602320842237	0.7926916273170236	1.258662253772428	14	16345003	16352209	1	protein_coding	itln3	intelectin 3 [Source:ZFIN;Acc:ZDB-GENE-090527-4]	182	243	101	616	30	95	78	107	112	45	206	92	189.3443673960617	274.74868731569273	137.0383551405948	461.3311502261414	29.739892627968814	124.9751621303119	97.59145166197749	109.53260244397352	79.53788860619326	50.14503620243247	150.49200208055655	74.03833326605249	1.0622302107449804
ENSDARG00000092578	0.2589446537244138	0.9997058626486705	-1.1740562694549204	10	28428222	28431809	1	protein_coding	si:ch211-222e20.4	si:ch211-222e20.4 [Source:ZFIN;Acc:ZDB-GENE-091118-60]	170	69	53	114	1	5	113	0	2	57	98	137	176.86012339192578	78.01505936124607	71.91121606387648	85.37621936003266	0.9913297542656272	6.577640112121679	141.38248766414688	0	1.4203194393963083	63.51704585641447	71.5932825431774	110.25273540705642	0.9547864246615381
ENSDARG00000090352	0.00627528654511872	0.23613632243617003	1.2984337110094912	16	31623975	31628687	-1	processed_transcript	CR855311.1	uncharacterized LOC101883708 [Source:NCBI gene;Acc:101883708]	312	512	97	543	174	116	103	221	276	115	241	124	324.59034410753435	578.8943535211304	131.61109355086828	406.660413267524	172.49137724221913	152.60125060122294	128.87076309209849	226.23088915998267	196.00408263669053	128.14842585066077	176.06103156026276	99.7907970107664	0.9256093806304954
ENSDARG00000113027	0.9526973189948503	0.9997058626486705	-0.11326229936062797	7	47143303	47148440	-1	protein_coding	BX005073.3	NA	3	0	56	0	109	39	0	115	129	51	61	88	3.121061001033984	0	75.98166225617138	0	108.05494321495337	51.3055928745491	0	117.72195589772855	91.61060384106189	56.83104102942347	44.56316566463082	70.81927529796324	0.8630139558825076
ENSDARG00000032820	0.058328381161789296	0.7494940203669255	0.969309842181516	10	33744098	33867426	1	protein_coding	rxfp2a	relaxin family peptide receptor 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1225]	63	142	151	261	299	242	54	294	414	159	269	67	65.54228102171366	160.552730859376	204.8791250121764	195.46660748218005	296.40759652542255	318.35778142668926	67.56331268906135	300.9587394254973	294.00612395503583	177.1791279152614	196.51625514402775	53.919220965494745	0.7759493241420454
ENSDARG00000068006	0.012939800886061836	0.3583976406261922	-2.810455590810596	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	210	32	55	55	30	24	65	44	75	779	19	13	218.47427007237889	36.18089709507065	74.62484685873974	41.19028127019119	29.739892627968814	31.572672538184058	81.32620971831457	45.041443995652664	53.26197897736156	868.0662933709978	13.880330288983371	10.461938396290025	0.7207292013868425
ENSDARG00000068431	0.6878673576344678	0.9997058626486705	-0.26082142570219885	2	43920461	43955410	1	protein_coding	si:ch211-195h23.3	si:ch211-195h23.3 [Source:ZFIN;Acc:ZDB-GENE-070912-174]	422	207	193	91	264	64	176	211	101	42	376	291	439.02924747878046	234.04517808373825	261.8653717043049	68.15119264704362	261.7110551261256	84.19379343515749	220.2063524680518	215.99419734278888	71.726131689513565	46.802033788936974	274.68443098198674	234.1864671784921	0.7108636676367562
ENSDARG00000103013	0.20836728871814353	0.9997058626486705	0.6781783277445659	10	21730585	21820133	1	protein_coding	pcdh1g22	protocadherin 1 gamma 22 [Source:ZFIN;Acc:ZDB-GENE-030131-2695]	70	122	116	220	269	209	41	297	464	179	303	68	72.82475669079297	137.93967017495683	157.39058610206928	164.76112508076477	266.6677038974537	274.9453566866862	51.29807074539843	304.0297469706555	329.5141099399435	199.46581067189805	221.35474092431377	54.72398545751706	0.6800815835689059
ENSDARG00000103457	0.9429286599748149	0.9997058626486705	0.07821273048832968	15	32798333	32818871	1	protein_coding	spartb	spartin b [Source:ZFIN;Acc:ZDB-GENE-060825-146]	5	218	2	144	0	84	92	1	7	97	145	138	5.201768335056641	246.48236146016876	2.7136307948632634	107.84364550740968	0	110.50435388364421	115.10786606284525	1.0236691817193786	4.971118037887079	108.09041136968777	105.92883641592573	111.05749989907873	0.6679107964412692
