ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	8092	8206	5967	6102	8711	9353	1	28,18,22,38,19,18	13,10,13,26,2,12	13,20,33,14,42,35	8,18,18,5,23,13	263	263	0.769435016834	1.0	0.683,0.643,0.629,0.594,0.905,0.6	0.619,0.526,0.647,0.737,0.646,0.729	0.025
2	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	8092	8206	7075	7189	8711	9353	2	37,26,29,51,32,27	16,10,7,23,9,4	34,28,46,26,62,56	8,13,10,17,23,17	263	263	0.769179461472	1.0	0.698,0.722,0.806,0.689,0.78,0.871	0.81,0.683,0.821,0.605,0.729,0.767	0.025
4	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	28357	28501	20488	21274	28820	29071	4	41,48,28,82,51,34	40,30,26,44,44,25	50,55,64,44,77,67	28,48,47,38,52,44	293	278	0.817914773494	1.0	0.493,0.603,0.505,0.639,0.524,0.563	0.629,0.521,0.564,0.523,0.584,0.591	-0.014
5	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28357	28501	28820	29071	21691	21820	31494	31870	5	18,17,14,28,19,19	25,20,19,42,29,19	8,25,24,31,39,26	24,25,36,31,42,34	298	293	0.89047446005	1.0	0.414,0.455,0.42,0.396,0.392,0.496	0.247,0.496,0.396,0.496,0.477,0.429	0.005
6	"ENSDARG00000104276"	NA	chrKN150326.1	-	96102	96203	102054	102197	91206	91364	104319	104400	6	13,22,9,27,8,20	14,14,15,20,16,10	10,11,16,12,24,21	9,17,25,20,24,18	292	250	0.33452486395	1.0	0.443,0.574,0.339,0.536,0.3,0.631	0.488,0.356,0.354,0.339,0.461,0.5	0.054
7	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910	7	5,11,11,14,9,8	37,15,12,20,28,13	11,12,13,14,7,15	19,22,30,29,29,30	246	234	0.851379015482	1.0	0.114,0.411,0.466,0.4,0.234,0.369	0.355,0.342,0.292,0.315,0.187,0.322	0.03
8	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	55044	55141	57764	57910	51719	51804	58292	58376	8	21,22,30,30,19,14	21,15,15,24,30,22	6,28,10,16,27,31	26,35,21,35,28,24	295	246	0.0576131797606	0.843860438822	0.455,0.55,0.625,0.51,0.346,0.347	0.161,0.4,0.284,0.276,0.446,0.519	0.125
10	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672	10	1,0,0,4,3,0	4,0,0,0,0,0	0,1,0,0,2,1	0,4,0,0,1,0	298	298	1	1.0	0.2,NA,NA,1.0,1.0,NA	NA,0.2,NA,NA,0.667,1.0	0.111
11	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609	11	60,56,37,93,73,57	55,47,36,57,54,48	60,71,99,67,93,87	33,52,68,40,72,70	267	249	0.29109782193	1.0	0.504,0.526,0.489,0.603,0.558,0.525	0.629,0.56,0.576,0.61,0.546,0.537	-0.042
12	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874	12	31,25,17,41,41,24	53,38,37,73,55,41	30,28,41,61,64,56	40,42,60,46,76,61	225	267	0.020308309898	0.514430010308	0.41,0.438,0.353,0.4,0.469,0.41	0.471,0.442,0.448,0.611,0.5,0.521	-0.085
13	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203439	202322	202507	203904	204019	13	100,129,88,146,132,104	19,12,18,12,16,12	98,108,156,111,157,156	10,9,28,4,12,24	242	242	0.371518087835	1.0	0.84,0.915,0.83,0.924,0.892,0.897	0.907,0.923,0.848,0.965,0.929,0.867	-0.023
14	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457464	37457569	37457826	37457942	37457288	37457348	37458060	37458190	14	15,11,11,16,6,11	8,1,4,1,6,5	19,10,31,11,17,24	4,1,6,4,3,1	254	265	0.0544465988865	0.819517130238	0.662,0.92,0.742,0.943,0.511,0.697	0.832,0.913,0.844,0.742,0.855,0.962	-0.112
15	"ENSDARG00000009941"	"erc1a"	chr25	+	21194354	21194732	21197687	21197762	21180613	21181462	21202330	21202486	15	20,30,11,55,36,22	9,7,11,27,15,7	17,30,45,36,56,46	11,22,18,10,18,38	298	224	0.564438600448	1.0	0.626,0.763,0.429,0.605,0.643,0.703	0.537,0.506,0.653,0.73,0.7,0.476	0.028
16	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19325293	19325356	19318808	19318905	19340138	19340276	16	31,45,37,70,35,26	10,14,6,11,15,8	44,38,56,29,78,61	15,14,14,16,9,13	257	212	0.8539155633	1.0	0.719,0.726,0.836,0.84,0.658,0.728	0.708,0.691,0.767,0.599,0.877,0.795	0.012
17	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340138	19340276	19318808	19318905	19341375	19341486	17	15,25,26,41,24,24	50,31,53,78,53,38	28,18,37,10,43,42	51,52,61,43,88,91	257	287	0.485015622475	1.0	0.251,0.474,0.354,0.37,0.336,0.414	0.38,0.279,0.404,0.206,0.353,0.34	0.039
18	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16982322	16982482	17044734	17044779	16977705	16977861	17238928	17239043	18	0,2,0,1,6,0	63,33,46,78,64,32	0,0,6,0,6,3	39,65,83,37,80,87	194	298	0.232819917598	1.0	0.0,0.085,0.0,0.019,0.126,0.0	0.0,0.0,0.1,0.0,0.103,0.05	-0.004
21	"ENSDARG00000020718"	"slc25a22a"	chr25	-	4465344	4465499	4467553	4467701	4463285	4463361	4469397	4469458	21	19,34,11,41,27,44	28,30,27,45,35,26	41,37,44,33,47,45	36,31,38,34,37,53	297	298	0.300591078496	1.0	0.405,0.532,0.29,0.478,0.436,0.629	0.533,0.545,0.537,0.493,0.56,0.46	-0.06
22	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30178939	30179035	30182513	30182654	30173115	30173671	30192071	30192167	22	28,29,17,47,44,37	49,46,59,83,63,39	15,44,30,45,42,37	45,66,75,55,117,80	245	290	0.304792202584	1.0	0.403,0.427,0.254,0.401,0.453,0.529	0.283,0.441,0.321,0.492,0.298,0.354	0.046
23	"ENSDARG00000061282"	"glg1a"	chr25	-	37221383	37221547	37222025	37222132	37219995	37220058	37223286	37223407	23	158,125,112,192,148,130	36,44,45,70,35,27	108,135,175,170,201,160	41,55,60,45,68,68	256	298	0.103325315752	1.0	0.836,0.768,0.743,0.761,0.831,0.849	0.754,0.741,0.772,0.815,0.775,0.733	0.033
24	"ENSDARG00000009299"	"dusp8a"	chr25	-	23015607	23015746	23030310	23030665	22982691	22982858	23052425	23052707	24	25,28,29,45,25,33	48,50,15,53,35,41	28,32,42,23,38,39	20,48,65,21,66,38	298	288	0.848483074831	1.0	0.335,0.351,0.651,0.451,0.408,0.438	0.575,0.392,0.384,0.514,0.358,0.498	-0.014
25	"ENSDARG00000075100"	"neo1b"	chr25	+	3005931	3006024	3007561	3007708	3001179	3001388	3008045	3008297	25	17,8,18,23,15,18	15,15,11,17,8,11	10,12,28,19,24,21	9,12,33,9,21,12	242	296	0.837361136646	1.0	0.581,0.395,0.667,0.623,0.696,0.667	0.576,0.55,0.509,0.721,0.583,0.682	0.001
26	"ENSDARG00000103878"	"anpepb"	chr25	+	10825827	10825968	10826834	10826916	10825573	10825741	10827258	10827771	26	248,225,228,308,291,192	189,133,129,185,159,90	295,221,383,309,332,416	171,131,197,189,192,254	290	231	0.868728249796	1.0	0.511,0.574,0.585,0.57,0.593,0.63	0.579,0.573,0.608,0.566,0.579,0.566	-0.001
27	"ENSDARG00000018061"	"neil1"	chr25	-	26830496	26830616	26831697	26832174	26830063	26830166	26833053	26833100	27	7,12,7,7,11,5	41,19,18,54,32,26	11,11,19,7,8,18	37,17,53,34,87,54	298	269	0.827603360402	1.0	0.134,0.363,0.26,0.105,0.237,0.148	0.212,0.369,0.244,0.157,0.077,0.231	-0.007
28	"ENSDARG00000089207"	"ankrd27"	chr25	+	36414543	36414700	36416416	36416574	36414341	36414452	36417585	36417645	28	8,24,14,22,20,26	23,20,15,24,11,13	11,15,19,9,37,17	18,9,17,23,18,27	298	298	0.655161820972	1.0	0.258,0.545,0.483,0.478,0.645,0.667	0.379,0.625,0.528,0.281,0.673,0.386	0.034
29	"ENSDARG00000089207"	"ankrd27"	chr25	+	36417721	36417775	36418040	36418157	36417585	36417645	36418739	36418816	29	9,5,3,7,1,2	4,12,1,6,5,1	2,0,5,6,4,6	3,2,10,4,5,10	203	266	0.38219954001	1.0	0.747,0.353,0.797,0.605,0.208,0.724	0.466,0.0,0.396,0.663,0.512,0.44	0.16
30	"ENSDARG00000045641"	"usp3"	chr25	-	26744941	26745055	26745359	26745473	26743329	26743476	26747958	26748041	30	22,17,9,20,3,3	21,19,19,31,20,13	28,13,25,16,21,25	18,23,17,27,28,18	263	263	0.03885417715	0.713911036216	0.512,0.472,0.321,0.392,0.13,0.188	0.609,0.361,0.595,0.372,0.429,0.581	-0.155
31	"ENSDARG00000079374"	"tjp1b"	chr25	+	32225596	32225741	32234023	32234154	32220736	32220905	32234404	32234510	31	11,22,15,37,24,15	36,36,23,57,47,39	21,22,46,26,46,22	38,41,55,29,54,35	294	280	0.0558848066307	0.830843648681	0.225,0.368,0.383,0.382,0.327,0.268	0.345,0.338,0.443,0.461,0.448,0.374	-0.076
32	"ENSDARG00000061719"	"washc4"	chr25	-	28742449	28742557	28745013	28745139	28742226	28742373	28745223	28745350	32	16,7,2,11,23,11	14,6,10,14,8,14	11,9,11,12,11,10	7,13,11,7,15,15	275	257	0.96964404482	1.0	0.516,0.522,0.157,0.423,0.729,0.423	0.595,0.393,0.483,0.616,0.407,0.384	-0.018
33	"ENSDARG00000076025"	"dgkzb"	chr25	+	7855465	7855570	7857438	7857543	7850434	7850634	7857928	7857997	33	19,11,7,9,16,7	21,9,17,21,11,12	6,7,16,2,12,8	13,12,20,14,12,12	254	254	0.404327913237	1.0	0.475,0.55,0.292,0.3,0.593,0.368	0.316,0.368,0.444,0.125,0.5,0.4	0.071
34	"ENSDARG00000076025"	"dgkzb"	chr25	+	7855465	7855570	7857928	7857997	7850434	7850634	7858077	7858109	34	19,9,7,9,16,5	13,7,5,8,15,7	5,7,16,2,12,8	6,6,12,6,8,7	254	218	0.744655729105	1.0	0.556,0.525,0.546,0.491,0.478,0.38	0.417,0.5,0.534,0.222,0.563,0.495	0.041
35	"ENSDARG00000076025"	"dgkzb"	chr25	+	7855465	7855570	7858077	7858109	7850434	7850634	7860976	7861026	35	19,9,7,9,16,5	7,7,2,9,7,6	5,6,16,3,12,8	4,5,7,2,12,4	254	181	0.693504295955	1.0	0.659,0.478,0.714,0.416,0.62,0.373	0.471,0.461,0.62,0.517,0.416,0.588	0.031
36	"ENSDARG00000012603"	"eif3ja"	chr25	-	31905464	31905556	31906800	31906858	31904755	31905055	31907328	31907603	36	39,43,56,62,53,39	109,94,87,147,145,76	51,43,61,49,80,78	118,101,114,99,162,127	207	241	0.342067029772	1.0	0.294,0.348,0.428,0.329,0.299,0.374	0.335,0.331,0.384,0.366,0.365,0.417	-0.021
37	"ENSDARG00000012603"	"eif3ja"	chr25	-	31905464	31905556	31906800	31906858	31904937	31905052	31907328	31907417	37	34,39,56,55,53,37	4,2,1,0,1,1	48,39,56,46,80,66	3,4,0,2,5,1	207	241	0.203220544263	1.0	0.908,0.958,0.985,1.0,0.984,0.977	0.949,0.919,1.0,0.964,0.949,0.987	0.007
38	"ENSDARG00000012603"	"eif3ja"	chr25	-	31906800	31906858	31907328	31907417	31905464	31905556	31907554	31907590	38	4,2,3,5,8,0	109,75,66,150,88,68	0,1,0,0,11,3	94,125,123,99,108,137	238	207	0.061800292246	0.872404125492	0.031,0.023,0.038,0.028,0.073,0.0	0.0,0.007,0.0,0.0,0.081,0.019	0.014
