ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	5112	5246	4849	4952	5379	6296
1	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4870	4948	4028	4221	5168	5326
2	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	9420	9600	8915	9082	10277	10422
3	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	7075	7189	8092	8206
4	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	8092	8206	7075	7189	8711	9353
5	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	11206	11402	16555	16601
6	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	16555	16601	12096	12229	16717	16760
8	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	11435	11609	9750	9924	13322	13496
9	"ENSDARG00000109774"	NA	chrKZ116043.1	+	3724	3852	2645	2849	4109	8584
10	"ENSDARG00000104516"	"polr3d"	chrKN150353.1	-	11574	11729	9916	10038	13921	13965
11	"ENSDARG00000099154"	"CABZ01032488.1"	chrKN149764.1	-	8387	8572	5776	5941	12189	12292
12	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	13299	13359	13155	13215	14054	14134
13	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17488	17608	15386	16064	17693	17901
14	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	20709	21027	20269	20318	21116	21416
16	"ENSDARG00000111812"	"CABZ01073083.1"	chrKN150306.1	-	26839	26967	23674	23885	27115	27285
17	"ENSDARG00000101347"	"CABZ01068251.1"	chrKN149909.1	-	26265	26334	22663	22784	26434	26543
18	"ENSDARG00000115982"	"CABZ01011673.1"	chrKN149749.1	-	30427	30526	29713	29833	36033	36096
19	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	17590	18648	31620	31641
20	"ENSDARG00000110192"	"CABZ01081535.1"	chrKN149800.1	-	16406	16563	2018	2981	18036	18143
21	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	20488	21274	28357	28501
22	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28820	29071	28357	28501	31494	31870
25	"ENSDARG00000101611"	NA	chrKN150170.1	+	11162	11290	10889	10941	11767	11944
26	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	6603	6678	5041	5091	22154	22341
27	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	12718	12826	5108	5348	13226	13340
28	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	15068	16958	13226	13340	17942	18116
29	"ENSDARG00000098599"	NA	chrKN150041.2	+	24607	25680	21401	21605	27261	27466
30	"ENSDARG00000098599"	NA	chrKN150041.2	+	31201	31312	27924	28248	32466	32636
31	"ENSDARG00000098599"	NA	chrKN150041.2	+	61794	61880	61322	61480	63796	66411
34	"ENSDARG00000113719"	"CABZ01118575.1"	chrKN149932.1	+	72807	72909	72713	72731	78951	79042
35	"ENSDARG00000098523"	NA	chrKN150432.1	-	9580	9700	6940	7055	13625	13833
36	"ENSDARG00000101020"	NA	chrKN149702.1	-	80549	80736	54546	54629	84165	84305
37	"ENSDARG00000102042"	NA	chrKN150578.1	+	39301	39391	30513	30675	42636	42858
38	"ENSDARG00000104276"	NA	chrKN150326.1	-	51807	51909	51627	51678	52380	52460
39	"ENSDARG00000104276"	NA	chrKN150326.1	-	96102	96203	91206	91364	102054	102197
40	"ENSDARG00000098186"	NA	chrKN149790.1	-	110747	111002	107996	108206	114578	114723
43	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	44639	44839	57764	57910
