ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	60220	60974	60853	60974	58292	58376
2	"ENSDARG00000105296"	NA	chr25	-	5718931	5719062	5718943	5719062	5713687	5713802
20	"ENSDARG00000013719"	"gtse1"	chr25	-	19607960	19608460	19608282	19608460	19607634	19607692
21	"ENSDARG00000061802"	"cnot2"	chr25	+	28698692	28698849	28698692	28698847	28698935	28698997
66	"ENSDARG00000021082"	"sec31a"	chr10	-	5101525	5101852	5101570	5101852	5098341	5098400
71	"ENSDARG00000099931"	"pcdh1g26"	chr10	+	21816336	21816484	21816336	21816455	21818350	21818459
78	"ENSDARG00000044255"	"rbm18"	chr10	+	9361858	9361945	9361858	9361939	9369398	9369744
89	"ENSDARG00000087779"	"pum3"	chr10	-	15325283	15325375	15325287	15325375	15325006	15325097
96	"ENSDARG00000006242"	"ptp4a1"	chr11	+	11271470	11272063	11271470	11271676	11272220	11272313
107	"ENSDARG00000003877"	"pbrm1"	chr11	-	3917634	3917769	3917703	3917769	3913194	3913244
117	"ENSDARG00000044669"	"hp1bp3"	chr11	+	37616561	37616618	37616561	37616603	37616709	37616855
120	"ENSDARG00000100115"	"dnah1"	chr11	-	34699954	34700134	34699960	34700134	34697980	34698121
121	"ENSDARG00000089681"	"btf3l4"	chr11	+	13046648	13046721	13046648	13046677	13046793	13046860
130	"ENSDARG00000025854"	"ddx51"	chr8	+	49082345	49082451	49082345	49082447	49082549	49082613
132	"ENSDARG00000056922"	"ltbp1"	chr17	+	23094997	23095090	23094997	23095057	23099323	23099455
142	"ENSDARG00000101744"	"elavl1b"	chr11	-	15000936	15001002	15000946	15001002	14989373	14989554
144	"ENSDARG00000011594"	"smarcb1b"	chr21	+	15603507	15603865	15603507	15603619	15605094	15605232
145	"ENSDARG00000058088"	"aifm1"	chr5	-	22564514	22564580	22564520	22564580	22562027	22562188
156	"ENSDARG00000013312"	"cadps2"	chr25	+	28244193	28244341	28244193	28244333	28253553	28253625
163	"ENSDARG00000020741"	"fga"	chr1	-	10067187	10068046	10067715	10068046	10064511	10064621
164	"ENSDARG00000020741"	"fga"	chr1	-	10067187	10068046	10067715	10068046	10066099	10066967
172	"ENSDARG00000052063"	"col4a5"	chr7	+	51148134	51148165	51148134	51148161	51148258	51148339
173	"ENSDARG00000027078"	"cnppd1"	chr1	+	6166424	6166714	6166424	6166553	6167375	6167493
192	"ENSDARG00000078535"	"lrrcc1"	chr2	-	31710607	31711547	31711262	31711547	31710309	31710515
198	"ENSDARG00000016871"	"smarce1"	chr3	+	34989483	34989576	34989483	34989564	34990808	34990980
212	"ENSDARG00000003313"	"eps8l1b"	chr24	+	38670819	38671106	38670819	38670881	38673805	38673912
215	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16814699	16814799	16814699	16814790	16817271	16817382
216	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16814699	16814799	16814699	16814790	16818889	16819041
232	"ENSDARG00000053101"	"prpf38b"	chr2	-	45660002	45660077	45660016	45660077	45659374	45659439
234	"ENSDARG00000040310"	"prpf4bb"	chr24	-	11483522	11483674	11483526	11483674	11478430	11478568
239	"ENSDARG00000019213"	NA	chr14	+	21145749	21146159	21145749	21145840	21167570	21167725
247	"ENSDARG00000032725"	"rps27a"	chr6	+	6271984	6272230	6271984	6272039	6273051	6273183
248	"ENSDARG00000071395"	"camk2g1"	chr12	-	35361862	35361917	35361871	35361917	35351341	35351417
249	"ENSDARG00000071395"	"camk2g1"	chr12	-	35361862	35361917	35361871	35361917	35354759	35354897
265	"ENSDARG00000094865"	"CR407561.1"	chr8	-	33673530	33673572	33673534	33673572	33657090	33657312
267	"ENSDARG00000018782"	"kdm4aa"	chr6	+	3296732	3296817	3296732	3296811	3298781	3298963
270	"ENSDARG00000090560"	"mfap5"	chr16	-	12682409	12682640	12682556	12682640	12677970	12678009
272	"ENSDARG00000097173"	"CR388129.1"	chr15	-	40128816	40129076	40128844	40129076	40125408	40125608
276	"ENSDARG00000058345"	"si:dkey-5i3.5"	chr18	+	8907095	8907327	8907095	8907193	8907442	8907574
279	"ENSDARG00000095294"	"si:dkey-200l5.4"	chr10	-	17740757	17740926	17740899	17740926	17740489	17740516
283	"ENSDARG00000045633"	"asb15a"	chr25	-	27841956	27842180	27842087	27842180	27841413	27841545
284	"ENSDARG00000045633"	"asb15a"	chr25	-	27842309	27843066	27842597	27843066	27842087	27842180
290	"ENSDARG00000102730"	"mapk10"	chr21	+	9697683	9697789	9697683	9697761	9712789	9713279
291	"ENSDARG00000095332"	"si:dkey-14d8.1"	chr4	-	5369661	5370167	5370056	5370167	5366311	5367984
292	"ENSDARG00000006546"	"ak4"	chr6	-	31361479	31361622	31361483	31361622	31359793	31359913
