Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000006257	0	0.0	10	15255012	15305767	1	protein_coding	vldlr	very low density lipoprotein receptor [Source:ZFIN;Acc:ZDB-GENE-040426-803]
ENSDARG00000033832	0	0.0	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000033832	0	0.0	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000005916	1.54321000423e-14	1.70158193091e-10	8	8291492	8339372	1	protein_coding	srpk3	SRSF protein kinase 3 [Source:ZFIN;Acc:ZDB-GENE-101025-2]
ENSDARG00000010400	7.17093051605e-13	6.32547780821e-09	13	42621205	42674001	-1	protein_coding	lrrfip2	leucine rich repeat (in FLII) interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7781]
ENSDARG00000057899	2.41205277973e-10	1.7730597975e-06	23	16807209	16811727	1	protein_coding	zgc:114081	zgc:114081 [Source:ZFIN;Acc:ZDB-GENE-050913-78]
ENSDARG00000010400	3.78072129159e-10	2.38212446522e-06	13	42621205	42674001	-1	protein_coding	lrrfip2	leucine rich repeat (in FLII) interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7781]
ENSDARG00000033327	1.16644960357e-09	6.43078247068e-06	13	29127960	29227803	1	protein_coding	unc5b	unc-5 netrin receptor B [Source:ZFIN;Acc:ZDB-GENE-041213-1]
ENSDARG00000033832	4.30305946431e-09	2.10873819637e-05	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000006257	5.01246277818e-09	2.21074670832e-05	10	15255012	15305767	1	protein_coding	vldlr	very low density lipoprotein receptor [Source:ZFIN;Acc:ZDB-GENE-040426-803]
ENSDARG00000057899	5.81377557207e-09	2.33105974187e-05	23	16807209	16811727	1	protein_coding	zgc:114081	zgc:114081 [Source:ZFIN;Acc:ZDB-GENE-050913-78]
ENSDARG00000018566	6.48408993165e-09	2.3831732203e-05	25	35019693	35041057	1	protein_coding	flnca	filamin C, gamma a (actin binding protein 280) [Source:ZFIN;Acc:ZDB-GENE-070503-1]
ENSDARG00000071699	1.02152540871e-08	3.40870801098e-05	14	20869618	20891769	-1	protein_coding	ids	iduronate 2-sulfatase [Source:ZFIN;Acc:ZDB-GENE-061215-37]
