GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000006757	0	0.2765829053766084	klhl41b	kelch-like family member 41b [Source:NCBI gene;Acc:321064]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000008487	0	0.19149251904366524	dmd	dystrophin [Source:ZFIN;Acc:ZDB-GENE-010426-1]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000017400	0	0.0797243594554552	klf1	Kruppel-like factor 1 (erythroid) [Source:ZFIN;Acc:ZDB-GENE-980526-55]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000024141	0	0.14234779047298923	cav3	caveolin 3 [Source:ZFIN;Acc:ZDB-GENE-050522-426]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000030270	0	0.00988011011867396	tnnt3a	troponin T type 3a (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-000322-3]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000032242	0	0.3444858267774224	tnnt2c	troponin T2c, cardiac [Source:ZFIN;Acc:ZDB-GENE-030520-1]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000040917	0	0.03685429331765755	cbfb	core-binding factor subunit beta [Source:ZFIN;Acc:ZDB-GENE-980526-440]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000061351	0	0.006840790407671047	tfpi2	tissue factor pathway inhibitor 2 [Source:ZFIN;Acc:ZDB-GENE-060503-38]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000061904	0	0.019030777305405037	fhod3b	formin homology 2 domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-081028-61]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000068457	0	0.02491432015347804	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000077722	0	0.08805039359788515	ppp2r3a	protein phosphatase 2, regulatory subunit B'', alpha [Source:ZFIN;Acc:ZDB-GENE-070912-646]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000114022	0	0.030732258687788862	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000009280	1	0.31724019456653146	smyd1a	SET and MYND domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9825]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000018820	1	0.3303239589547033	flncb	filamin C, gamma b (actin binding protein 280) [Source:ZFIN;Acc:ZDB-GENE-041008-175]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000044968	1	0.22303599730761658	vcla	vinculin a [Source:ZFIN;Acc:ZDB-GENE-050506-61]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000058656	1	1.0183700352553227	desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000063682	1	0.3001788831614522	fhod3a	formin homology 2 domain containing 3a [Source:ZFIN;Acc:ZDB-GENE-060503-633]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000091253	1	0.5139008520182169	smyd1b	SET and MYND domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-060522-1]
GO:0045214	sarcomere organization	19	7	0.37	3.9e-08	ENSDARG00000101706	1	0.7860815355676962	csrp3	cysteine and glycine-rich protein 3 (cardiac LIM protein) [Source:ZFIN;Acc:ZDB-GENE-041010-119]
GO:0030036	actin cytoskeleton organization	224	24	4.37	1.2e-06	ENSDARG00000003084	0	0.19992058388283515	spire2	spire-type actin nucleation factor 2 [Source:NCBI gene;Acc:492470]
GO:0030036	actin cytoskeleton organization	224	24	4.37	1.2e-06	ENSDARG00000004049	0	0.04828561074174827	marcksa	myristoylated alanine-rich protein kinase C substrate a [Source:ZFIN;Acc:ZDB-GENE-050522-145]
GO:0030036	actin cytoskeleton organization	224	24	4.37	1.2e-06	ENSDARG00000004301	0	0.08711585676512879	rhogb	ras homolog family member Gb [Source:ZFIN;Acc:ZDB-GENE-030131-8877]
GO:0030036	actin cytoskeleton organization	224	24	4.37	1.2e-06	ENSDARG00000004658	0	0.15926323809848258	zgc:101810	zgc:101810 [Source:ZFIN;Acc:ZDB-GENE-041121-7]
GO:0030036	actin cytoskeleton organization	224	24	4.37	1.2e-06	ENSDARG00000006283	0	0.024248853745867646	waslb	WASP like actin nucleation promoting factor b [Source:ZFIN;Acc:ZDB-GENE-040426-718]
GO:0030036	actin cytoskeleton organization	224	24	4.37	1.2e-06	ENSDARG00000006385	0	0.02090200835721868	triobpb	TRIO and F-actin binding protein b [Source:ZFIN;Acc:ZDB-GENE-061215-80]
