ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	5112	5246	4849	4952	5379	6296
1	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4870	4948	4028	4221	5168	5326
2	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	5168	5326	4028	4221	5575	5745
3	"ENSDARG00000100453"	NA	chrKN150614.1	+	2615	2723	1817	1935	2960	3182
4	"ENSDARG00000102859"	"CABZ01092170.1"	chrKN150412.1	-	3170	3234	2893	2982	3375	3605
5	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	6421	6518	5706	5774	6625	6961
6	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	9420	9600	8915	9082	10277	10422
7	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	5967	6102	8092	8206
8	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	7075	7189	8092	8206
9	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	7075	7189	8711	9353
10	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	8092	8206	7075	7189	8711	9353
11	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	8092	8206	7598	7712	8711	9353
12	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	11206	11402	16555	16601
13	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	16555	16601	12096	12229	16717	16760
15	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	11435	11609	9750	9924	13322	13496
16	"ENSDARG00000109774"	NA	chrKZ116043.1	+	3724	3852	2645	2849	4109	8584
17	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	13299	13359	13155	13215	14054	14134
18	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17488	17608	15386	16064	17693	17901
19	"ENSDARG00000101462"	"setdb2"	chrKN150699.1	+	9414	9508	9251	9329	9784	10432
20	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	20709	21027	20269	20318	21116	21416
22	"ENSDARG00000111812"	"CABZ01073083.1"	chrKN150306.1	-	26839	26967	23674	23885	27115	27285
23	"ENSDARG00000101347"	"CABZ01068251.1"	chrKN149909.1	-	26265	26334	22663	22784	26434	26543
24	"ENSDARG00000115982"	"CABZ01011673.1"	chrKN149749.1	-	30427	30526	29713	29833	36033	36096
25	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	17590	18648	31620	31641
26	"ENSDARG00000110192"	"CABZ01081535.1"	chrKN149800.1	-	16406	16563	2018	2981	18036	18143
27	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	20488	21274	28357	28501
28	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28357	28501	21691	21820	28820	29071
29	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28820	29071	28357	28501	31494	31870
32	"ENSDARG00000098258"	NA	chrKN149739.1	-	41107	41251	39152	40274	44692	44920
33	"ENSDARG00000100480"	"si:ch73-364h19.2"	chrKN149884.1	-	16627	16726	16307	16409	20545	20628
34	"ENSDARG00000101611"	NA	chrKN150170.1	+	11162	11290	10889	10941	11767	11944
35	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	6603	6678	5041	5091	22154	22341
36	"ENSDARG00000104343"	"ppic"	chrKN150596.1	+	20935	21029	19939	20053	22195	22380
37	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	12718	12826	5108	5348	13226	13340
38	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	15068	16958	13226	13340	17942	18116
39	"ENSDARG00000098599"	NA	chrKN150041.2	+	24607	25680	21401	21605	27261	27466
