GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0005869	dynactin complex	12	4	0.06	2.8e-07	ENSDARG00000023988,ENSDARG00000031388,ENSDARG00000036371,ENSDARG00000038432,ENSDARG00000041363,ENSDARG00000042535,ENSDARG00000045180,ENSDARG00000055618,ENSDARG00000057911,ENSDARG00000076126,ENSDARG00000079111,ENSDARG00000099197
GO:0030018	Z disc	47	4	0.24	8.7e-05	ENSDARG00000001431,ENSDARG00000003991,ENSDARG00000006603,ENSDARG00000007219,ENSDARG00000008982,ENSDARG00000011023,ENSDARG00000011961,ENSDARG00000012311,ENSDARG00000013755,ENSDARG00000014248,ENSDARG00000014805,ENSDARG00000018105,ENSDARG00000019117,ENSDARG00000019845,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000029907,ENSDARG00000030980,ENSDARG00000032630,ENSDARG00000034240,ENSDARG00000034643,ENSDARG00000037266,ENSDARG00000040917,ENSDARG00000042018,ENSDARG00000045228,ENSDARG00000056209,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000068973,ENSDARG00000071331,ENSDARG00000071445,ENSDARG00000071498,ENSDARG00000076449,ENSDARG00000077157,ENSDARG00000078696,ENSDARG00000098856,ENSDARG00000099974,ENSDARG00000101706,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713,ENSDARG00000104924,ENSDARG00000106873,ENSDARG00000114870
GO:0005882	intermediate filament	72	3	0.36	0.0056	ENSDARG00000000212,ENSDARG00000003146,ENSDARG00000005221,ENSDARG00000007751,ENSDARG00000010008,ENSDARG00000011862,ENSDARG00000011998,ENSDARG00000012281,ENSDARG00000012426,ENSDARG00000013415,ENSDARG00000014356,ENSDARG00000017624,ENSDARG00000019365,ENSDARG00000019808,ENSDARG00000021351,ENSDARG00000021987,ENSDARG00000023026,ENSDARG00000023082,ENSDARG00000025301,ENSDARG00000026979,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000034836,ENSDARG00000035944,ENSDARG00000036830,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000041339,ENSDARG00000043242,ENSDARG00000043697,ENSDARG00000044261,ENSDARG00000044299,ENSDARG00000044501,ENSDARG00000044973,ENSDARG00000044975,ENSDARG00000044976,ENSDARG00000053201,ENSDARG00000053248,ENSDARG00000054321,ENSDARG00000055192,ENSDARG00000056248,ENSDARG00000057568,ENSDARG00000057881,ENSDARG00000058332,ENSDARG00000058358,ENSDARG00000058371,ENSDARG00000058462,ENSDARG00000058656,ENSDARG00000062101,ENSDARG00000062108,ENSDARG00000062350,ENSDARG00000062590,ENSDARG00000062976,ENSDARG00000068589,ENSDARG00000069046,ENSDARG00000071518,ENSDARG00000074919,ENSDARG00000076673,ENSDARG00000089435,ENSDARG00000090268,ENSDARG00000092947,ENSDARG00000094041,ENSDARG00000095147,ENSDARG00000101624,ENSDARG00000101858,ENSDARG00000102911,ENSDARG00000103459,ENSDARG00000105188,ENSDARG00000107053,ENSDARG00000115956
GO:0001725	stress fiber	27	2	0.14	0.0080	ENSDARG00000007219,ENSDARG00000009689,ENSDARG00000011023,ENSDARG00000014248,ENSDARG00000015059,ENSDARG00000019845,ENSDARG00000023578,ENSDARG00000027600,ENSDARG00000034643,ENSDARG00000045064,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000068973,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000075540,ENSDARG00000075733,ENSDARG00000078803,ENSDARG00000079869,ENSDARG00000086300,ENSDARG00000088168,ENSDARG00000091090,ENSDARG00000099974,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713,ENSDARG00000114870
GO:0030864	cortical actin cytoskeleton	29	2	0.15	0.0092	ENSDARG00000001431,ENSDARG00000004904,ENSDARG00000007219,ENSDARG00000008170,ENSDARG00000008487,ENSDARG00000009693,ENSDARG00000011777,ENSDARG00000013755,ENSDARG00000016016,ENSDARG00000019231,ENSDARG00000026829,ENSDARG00000030490,ENSDARG00000032482,ENSDARG00000052903,ENSDARG00000053956,ENSDARG00000060917,ENSDARG00000062481,ENSDARG00000070991,ENSDARG00000075706,ENSDARG00000076416,ENSDARG00000079900,ENSDARG00000088130,ENSDARG00000094181,ENSDARG00000100222,ENSDARG00000102883,ENSDARG00000104118,ENSDARG00000104713,ENSDARG00000110192,ENSDARG00000114022
