GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000000103	0	-0.025751028541540547	myh10	myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000000474	0	-0.29541259221859867	tnni1a	troponin I type 1a (skeletal, slow) [Source:ZFIN;Acc:ZDB-GENE-030616-266]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000001014	0	-0.14802504137948777	myh9b	myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000002988	0	-0.022413973528414413	tnnt2d	troponin T2d, cardiac [Source:ZFIN;Acc:ZDB-GENE-050626-97]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000003219	0	-0.20001844229374646	bin2a	bridging integrator 2a [Source:ZFIN;Acc:ZDB-GENE-041114-126]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000005162	0	-0.016461402770880932	tpm3	tropomyosin 3 [Source:ZFIN;Acc:ZDB-GENE-030826-16]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000005841	0	-0.17589739856149922	tnni2a.2	troponin I type 2a (skeletal, fast), tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040426-970]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000006892	0	-0.06119112397713641	myo3b	myosin IIIB [Source:ZFIN;Acc:ZDB-GENE-070706-2]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000007219	0	-0.08010764262178574	actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000008803	0	-0.09375046537715426	marcksb	myristoylated alanine-rich protein kinase C substrate b [Source:ZFIN;Acc:ZDB-GENE-030131-1921]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000009336	0	-0.005024538420579852	aif1l	allograft inflammatory factor 1-like [Source:ZFIN;Acc:ZDB-GENE-030131-9646]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000009689	0	-0.05584486397275064	daam1b	dishevelled associated activator of morphogenesis 1b [Source:ZFIN;Acc:ZDB-GENE-030131-4212]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000009727	0	-0.007155420157415828	twf2b	twinfilin actin-binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-050522-238]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000009782	0	-0.020480073064398214	myh11a	myosin, heavy chain 11a, smooth muscle [Source:ZFIN;Acc:ZDB-GENE-050531-1]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000010186	0	-0.06890690723707439	myo3a	myosin IIIA [Source:ZFIN;Acc:ZDB-GENE-041026-4]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000011023	0	-0.09660525189686016	pdlim3a	PDZ and LIM domain 3a [Source:ZFIN;Acc:ZDB-GENE-050505-1]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000011400	0	-0.06440293696145113	tnnc1a	troponin C type 1a (slow) [Source:ZFIN;Acc:ZDB-GENE-030523-1]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000011661	0	-0.059688408801980855	twf1b	twinfilin actin-binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-040711-3]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000011975	0	-0.29466150490389836	fmn1	formin 1 [Source:ZFIN;Acc:ZDB-GENE-041001-198]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000012944	0	-0.032779167181206804	myhz2	myosin, heavy polypeptide 2, fast muscle specific [Source:ZFIN;Acc:ZDB-GENE-020604-1]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000012972	0	-0.06427837832502589	cfl1l	cofilin 1 (non-muscle), like [Source:ZFIN;Acc:ZDB-GENE-040426-2770]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000013752	0	-0.22474245727671674	tnni2a.3	troponin I type 2a (skeletal, fast), tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-040718-80]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000013755	0	-0.0887425604801751	actn3a	actinin alpha 3a [Source:ZFIN;Acc:ZDB-GENE-000329-9]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000014113	0	-0.00770461707824299	wasla	WASP like actin nucleation promoting factor a [Source:ZFIN;Acc:ZDB-GENE-070209-220]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000015059	0	-0.07970578118750292	daam1a	dishevelled associated activator of morphogenesis 1a [Source:ZFIN;Acc:ZDB-GENE-030911-6]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000015149	0	-0.032133317297664936	wasa	WASP actin nucleation promoting factor a [Source:ZFIN;Acc:ZDB-GENE-081104-419]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000015805	0	-0.019905664326738307	cgnl1	cingulin-like 1 [Source:ZFIN;Acc:ZDB-GENE-071009-2]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000015937	0	-0.06349661814043364	kptn	kaptin (actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-040801-258]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000016016	0	-0.01799352532718442	dbnlb	drebrin-like b [Source:ZFIN;Acc:ZDB-GENE-050522-293]
GO:0015629	actin cytoskeleton	150	8	1.46	9.2e-05	ENSDARG00000019062	0	-0.04169581076643494	arpc5b	actin related protein 2/3 complex, subunit 5B [Source:ZFIN;Acc:ZDB-GENE-040120-7]
