GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000015681	0		gsk3ab	glycogen synthase kinase 3 alpha b [Source:ZFIN;Acc:ZDB-GENE-990714-3]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000017803	0		gsk3ba	glycogen synthase kinase 3 beta, genome duplicate a [Source:ZFIN;Acc:ZDB-GENE-990714-4]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000023914	0		mark4a	MAP/microtubule affinity-regulating kinase 4a [Source:ZFIN;Acc:ZDB-GENE-060531-156]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000026630	0		mark3b	MAP/microtubule affinity-regulating kinase 3b [Source:ZFIN;Acc:ZDB-GENE-060929-80]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000029501	0		gsk3aa	glycogen synthase kinase 3 alpha a [Source:ZFIN;Acc:ZDB-GENE-060503-796]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000032458	0		mark2b	MAP/microtubule affinity-regulating kinase 2b [Source:ZFIN;Acc:ZDB-GENE-080215-4]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000061421	0		BRSK2	BR serine/threonine kinase 2a [Source:NCBI gene;Acc:100334759]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000077124	0		si:ch211-255p10.4	si:ch211-255p10.4 [Source:ZFIN;Acc:ZDB-GENE-121214-354]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000077545	0		si:dkey-16p21.7	si:dkey-16p21.7 [Source:ZFIN;Acc:ZDB-GENE-131122-54]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000079905	0		mark2a	MAP/microtubule affinity-regulating kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030131-4145]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000019345	1		mark3a	MAP/microtubule affinity-regulating kinase 3a [Source:ZFIN;Acc:ZDB-GENE-030131-6232]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000024966	1		MARK4	si:dkey-31m14.7 [Source:ZFIN;Acc:ZDB-GENE-121214-92]
GO:0050321	tau-protein kinase activity	13	3	0.2	0.00092	ENSDARG00000077791	1		brsk2b	BR serine/threonine kinase 2b [Source:ZFIN;Acc:ZDB-GENE-100422-3]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000068	0		slc9a3r1a	SLC9A3 regulator 1a [Source:ZFIN;Acc:ZDB-GENE-031006-7]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000086	0		itsn1	intersectin 1 (SH3 domain protein) [Source:ZFIN;Acc:ZDB-GENE-030616-226]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000103	0		myh10	myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000161	0		itsn2a	intersectin 2a [Source:ZFIN;Acc:ZDB-GENE-041014-84]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000183	0		ptpn4b	protein tyrosine phosphatase non-receptor type 4b [Source:ZFIN;Acc:ZDB-GENE-030131-6259]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000189	0		sema6e	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6E [Source:ZFIN;Acc:ZDB-GENE-040724-119]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000369	0		prkag3b	protein kinase, AMP-activated, gamma 3b non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060421-6938]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000370	0		triob	trio Rho guanine nucleotide exchange factor b [Source:ZFIN;Acc:ZDB-GENE-030616-399]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000472	0		cntn2	contactin 2 [Source:ZFIN;Acc:ZDB-GENE-990630-12]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000503	0		stx1b	syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330-4]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000516	0		ankar	ankyrin and armadillo repeat containing [Source:ZFIN;Acc:ZDB-GENE-030616-533]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000529	0		ofd1	OFD1 centriole and centriolar satellite protein [Source:NCBI gene;Acc:327216]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000563	0		ttn.1	titin, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-413]
GO:0005515	protein binding	3796	75	58.59	0.00394	ENSDARG00000000631	0		ptpn4a	protein tyrosine phosphatase non-receptor type 4a [Source:ZFIN;Acc:ZDB-GENE-030616-449]
