ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	8092	8206	5967	6102	8711	9353	1	17,17,17,39,17,42	12,10,8,26,11,18	14,21,35,14,43,36	8,18,18,5,23,13	263	263	0.6771280577	1.0	0.586,0.63,0.68,0.6,0.607,0.7	0.636,0.538,0.66,0.737,0.652,0.735	-0.026
2	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	8092	8206	7075	7189	8711	9353	2	24,22,32,44,33,56	19,10,7,13,15,16	35,29,48,26,63,57	9,13,10,17,24,17	263	263	0.717379387197	1.0	0.558,0.688,0.821,0.772,0.687,0.778	0.795,0.69,0.828,0.605,0.724,0.77	-0.018
4	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	28357	28501	20488	21274	28820	29071	4	42,32,28,41,45,66	21,27,23,37,32,63	51,56,64,44,77,68	28,49,48,39,53,45	293	278	0.600638521096	1.0	0.655,0.529,0.536,0.513,0.572,0.498	0.633,0.52,0.559,0.517,0.58,0.589	-0.016
5	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28357	28501	28820	29071	21691	21820	31494	31870	5	55,51,30,36,49,67	25,14,18,18,34,44	45,53,62,74,89,64	25,26,36,31,42,35	400	293	0.878603703926	1.0	0.617,0.727,0.55,0.594,0.514,0.527	0.569,0.599,0.558,0.636,0.608,0.573	-0.002
6	"ENSDARG00000104343"	"ppic"	chrKN150596.1	+	19939	20053	20935	21029	17880	18545	22195	22380	6	13,12,8,13,16,19	23,24,12,15,23,53	7,9,33,15,21,30	32,15,33,29,31,25	263	243	0.484108172268	1.0	0.343,0.316,0.381,0.445,0.391,0.249	0.168,0.357,0.48,0.323,0.385,0.526	-0.019
7	"ENSDARG00000104276"	NA	chrKN150326.1	-	96102	96203	102054	102197	91206	91364	104319	104400	7	13,13,15,19,22,21	11,17,3,9,14,18	10,11,17,12,24,21	9,17,25,20,24,18	292	250	0.0331539017996	0.670006471063	0.503,0.396,0.811,0.644,0.574,0.5	0.488,0.356,0.368,0.339,0.461,0.5	0.153
8	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910	8	12,5,1,12,3,12	13,15,15,20,17,33	11,13,13,15,7,15	19,22,30,29,29,30	246	234	0.382044934539	1.0	0.468,0.241,0.06,0.363,0.144,0.257	0.355,0.36,0.292,0.33,0.187,0.322	-0.052
10	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672	10	0,0,0,3,3,0	0,0,0,0,2,0	0,1,0,0,2,2	4,4,0,0,2,0	323	323	1	1.0	NA,NA,NA,1.0,0.6,NA	0.0,0.2,NA,NA,0.5,1.0	0.375
11	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471419	37471496	37471649	37471911	37470378	37470822	37473277	37473474	11	13,10,10,7,9,11	27,50,37,48,47,75	8,11,10,8,21,7	55,29,82,42,76,70	226	411	0.535017087002	1.0	0.467,0.267,0.33,0.21,0.258,0.211	0.209,0.408,0.182,0.257,0.334,0.154	0.033
12	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471649	37471911	37473277	37473474	37471419	37471496	37474126	37474238	12	26,51,33,42,48,73	17,29,18,26,43,39	54,40,68,50,68,49	32,21,67,27,45,34	411	346	0.663677957703	1.0	0.563,0.597,0.607,0.576,0.484,0.612	0.587,0.616,0.461,0.609,0.56,0.548	0.01
